#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:04 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06700000     00060          SOUTH PLATTE RIVER ABOVE CHEESMAN LAKE, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06700000	00060	17433		4	1	2011	2011	1	90
USGS	06700000	00060	17433		4	2	2011	2011	1	86
USGS	06700000	00060	17433		4	3	2011	2011	1	90
USGS	06700000	00060	17433		4	4	2011	2011	1	98
USGS	06700000	00060	17433		4	5	2011	2011	1	96
USGS	06700000	00060	17433		4	6	2011	2011	1	93
USGS	06700000	00060	17433		4	7	2011	2011	1	94
USGS	06700000	00060	17433		4	8	2011	2011	1	94
USGS	06700000	00060	17433		4	9	2011	2011	1	93
USGS	06700000	00060	17433		4	10	2011	2011	1	95
USGS	06700000	00060	17433		4	11	2011	2011	1	96
USGS	06700000	00060	17433		4	12	2011	2011	1	89
USGS	06700000	00060	17433		4	13	2011	2011	1	87
USGS	06700000	00060	17433		4	14	2011	2011	1	89
USGS	06700000	00060	17433		4	15	2011	2011	1	94
USGS	06700000	00060	17433		4	16	2011	2011	1	86
USGS	06700000	00060	17433		4	17	2011	2011	1	84
USGS	06700000	00060	17433		4	18	2011	2011	1	86
USGS	06700000	00060	17433		4	19	2011	2011	1	89
USGS	06700000	00060	17433		4	20	2011	2011	1	90
USGS	06700000	00060	17433		4	21	2011	2011	1	87
USGS	06700000	00060	17433		4	22	2011	2011	1	91
USGS	06700000	00060	17433		4	23	2011	2011	1	88
USGS	06700000	00060	17433		4	24	2011	2011	1	90
USGS	06700000	00060	17433		4	25	2011	2011	1	94
USGS	06700000	00060	17433		4	26	2011	2011	1	95
USGS	06700000	00060	17433		4	27	2011	2011	1	99
USGS	06700000	00060	17433		4	28	2011	2011	1	94
USGS	06700000	00060	17433		4	29	2011	2011	1	88
USGS	06700000	00060	17433		4	30	2011	2011	1	89
USGS	06700000	00060	17433		5	1	2011	2011	1	87
USGS	06700000	00060	17433		5	2	2011	2011	1	90
USGS	06700000	00060	17433		5	3	2011	2011	1	88
USGS	06700000	00060	17433		5	4	2011	2011	1	86
USGS	06700000	00060	17433		5	5	2011	2011	1	84
USGS	06700000	00060	17433		5	6	2011	2011	1	83
USGS	06700000	00060	17433		5	7	2011	2011	1	83
USGS	06700000	00060	17433		5	8	2011	2011	1	82
USGS	06700000	00060	17433		5	9	2011	2011	1	83
USGS	06700000	00060	17433		5	10	2011	2011	1	85
USGS	06700000	00060	17433		5	11	2011	2011	1	95
USGS	06700000	00060	17433		5	12	2011	2011	1	106
USGS	06700000	00060	17433		5	13	2011	2011	1	110
USGS	06700000	00060	17433		5	14	2011	2011	1	103
USGS	06700000	00060	17433		5	15	2011	2011	1	104
USGS	06700000	00060	17433		5	16	2011	2011	1	104
USGS	06700000	00060	17433		5	17	2011	2011	1	107
USGS	06700000	00060	17433		5	18	2011	2011	1	112
USGS	06700000	00060	17433		5	19	2011	2011	1	120
USGS	06700000	00060	17433		5	20	2011	2011	1	127
USGS	06700000	00060	17433		5	21	2011	2011	1	131
USGS	06700000	00060	17433		5	22	2011	2011	1	129
USGS	06700000	00060	17433		5	23	2011	2011	1	118
USGS	06700000	00060	17433		5	24	2011	2011	1	117
USGS	06700000	00060	17433		5	25	2011	2011	1	126
USGS	06700000	00060	17433		5	26	2011	2011	1	123
USGS	06700000	00060	17433		5	27	2011	2011	1	123
USGS	06700000	00060	17433		5	28	2011	2011	1	121
USGS	06700000	00060	17433		5	29	2011	2011	1	120
USGS	06700000	00060	17433		5	30	2011	2011	1	128
USGS	06700000	00060	17433		5	31	2011	2011	1	140
USGS	06700000	00060	17433		6	1	2011	2011	1	149
USGS	06700000	00060	17433		6	2	2011	2011	1	161
USGS	06700000	00060	17433		6	3	2011	2011	1	166
USGS	06700000	00060	17433		6	4	2011	2011	1	177
USGS	06700000	00060	17433		6	5	2011	2011	1	197
USGS	06700000	00060	17433		6	6	2011	2011	1	218
USGS	06700000	00060	17433		6	7	2011	2011	1	225
USGS	06700000	00060	17433		6	8	2011	2011	1	240
USGS	06700000	00060	17433		6	9	2011	2011	1	258
USGS	06700000	00060	17433		6	10	2011	2011	1	286
USGS	06700000	00060	17433		6	11	2011	2011	1	304
USGS	06700000	00060	17433		6	12	2011	2011	1	315
USGS	06700000	00060	17433		6	13	2011	2011	1	330
USGS	06700000	00060	17433		6	14	2011	2011	1	342
USGS	06700000	00060	17433		6	15	2011	2011	1	350
USGS	06700000	00060	17433		6	16	2011	2011	1	360
USGS	06700000	00060	17433		6	17	2011	2011	1	374
USGS	06700000	00060	17433		6	18	2011	2011	1	383
USGS	06700000	00060	17433		6	19	2011	2011	1	401
USGS	06700000	00060	17433		6	20	2011	2011	1	424
USGS	06700000	00060	17433		6	21	2011	2011	1	435
USGS	06700000	00060	17433		6	22	2011	2011	1	427
USGS	06700000	00060	17433		6	23	2011	2011	1	402
USGS	06700000	00060	17433		6	24	2011	2011	1	380
USGS	06700000	00060	17433		6	25	2011	2011	1	386
USGS	06700000	00060	17433		6	26	2011	2011	1	416
USGS	06700000	00060	17433		6	27	2011	2011	1	454
USGS	06700000	00060	17433		6	28	2011	2011	1	488
USGS	06700000	00060	17433		6	29	2011	2011	1	554
USGS	06700000	00060	17433		6	30	2011	2011	1	599
USGS	06700000	00060	17433		7	1	2011	2011	1	637
USGS	06700000	00060	17433		7	2	2011	2011	1	667
USGS	06700000	00060	17433		7	3	2011	2011	1	689
USGS	06700000	00060	17433		7	4	2011	2011	1	704
USGS	06700000	00060	17433		7	5	2011	2011	1	707
USGS	06700000	00060	17433		7	6	2011	2011	1	722
USGS	06700000	00060	17433		7	7	2011	2011	1	747
USGS	06700000	00060	17433		7	8	2011	2011	1	755
USGS	06700000	00060	17433		7	9	2011	2011	1	783
USGS	06700000	00060	17433		7	10	2011	2011	1	750
USGS	06700000	00060	17433		7	11	2011	2011	1	723
USGS	06700000	00060	17433		7	12	2011	2011	1	735
USGS	06700000	00060	17433		7	13	2011	2011	1	758
USGS	06700000	00060	17433		7	14	2011	2011	1	748
USGS	06700000	00060	17433		7	15	2011	2011	1	726
USGS	06700000	00060	17433		7	16	2011	2011	1	701
USGS	06700000	00060	17433		7	17	2011	2011	1	674
USGS	06700000	00060	17433		7	18	2011	2011	1	649
USGS	06700000	00060	17433		7	19	2011	2011	1	612
USGS	06700000	00060	17433		7	20	2011	2011	1	601
USGS	06700000	00060	17433		7	21	2011	2011	1	607
USGS	06700000	00060	17433		7	22	2011	2011	1	615
USGS	06700000	00060	17433		7	23	2011	2011	1	573
USGS	06700000	00060	17433		7	24	2011	2011	1	507
USGS	06700000	00060	17433		7	25	2011	2011	1	449
USGS	06700000	00060	17433		7	26	2011	2011	1	459
USGS	06700000	00060	17433		7	27	2011	2011	1	475
USGS	06700000	00060	17433		7	28	2011	2011	1	477
USGS	06700000	00060	17433		7	29	2011	2011	1	529
USGS	06700000	00060	17433		7	30	2011	2011	1	500
USGS	06700000	00060	17433		7	31	2011	2011	1	458
USGS	06700000	00060	17433		8	1	2011	2011	1	467
USGS	06700000	00060	17433		8	2	2011	2011	1	468
USGS	06700000	00060	17433		8	3	2011	2011	1	488
USGS	06700000	00060	17433		8	4	2011	2011	1	512
USGS	06700000	00060	17433		8	5	2011	2011	1	505
USGS	06700000	00060	17433		8	6	2011	2011	1	511
USGS	06700000	00060	17433		8	7	2011	2011	1	485
USGS	06700000	00060	17433		8	8	2011	2011	1	457
USGS	06700000	00060	17433		8	9	2011	2011	1	431
USGS	06700000	00060	17433		8	10	2011	2011	1	407
USGS	06700000	00060	17433		8	11	2011	2011	1	382
USGS	06700000	00060	17433		8	12	2011	2011	1	366
USGS	06700000	00060	17433		8	13	2011	2011	1	350
USGS	06700000	00060	17433		8	14	2011	2011	1	345
USGS	06700000	00060	17433		8	15	2011	2011	1	333
