#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:03 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06716500     00060          CLEAR CREEK NEAR LAWSON, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06716500	00060	17562		1	1	2017	2017	1	27
USGS	06716500	00060	17562		1	2	2017	2017	1	27
USGS	06716500	00060	17562		1	3	2017	2017	1	27
USGS	06716500	00060	17562		1	4	2017	2017	1	26
USGS	06716500	00060	17562		1	5	2017	2017	1	25
USGS	06716500	00060	17562		1	6	2017	2017	1	27
USGS	06716500	00060	17562		1	7	2017	2017	1	30
USGS	06716500	00060	17562		1	8	2017	2017	1	34
USGS	06716500	00060	17562		1	9	2017	2017	1	36
USGS	06716500	00060	17562		1	10	2017	2017	1	32
USGS	06716500	00060	17562		1	11	2017	2017	1	27
USGS	06716500	00060	17562		1	12	2017	2017	1	26
USGS	06716500	00060	17562		1	13	2017	2017	1	26
USGS	06716500	00060	17562		1	14	2017	2017	1	25
USGS	06716500	00060	17562		1	15	2017	2017	1	25
USGS	06716500	00060	17562		1	16	2017	2017	1	26
USGS	06716500	00060	17562		1	17	2017	2017	1	24
USGS	06716500	00060	17562		1	18	2017	2017	1	24
USGS	06716500	00060	17562		1	19	2017	2017	1	25
USGS	06716500	00060	17562		1	20	2017	2017	1	25
USGS	06716500	00060	17562		1	21	2017	2017	1	24
USGS	06716500	00060	17562		1	22	2017	2017	1	24
USGS	06716500	00060	17562		1	23	2017	2017	1	25
USGS	06716500	00060	17562		1	24	2017	2017	1	22
USGS	06716500	00060	17562		1	25	2017	2017	1	24
USGS	06716500	00060	17562		1	26	2017	2017	1	25
USGS	06716500	00060	17562		1	27	2017	2017	1	27
USGS	06716500	00060	17562		1	28	2017	2017	1	27
USGS	06716500	00060	17562		1	29	2017	2017	1	27
USGS	06716500	00060	17562		1	30	2017	2017	1	27
USGS	06716500	00060	17562		1	31	2017	2017	1	26
USGS	06716500	00060	17562		2	1	2017	2017	1	23
USGS	06716500	00060	17562		2	2	2017	2017	1	23
USGS	06716500	00060	17562		2	3	2017	2017	1	23
USGS	06716500	00060	17562		2	4	2017	2017	1	23
USGS	06716500	00060	17562		2	5	2017	2017	1	23
USGS	06716500	00060	17562		2	6	2017	2017	1	23
USGS	06716500	00060	17562		2	7	2017	2017	1	23
USGS	06716500	00060	17562		2	8	2017	2017	1	23
USGS	06716500	00060	17562		2	9	2017	2017	1	24
USGS	06716500	00060	17562		2	10	2017	2017	1	26
USGS	06716500	00060	17562		2	11	2017	2017	1	25
USGS	06716500	00060	17562		2	12	2017	2017	1	24
USGS	06716500	00060	17562		2	13	2017	2017	1	24
USGS	06716500	00060	17562		2	14	2017	2017	1	23
USGS	06716500	00060	17562		2	15	2017	2017	1	24
USGS	06716500	00060	17562		2	16	2017	2017	1	25
USGS	06716500	00060	17562		2	17	2017	2017	1	25
USGS	06716500	00060	17562		2	18	2017	2017	1	25
USGS	06716500	00060	17562		2	19	2017	2017	1	26
USGS	06716500	00060	17562		2	20	2017	2017	1	26
USGS	06716500	00060	17562		2	21	2017	2017	1	25
USGS	06716500	00060	17562		2	22	2017	2017	1	25
USGS	06716500	00060	17562		2	23	2017	2017	1	27
USGS	06716500	00060	17562		2	24	2017	2017	1	24
USGS	06716500	00060	17562		2	25	2017	2017	1	28
USGS	06716500	00060	17562		2	26	2017	2017	1	29
USGS	06716500	00060	17562		2	27	2017	2017	1	29
USGS	06716500	00060	17562		2	28	2017	2017	1	28
USGS	06716500	00060	17562		3	1	2017	2017	1	27
USGS	06716500	00060	17562		3	2	2017	2017	1	27
USGS	06716500	00060	17562		3	3	2017	2017	1	27
USGS	06716500	00060	17562		3	4	2017	2017	1	28
USGS	06716500	00060	17562		3	5	2017	2017	1	28
USGS	06716500	00060	17562		3	6	2017	2017	1	27
USGS	06716500	00060	17562		3	7	2017	2017	1	27
USGS	06716500	00060	17562		3	8	2017	2017	1	28
USGS	06716500	00060	17562		3	9	2017	2017	1	28
USGS	06716500	00060	17562		3	10	2017	2017	1	29
USGS	06716500	00060	17562		3	11	2017	2017	1	30
USGS	06716500	00060	17562		3	12	2017	2017	1	30
USGS	06716500	00060	17562		3	13	2017	2017	1	26
USGS	06716500	00060	17562		3	14	2017	2017	1	26
USGS	06716500	00060	17562		3	15	2017	2017	1	28
USGS	06716500	00060	17562		3	16	2017	2017	1	29
USGS	06716500	00060	17562		3	17	2017	2017	1	33
USGS	06716500	00060	17562		3	18	2017	2017	1	36
USGS	06716500	00060	17562		3	19	2017	2017	1	42
USGS	06716500	00060	17562		3	20	2017	2017	1	44
USGS	06716500	00060	17562		3	21	2017	2017	1	42
USGS	06716500	00060	17562		3	22	2017	2017	1	42
USGS	06716500	00060	17562		3	23	2017	2017	1	45
USGS	06716500	00060	17562		3	24	2017	2017	1	46
USGS	06716500	00060	17562		3	25	2017	2017	1	41
USGS	06716500	00060	17562		3	26	2017	2017	1	42
USGS	06716500	00060	17562		3	27	2017	2017	1	40
USGS	06716500	00060	17562		3	28	2017	2017	1	42
USGS	06716500	00060	17562		3	29	2017	2017	1	40
USGS	06716500	00060	17562		3	30	2017	2017	1	38
USGS	06716500	00060	17562		3	31	2017	2017	1	40
USGS	06716500	00060	17562		4	1	2017	2017	1	36
USGS	06716500	00060	17562		4	2	2017	2017	1	34
USGS	06716500	00060	17562		4	3	2017	2017	1	34
USGS	06716500	00060	17562		4	4	2017	2017	1	36
USGS	06716500	00060	17562		4	5	2017	2017	1	34
USGS	06716500	00060	17562		4	6	2017	2017	1	35
USGS	06716500	00060	17562		4	7	2017	2017	1	37
USGS	06716500	00060	17562		4	8	2017	2017	1	39
USGS	06716500	00060	17562		4	9	2017	2017	1	43
USGS	06716500	00060	17562		4	10	2017	2017	1	39
USGS	06716500	00060	17562		4	11	2017	2017	1	40
USGS	06716500	00060	17562		4	12	2017	2017	1	40
USGS	06716500	00060	17562		4	13	2017	2017	1	46
USGS	06716500	00060	17562		4	14	2017	2017	1	56
USGS	06716500	00060	17562		4	15	2017	2017	1	62
USGS	06716500	00060	17562		4	16	2017	2017	1	63
USGS	06716500	00060	17562		4	17	2017	2017	1	66
USGS	06716500	00060	17562		4	18	2017	2017	1	66
USGS	06716500	00060	17562		4	19	2017	2017	1	76
USGS	06716500	00060	17562		4	20	2017	2017	1	73
USGS	06716500	00060	17562		4	21	2017	2017	1	69
USGS	06716500	00060	17562		4	22	2017	2017	1	64
USGS	06716500	00060	17562		4	23	2017	2017	1	62
USGS	06716500	00060	17562		4	24	2017	2017	1	67
USGS	06716500	00060	17562		4	25	2017	2017	1	67
USGS	06716500	00060	17562		4	26	2017	2017	1	64
USGS	06716500	00060	17562		4	27	2017	2017	1	62
USGS	06716500	00060	17562		4	28	2017	2017	1	60
USGS	06716500	00060	17562		4	29	2017	2017	1	59
USGS	06716500	00060	17562		4	30	2017	2017	1	59
USGS	06716500	00060	17562		5	1	2017	2017	1	58
USGS	06716500	00060	17562		5	2	2017	2017	1	56
USGS	06716500	00060	17562		5	3	2017	2017	1	55
USGS	06716500	00060	17562		5	4	2017	2017	1	53
USGS	06716500	00060	17562		5	5	2017	2017	1	60
USGS	06716500	00060	17562		5	6	2017	2017	1	76
USGS	06716500	00060	17562		5	7	2017	2017	1	94
USGS	06716500	00060	17562		5	8	2017	2017	1	99
USGS	06716500	00060	17562		5	9	2017	2017	1	100
USGS	06716500	00060	17562		5	10	2017	2017	1	113
USGS	06716500	00060	17562		5	11	2017	2017	1	117
USGS	06716500	00060	17562		5	12	2017	2017	1	137
USGS	06716500	00060	17562		5	13	2017	2017	1	171
USGS	06716500	00060	17562		5	14	2017	2017	1	213
USGS	06716500	00060	17562		5	15	2017	2017	1	224
USGS	06716500	00060	17562		5	16	2017	2017	1	232
USGS	06716500	00060	17562		5	17	2017	2017	1	215
USGS	06716500	00060	17562		5	18	2017	2017	1	234
USGS	06716500	00060	17562		5	19	2017	2017	1	206
USGS	06716500	00060	17562		5	20	2017	2017	1	179
USGS	06716500	00060	17562		5	21	2017	2017	1	159
USGS	06716500	00060	17562		5	22	2017	2017	1	162
USGS	06716500	00060	17562		5	23	2017	2017	1	155
USGS	06716500	00060	17562		5	24	2017	2017	1	146
USGS	06716500	00060	17562		5	25	2017	2017	1	189
USGS	06716500	00060	17562		5	26	2017	2017	1	212
USGS	06716500	00060	17562		5	27	2017	2017	1	225
USGS	06716500	00060	17562		5	28	2017	2017	1	210
USGS	06716500	00060	17562		5	29	2017	2017	1	213
USGS	06716500	00060	17562		5	30	2017	2017	1	233
USGS	06716500	00060	17562		5	31	2017	2017	1	278
USGS	06716500	00060	17562		6	1	2017	2017	1	313
USGS	06716500	00060	17562		6	2	2017	2017	1	362
USGS	06716500	00060	17562		6	3	2017	2017	1	463
USGS	06716500	00060	17562		6	4	2017	2017	1	560
USGS	06716500	00060	17562		6	5	2017	2017	1	667
USGS	06716500	00060	17562		6	6	2017	2017	1	735
USGS	06716500	00060	17562		6	7	2017	2017	1	768
USGS	06716500	00060	17562		6	8	2017	2017	1	849
USGS	06716500	00060	17562		6	9	2017	2017	1	899
USGS	06716500	00060	17562		6	10	2017	2017	1	934
USGS	06716500	00060	17562		6	11	2017	2017	1	974
USGS	06716500	00060	17562		6	12	2017	2017	1	991
USGS	06716500	00060	17562		6	13	2017	2017	1	934
USGS	06716500	00060	17562		6	14	2017	2017	1	841
USGS	06716500	00060	17562		6	15	2017	2017	1	825
USGS	06716500	00060	17562		6	16	2017	2017	1	844
USGS	06716500	00060	17562		6	17	2017	2017	1	922
USGS	06716500	00060	17562		6	18	2017	2017	1	976
USGS	06716500	00060	17562		6	19	2017	2017	1	993
USGS	06716500	00060	17562		6	20	2017	2017	1	975
USGS	06716500	00060	17562		6	21	2017	2017	1	985
USGS	06716500	00060	17562		6	22	2017	2017	1	970
USGS	06716500	00060	17562		6	23	2017	2017	1	924
USGS	06716500	00060	17562		6	24	2017	2017	1	866
USGS	06716500	00060	17562		6	25	2017	2017	1	818
USGS	06716500	00060	17562		6	26	2017	2017	1	770
USGS	06716500	00060	17562		6	27	2017	2017	1	737
USGS	06716500	00060	17562		6	28	2017	2017	1	702
USGS	06716500	00060	17562		6	29	2017	2017	1	665
USGS	06716500	00060	17562		6	30	2017	2017	1	634
USGS	06716500	00060	17562		7	1	2017	2017	1	608
USGS	06716500	00060	17562		7	2	2017	2017	1	584
USGS	06716500	00060	17562		7	3	2017	2017	1	554
USGS	06716500	00060	17562		7	4	2017	2017	1	537
USGS	06716500	00060	17562		7	5	2017	2017	1	527
USGS	06716500	00060	17562		7	6	2017	2017	1	509
USGS	06716500	00060	17562		7	7	2017	2017	1	504
USGS	06716500	00060	17562		7	8	2017	2017	1	499
USGS	06716500	00060	17562		7	9	2017	2017	1	483
USGS	06716500	00060	17562		7	10	2017	2017	1	478
