#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:52:48 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06727500     00060          FOURMILE CREEK AT ORODELL, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06727500	00060	17657		4	1	2016	2016	1	8.8
USGS	06727500	00060	17657		4	2	2016	2016	1	8.7
USGS	06727500	00060	17657		4	3	2016	2016	1	9.7
USGS	06727500	00060	17657		4	4	2016	2016	1	12
USGS	06727500	00060	17657		4	5	2016	2016	1	14
USGS	06727500	00060	17657		4	6	2016	2016	1	14
USGS	06727500	00060	17657		4	7	2016	2016	1	13
USGS	06727500	00060	17657		4	8	2016	2016	1	13
USGS	06727500	00060	17657		4	9	2016	2016	1	13
USGS	06727500	00060	17657		4	10	2016	2016	1	14
USGS	06727500	00060	17657		4	11	2016	2016	1	14
USGS	06727500	00060	17657		4	12	2016	2016	1	13
USGS	06727500	00060	17657		4	13	2016	2016	1	12
USGS	06727500	00060	17657		4	14	2016	2016	1	12
USGS	06727500	00060	17657		4	15	2016	2016	1	13
USGS	06727500	00060	17657		4	16	2016	2016	1	15
USGS	06727500	00060	17657		4	17	2016	2016	1	14
USGS	06727500	00060	17657		4	18	2016	2016	1	13
USGS	06727500	00060	17657		4	19	2016	2016	1	13
USGS	06727500	00060	17657		4	20	2016	2016	1	15
USGS	06727500	00060	17657		4	21	2016	2016	1	28
USGS	06727500	00060	17657		4	22	2016	2016	1	59
USGS	06727500	00060	17657		4	23	2016	2016	1	92
USGS	06727500	00060	17657		4	24	2016	2016	1	86
USGS	06727500	00060	17657		4	25	2016	2016	1	63
USGS	06727500	00060	17657		4	26	2016	2016	1	59
USGS	06727500	00060	17657		4	27	2016	2016	1	52
USGS	06727500	00060	17657		4	28	2016	2016	1	44
USGS	06727500	00060	17657		4	29	2016	2016	1	40
USGS	06727500	00060	17657		4	30	2016	2016	1	32
USGS	06727500	00060	17657		5	1	2016	2016	1	29
USGS	06727500	00060	17657		5	2	2016	2016	1	28
USGS	06727500	00060	17657		5	3	2016	2016	1	40
USGS	06727500	00060	17657		5	4	2016	2016	1	43
USGS	06727500	00060	17657		5	5	2016	2016	1	43
USGS	06727500	00060	17657		5	6	2016	2016	1	44
USGS	06727500	00060	17657		5	7	2016	2016	1	56
USGS	06727500	00060	17657		5	8	2016	2016	1	54
USGS	06727500	00060	17657		5	9	2016	2016	1	51
USGS	06727500	00060	17657		5	10	2016	2016	1	48
