#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:52:54 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06752260     00060          CACHE LA POUDRE RIVER AT FORT COLLINS, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06752260	00060	17702		1	1	2017	2017	1	12
USGS	06752260	00060	17702		1	2	2017	2017	1	15
USGS	06752260	00060	17702		1	3	2017	2017	1	17
USGS	06752260	00060	17702		1	4	2017	2017	1	22
USGS	06752260	00060	17702		1	5	2017	2017	1	29
USGS	06752260	00060	17702		1	6	2017	2017	1	30
USGS	06752260	00060	17702		1	7	2017	2017	1	31
USGS	06752260	00060	17702		1	8	2017	2017	1	52
USGS	06752260	00060	17702		1	9	2017	2017	1	74
USGS	06752260	00060	17702		1	10	2017	2017	1	95
USGS	06752260	00060	17702		1	11	2017	2017	1	102
USGS	06752260	00060	17702		1	12	2017	2017	1	102
USGS	06752260	00060	17702		1	13	2017	2017	1	104
USGS	06752260	00060	17702		1	14	2017	2017	1	105
USGS	06752260	00060	17702		1	15	2017	2017	1	106
USGS	06752260	00060	17702		1	16	2017	2017	1	106
USGS	06752260	00060	17702		1	17	2017	2017	1	105
USGS	06752260	00060	17702		1	18	2017	2017	1	98
USGS	06752260	00060	17702		1	19	2017	2017	1	102
USGS	06752260	00060	17702		1	20	2017	2017	1	100
USGS	06752260	00060	17702		1	21	2017	2017	1	97
USGS	06752260	00060	17702		1	22	2017	2017	1	89
USGS	06752260	00060	17702		1	23	2017	2017	1	85
USGS	06752260	00060	17702		1	24	2017	2017	1	82
USGS	06752260	00060	17702		1	25	2017	2017	1	64
USGS	06752260	00060	17702		1	26	2017	2017	1	63
USGS	06752260	00060	17702		1	27	2017	2017	1	67
USGS	06752260	00060	17702		1	28	2017	2017	1	74
USGS	06752260	00060	17702		1	29	2017	2017	1	72
USGS	06752260	00060	17702		1	30	2017	2017	1	73
USGS	06752260	00060	17702		1	31	2017	2017	1	72
USGS	06752260	00060	17702		2	1	2017	2017	1	76
USGS	06752260	00060	17702		2	2	2017	2017	1	65
USGS	06752260	00060	17702		2	3	2017	2017	1	57
USGS	06752260	00060	17702		2	4	2017	2017	1	69
USGS	06752260	00060	17702		2	5	2017	2017	1	73
USGS	06752260	00060	17702		2	6	2017	2017	1	89
USGS	06752260	00060	17702		2	7	2017	2017	1	104
USGS	06752260	00060	17702		2	8	2017	2017	1	112
USGS	06752260	00060	17702		2	9	2017	2017	1	111
USGS	06752260	00060	17702		2	10	2017	2017	1	125
USGS	06752260	00060	17702		2	11	2017	2017	1	144
USGS	06752260	00060	17702		2	12	2017	2017	1	146
USGS	06752260	00060	17702		2	13	2017	2017	1	124
USGS	06752260	00060	17702		2	14	2017	2017	1	108
USGS	06752260	00060	17702		2	15	2017	2017	1	93
USGS	06752260	00060	17702		2	16	2017	2017	1	48
USGS	06752260	00060	17702		2	17	2017	2017	1	33
USGS	06752260	00060	17702		2	18	2017	2017	1	29
USGS	06752260	00060	17702		2	19	2017	2017	1	28
USGS	06752260	00060	17702		2	20	2017	2017	1	26
USGS	06752260	00060	17702		2	21	2017	2017	1	28
USGS	06752260	00060	17702		2	22	2017	2017	1	26
USGS	06752260	00060	17702		2	23	2017	2017	1	31
USGS	06752260	00060	17702		2	24	2017	2017	1	29
USGS	06752260	00060	17702		2	25	2017	2017	1	28
USGS	06752260	00060	17702		2	26	2017	2017	1	30
USGS	06752260	00060	17702		2	27	2017	2017	1	28
USGS	06752260	00060	17702		2	28	2017	2017	1	31
USGS	06752260	00060	17702		3	1	2017	2017	1	28
USGS	06752260	00060	17702		3	2	2017	2017	1	26
USGS	06752260	00060	17702		3	3	2017	2017	1	23
USGS	06752260	00060	17702		3	4	2017	2017	1	25
USGS	06752260	00060	17702		3	5	2017	2017	1	26
USGS	06752260	00060	17702		3	6	2017	2017	1	22
USGS	06752260	00060	17702		3	7	2017	2017	1	8.0
USGS	06752260	00060	17702		3	8	2017	2017	1	8.9
USGS	06752260	00060	17702		3	9	2017	2017	1	9.7
USGS	06752260	00060	17702		3	10	2017	2017	1	9.5
USGS	06752260	00060	17702		3	11	2017	2017	1	7.4
USGS	06752260	00060	17702		3	12	2017	2017	1	5.3
USGS	06752260	00060	17702		3	13	2017	2017	1	3.4
USGS	06752260	00060	17702		3	14	2017	2017	1	6.2
USGS	06752260	00060	17702		3	15	2017	2017	1	7.3
USGS	06752260	00060	17702		3	16	2017	2017	1	6.6
USGS	06752260	00060	17702		3	17	2017	2017	1	4.3
USGS	06752260	00060	17702		3	18	2017	2017	1	5.6
USGS	06752260	00060	17702		3	19	2017	2017	1	14
USGS	06752260	00060	17702		3	20	2017	2017	1	15
USGS	06752260	00060	17702		3	21	2017	2017	1	25
USGS	06752260	00060	17702		3	22	2017	2017	1	38
USGS	06752260	00060	17702		3	23	2017	2017	1	42
USGS	06752260	00060	17702		3	24	2017	2017	1	66
USGS	06752260	00060	17702		3	25	2017	2017	1	53
USGS	06752260	00060	17702		3	26	2017	2017	1	39
USGS	06752260	00060	17702		3	27	2017	2017	1	43
USGS	06752260	00060	17702		3	28	2017	2017	1	61
USGS	06752260	00060	17702		3	29	2017	2017	1	96
USGS	06752260	00060	17702		3	30	2017	2017	1	74
USGS	06752260	00060	17702		3	31	2017	2017	1	62
USGS	06752260	00060	17702		4	1	2017	2017	1	31
USGS	06752260	00060	17702		4	2	2017	2017	1	16
USGS	06752260	00060	17702		4	3	2017	2017	1	26
USGS	06752260	00060	17702		4	4	2017	2017	1	10
USGS	06752260	00060	17702		4	5	2017	2017	1	29
USGS	06752260	00060	17702		4	6	2017	2017	1	5.5
USGS	06752260	00060	17702		4	7	2017	2017	1	3.8
USGS	06752260	00060	17702		4	8	2017	2017	1	4.2
USGS	06752260	00060	17702		4	9	2017	2017	1	5.8
USGS	06752260	00060	17702		4	10	2017	2017	1	6.5
USGS	06752260	00060	17702		4	11	2017	2017	1	8.5
USGS	06752260	00060	17702		4	12	2017	2017	1	18
USGS	06752260	00060	17702		4	13	2017	2017	1	18
USGS	06752260	00060	17702		4	14	2017	2017	1	21
USGS	06752260	00060	17702		4	15	2017	2017	1	47
USGS	06752260	00060	17702		4	16	2017	2017	1	60
USGS	06752260	00060	17702		4	17	2017	2017	1	64
USGS	06752260	00060	17702		4	18	2017	2017	1	82
USGS	06752260	00060	17702		4	19	2017	2017	1	15
USGS	06752260	00060	17702		4	20	2017	2017	1	27
USGS	06752260	00060	17702		4	21	2017	2017	1	15
USGS	06752260	00060	17702		4	22	2017	2017	1	7.9
USGS	06752260	00060	17702		4	23	2017	2017	1	5.9
USGS	06752260	00060	17702		4	24	2017	2017	1	5.6
USGS	06752260	00060	17702		4	25	2017	2017	1	7.2
USGS	06752260	00060	17702		4	26	2017	2017	1	16
USGS	06752260	00060	17702		4	27	2017	2017	1	26
USGS	06752260	00060	17702		4	28	2017	2017	1	33
USGS	06752260	00060	17702		4	29	2017	2017	1	26
USGS	06752260	00060	17702		4	30	2017	2017	1	12
USGS	06752260	00060	17702		5	1	2017	2017	1	13
USGS	06752260	00060	17702		5	2	2017	2017	1	25
USGS	06752260	00060	17702		5	3	2017	2017	1	28
