#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:19 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        07087050     00060          ARKANSAS RIVER BELOW GRANITE, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	07087050	00060	17809		4	1	2008	2008	1	489
USGS	07087050	00060	17809		4	2	2008	2008	1	445
USGS	07087050	00060	17809		4	3	2008	2008	1	444
USGS	07087050	00060	17809		4	4	2008	2008	1	481
USGS	07087050	00060	17809		4	5	2008	2008	1	554
USGS	07087050	00060	17809		4	6	2008	2008	1	551
USGS	07087050	00060	17809		4	7	2008	2008	1	551
USGS	07087050	00060	17809		4	8	2008	2008	1	545
USGS	07087050	00060	17809		4	9	2008	2008	1	588
USGS	07087050	00060	17809		4	10	2008	2008	1	636
USGS	07087050	00060	17809		4	11	2008	2008	1	625
USGS	07087050	00060	17809		4	12	2008	2008	1	625
USGS	07087050	00060	17809		4	13	2008	2008	1	629
USGS	07087050	00060	17809		4	14	2008	2008	1	649
USGS	07087050	00060	17809		4	15	2008	2008	1	605
USGS	07087050	00060	17809		4	16	2008	2008	1	563
USGS	07087050	00060	17809		4	17	2008	2008	1	557
USGS	07087050	00060	17809		4	18	2008	2008	1	558
USGS	07087050	00060	17809		4	19	2008	2008	1	574
USGS	07087050	00060	17809		4	20	2008	2008	1	597
USGS	07087050	00060	17809		4	21	2008	2008	1	604
USGS	07087050	00060	17809		4	22	2008	2008	1	607
USGS	07087050	00060	17809		4	23	2008	2008	1	635
USGS	07087050	00060	17809		4	24	2008	2008	1	650
USGS	07087050	00060	17809		4	25	2008	2008	1	643
USGS	07087050	00060	17809		4	26	2008	2008	1	611
USGS	07087050	00060	17809		4	27	2008	2008	1	595
USGS	07087050	00060	17809		4	28	2008	2008	1	606
USGS	07087050	00060	17809		4	29	2008	2008	1	634
USGS	07087050	00060	17809		4	30	2008	2008	1	661
USGS	07087050	00060	17809		5	1	2008	2008	1	596
USGS	07087050	00060	17809		5	2	2008	2008	1	434
USGS	07087050	00060	17809		5	3	2008	2008	1	372
USGS	07087050	00060	17809		5	4	2008	2008	1	360
USGS	07087050	00060	17809		5	5	2008	2008	1	326
USGS	07087050	00060	17809		5	6	2008	2008	1	520
USGS	07087050	00060	17809		5	7	2008	2008	1	789
USGS	07087050	00060	17809		5	8	2008	2008	1	1000
USGS	07087050	00060	17809		5	9	2008	2008	1	1030
USGS	07087050	00060	17809		5	10	2008	2008	1	1030
USGS	07087050	00060	17809		5	11	2008	2008	1	988
USGS	07087050	00060	17809		5	12	2008	2008	1	1030
