#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:16 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        07091200     00060          ARKANSAS RIVER NEAR NATHROP, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	07091200	00060	17818		4	1	2010	2010	1	228
USGS	07091200	00060	17818		4	2	2010	2010	1	198
USGS	07091200	00060	17818		4	3	2010	2010	1	190
USGS	07091200	00060	17818		4	4	2010	2010	1	192
USGS	07091200	00060	17818		4	5	2010	2010	1	193
USGS	07091200	00060	17818		4	6	2010	2010	1	187
USGS	07091200	00060	17818		4	7	2010	2010	1	180
USGS	07091200	00060	17818		4	8	2010	2010	1	188
USGS	07091200	00060	17818		4	9	2010	2010	1	216
USGS	07091200	00060	17818		4	10	2010	2010	1	252
USGS	07091200	00060	17818		4	11	2010	2010	1	266
USGS	07091200	00060	17818		4	12	2010	2010	1	309
USGS	07091200	00060	17818		4	13	2010	2010	1	343
USGS	07091200	00060	17818		4	14	2010	2010	1	309
USGS	07091200	00060	17818		4	15	2010	2010	1	336
USGS	07091200	00060	17818		4	16	2010	2010	1	405
USGS	07091200	00060	17818		4	17	2010	2010	1	527
USGS	07091200	00060	17818		4	18	2010	2010	1	419
USGS	07091200	00060	17818		4	19	2010	2010	1	413
USGS	07091200	00060	17818		4	20	2010	2010	1	426
USGS	07091200	00060	17818		4	21	2010	2010	1	463
USGS	07091200	00060	17818		4	22	2010	2010	1	551
USGS	07091200	00060	17818		4	23	2010	2010	1	492
USGS	07091200	00060	17818		4	24	2010	2010	1	390
USGS	07091200	00060	17818		4	25	2010	2010	1	349
USGS	07091200	00060	17818		4	26	2010	2010	1	335
USGS	07091200	00060	17818		4	27	2010	2010	1	327
USGS	07091200	00060	17818		4	28	2010	2010	1	333
USGS	07091200	00060	17818		4	29	2010	2010	1	422
USGS	07091200	00060	17818		4	30	2010	2010	1	427
USGS	07091200	00060	17818		5	1	2010	2010	1	415
USGS	07091200	00060	17818		5	2	2010	2010	1	404
USGS	07091200	00060	17818		5	3	2010	2010	1	391
USGS	07091200	00060	17818		5	4	2010	2010	1	359
USGS	07091200	00060	17818		5	5	2010	2010	1	327
USGS	07091200	00060	17818		5	6	2010	2010	1	336
USGS	07091200	00060	17818		5	7	2010	2010	1	332
USGS	07091200	00060	17818		5	8	2010	2010	1	326
USGS	07091200	00060	17818		5	9	2010	2010	1	321
USGS	07091200	00060	17818		5	10	2010	2010	1	363
USGS	07091200	00060	17818		5	11	2010	2010	1	373
USGS	07091200	00060	17818		5	12	2010	2010	1	391
USGS	07091200	00060	17818		5	13	2010	2010	1	397
USGS	07091200	00060	17818		5	14	2010	2010	1	400
USGS	07091200	00060	17818		5	15	2010	2010	1	444
USGS	07091200	00060	17818		5	16	2010	2010	1	561
USGS	07091200	00060	17818		5	17	2010	2010	1	505
USGS	07091200	00060	17818		5	18	2010	2010	1	477
USGS	07091200	00060	17818		5	19	2010	2010	1	447
USGS	07091200	00060	17818		5	20	2010	2010	1	448
USGS	07091200	00060	17818		5	21	2010	2010	1	484
USGS	07091200	00060	17818		5	22	2010	2010	1	625
USGS	07091200	00060	17818		5	23	2010	2010	1	938
USGS	07091200	00060	17818		5	24	2010	2010	1	1160
USGS	07091200	00060	17818		5	25	2010	2010	1	1100
USGS	07091200	00060	17818		5	26	2010	2010	1	1240
USGS	07091200	00060	17818		5	27	2010	2010	1	1480
USGS	07091200	00060	17818		5	28	2010	2010	1	2080
USGS	07091200	00060	17818		5	29	2010	2010	1	2850
USGS	07091200	00060	17818		5	30	2010	2010	1	3330
USGS	07091200	00060	17818		5	31	2010	2010	1	3090
USGS	07091200	00060	17818		6	1	2010	2010	1	2890
USGS	07091200	00060	17818		6	2	2010	2010	1	2510
USGS	07091200	00060	17818		6	3	2010	2010	1	2240
USGS	07091200	00060	17818		6	4	2010	2010	1	2280
USGS	07091200	00060	17818		6	5	2010	2010	1	3520
USGS	07091200	00060	17818		6	6	2010	2010	1	4380
USGS	07091200	00060	17818		6	7	2010	2010	1	4560
USGS	07091200	00060	17818		6	8	2010	2010	1	4290
USGS	07091200	00060	17818		6	9	2010	2010	1	3830
USGS	07091200	00060	17818		6	10	2010	2010	1	3780
USGS	07091200	00060	17818		6	11	2010	2010	1	3110
USGS	07091200	00060	17818		6	12	2010	2010	1	2850
USGS	07091200	00060	17818		6	13	2010	2010	1	2870
USGS	07091200	00060	17818		6	14	2010	2010	1	2700
USGS	07091200	00060	17818		6	15	2010	2010	1	2550
USGS	07091200	00060	17818		6	16	2010	2010	1	2410
USGS	07091200	00060	17818		6	17	2010	2010	1	2220
USGS	07091200	00060	17818		6	18	2010	2010	1	2050
USGS	07091200	00060	17818		6	19	2010	2010	1	1970
USGS	07091200	00060	17818		6	20	2010	2010	1	1940
