#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:17 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        07091200     00060          ARKANSAS RIVER NEAR NATHROP, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	07091200	00060	17818		4	1	2015	2015	1	369
USGS	07091200	00060	17818		4	2	2015	2015	1	330
USGS	07091200	00060	17818		4	3	2015	2015	1	308
USGS	07091200	00060	17818		4	4	2015	2015	1	291
USGS	07091200	00060	17818		4	5	2015	2015	1	293
USGS	07091200	00060	17818		4	6	2015	2015	1	292
USGS	07091200	00060	17818		4	7	2015	2015	1	303
USGS	07091200	00060	17818		4	8	2015	2015	1	307
USGS	07091200	00060	17818		4	9	2015	2015	1	310
USGS	07091200	00060	17818		4	10	2015	2015	1	315
USGS	07091200	00060	17818		4	11	2015	2015	1	315
USGS	07091200	00060	17818		4	12	2015	2015	1	317
USGS	07091200	00060	17818		4	13	2015	2015	1	317
USGS	07091200	00060	17818		4	14	2015	2015	1	325
USGS	07091200	00060	17818		4	15	2015	2015	1	354
USGS	07091200	00060	17818		4	16	2015	2015	1	404
USGS	07091200	00060	17818		4	17	2015	2015	1	437
USGS	07091200	00060	17818		4	18	2015	2015	1	375
USGS	07091200	00060	17818		4	19	2015	2015	1	388
USGS	07091200	00060	17818		4	20	2015	2015	1	381
USGS	07091200	00060	17818		4	21	2015	2015	1	379
USGS	07091200	00060	17818		4	22	2015	2015	1	377
USGS	07091200	00060	17818		4	23	2015	2015	1	397
USGS	07091200	00060	17818		4	24	2015	2015	1	407
USGS	07091200	00060	17818		4	25	2015	2015	1	404
USGS	07091200	00060	17818		4	26	2015	2015	1	423
USGS	07091200	00060	17818		4	27	2015	2015	1	426
USGS	07091200	00060	17818		4	28	2015	2015	1	402
USGS	07091200	00060	17818		4	29	2015	2015	1	404
USGS	07091200	00060	17818		4	30	2015	2015	1	439
USGS	07091200	00060	17818		5	1	2015	2015	1	485
USGS	07091200	00060	17818		5	2	2015	2015	1	510
USGS	07091200	00060	17818		5	3	2015	2015	1	533
USGS	07091200	00060	17818		5	4	2015	2015	1	548
USGS	07091200	00060	17818		5	5	2015	2015	1	656
USGS	07091200	00060	17818		5	6	2015	2015	1	727
USGS	07091200	00060	17818		5	7	2015	2015	1	749
USGS	07091200	00060	17818		5	8	2015	2015	1	802
USGS	07091200	00060	17818		5	9	2015	2015	1	728
USGS	07091200	00060	17818		5	10	2015	2015	1	559
USGS	07091200	00060	17818		5	11	2015	2015	1	539
USGS	07091200	00060	17818		5	12	2015	2015	1	492
USGS	07091200	00060	17818		5	13	2015	2015	1	433
USGS	07091200	00060	17818		5	14	2015	2015	1	489
USGS	07091200	00060	17818		5	15	2015	2015	1	550
USGS	07091200	00060	17818		5	16	2015	2015	1	592
USGS	07091200	00060	17818		5	17	2015	2015	1	573
USGS	07091200	00060	17818		5	18	2015	2015	1	572
USGS	07091200	00060	17818		5	19	2015	2015	1	802
USGS	07091200	00060	17818		5	20	2015	2015	1	796
USGS	07091200	00060	17818		5	21	2015	2015	1	728
USGS	07091200	00060	17818		5	22	2015	2015	1	756
USGS	07091200	00060	17818		5	23	2015	2015	1	811
USGS	07091200	00060	17818		5	24	2015	2015	1	872
USGS	07091200	00060	17818		5	25	2015	2015	1	851
USGS	07091200	00060	17818		5	26	2015	2015	1	855
USGS	07091200	00060	17818		5	27	2015	2015	1	965
USGS	07091200	00060	17818		5	28	2015	2015	1	1020
USGS	07091200	00060	17818		5	29	2015	2015	1	1190
USGS	07091200	00060	17818		5	30	2015	2015	1	1210
USGS	07091200	00060	17818		5	31	2015	2015	1	1290
USGS	07091200	00060	17818		6	1	2015	2015	1	1510
USGS	07091200	00060	17818		6	2	2015	2015	1	1760
USGS	07091200	00060	17818		6	3	2015	2015	1	2040
USGS	07091200	00060	17818		6	4	2015	2015	1	2330
USGS	07091200	00060	17818		6	5	2015	2015	1	2430
USGS	07091200	00060	17818		6	6	2015	2015	1	2490
USGS	07091200	00060	17818		6	7	2015	2015	1	2720
USGS	07091200	00060	17818		6	8	2015	2015	1	2660
USGS	07091200	00060	17818		6	9	2015	2015	1	2660
USGS	07091200	00060	17818		6	10	2015	2015	1	2960
USGS	07091200	00060	17818		6	11	2015	2015	1	3330
USGS	07091200	00060	17818		6	12	2015	2015	1	3610
USGS	07091200	00060	17818		6	13	2015	2015	1	3840
USGS	07091200	00060	17818		6	14	2015	2015	1	4040
USGS	07091200	00060	17818		6	15	2015	2015	1	3960
USGS	07091200	00060	17818		6	16	2015	2015	1	3950
USGS	07091200	00060	17818		6	17	2015	2015	1	4440
USGS	07091200	00060	17818		6	18	2015	2015	1	5300
USGS	07091200	00060	17818		6	19	2015	2015	1	4930
USGS	07091200	00060	17818		6	20	2015	2015	1	4820
USGS	07091200	00060	17818		6	21	2015	2015	1	4670
USGS	07091200	00060	17818		6	22	2015	2015	1	4370
USGS	07091200	00060	17818		6	23	2015	2015	1	4050
