#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:40 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09034250     00010          COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO.
# USGS        09034250     00060          COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00010         Temperature, water, degrees Celsius
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09034250	00010	18447		4	1	2010	2010	1	1.7
USGS	09034250	00010	18447		4	2	2010	2010	1	1.5
USGS	09034250	00010	18447		4	3	2010	2010	1	1.2
USGS	09034250	00010	18447		4	4	2010	2010	1	1.7
USGS	09034250	00010	18447		4	5	2010	2010	1	2.3
USGS	09034250	00010	18447		4	6	2010	2010	1	1.9
USGS	09034250	00010	18447		4	7	2010	2010	1	2.1
USGS	09034250	00010	18447		4	8	2010	2010	1	2.7
USGS	09034250	00010	18447		4	9	2010	2010	1	3.2
USGS	09034250	00010	18447		4	10	2010	2010	1	3.5
USGS	09034250	00010	18447		4	11	2010	2010	1	3.4
USGS	09034250	00010	18447		4	12	2010	2010	1	3.4
USGS	09034250	00010	18447		4	13	2010	2010	1	3.8
USGS	09034250	00010	18447		4	14	2010	2010	1	3.9
USGS	09034250	00010	18447		4	15	2010	2010	1	5.0
USGS	09034250	00010	18447		4	16	2010	2010	1	5.3
USGS	09034250	00010	18447		4	17	2010	2010	1	4.6
USGS	09034250	00010	18447		4	18	2010	2010	1	5.4
USGS	09034250	00010	18447		4	19	2010	2010	1	6.2
USGS	09034250	00010	18447		4	20	2010	2010	1	7.0
USGS	09034250	00010	18447		4	21	2010	2010	1	7.7
USGS	09034250	00010	18447		4	22	2010	2010	1	6.4
USGS	09034250	00010	18447		4	23	2010	2010	1	3.8
USGS	09034250	00010	18447		4	24	2010	2010	1	3.3
USGS	09034250	00010	18447		4	25	2010	2010	1	4.9
USGS	09034250	00010	18447		4	26	2010	2010	1	5.3
USGS	09034250	00010	18447		4	27	2010	2010	1	6.3
USGS	09034250	00010	18447		4	28	2010	2010	1	7.2
USGS	09034250	00010	18447		4	29	2010	2010	1	5.4
USGS	09034250	00010	18447		4	30	2010	2010	1	4.5
USGS	09034250	00010	18447		5	1	2010	2010	1	5.1
USGS	09034250	00010	18447		5	2	2010	2010	1	6.1
USGS	09034250	00010	18447		5	3	2010	2010	1	6.2
USGS	09034250	00010	18447		5	4	2010	2010	1	6.1
USGS	09034250	00010	18447		5	5	2010	2010	1	6.7
USGS	09034250	00010	18447		5	6	2010	2010	1	7.2
USGS	09034250	00010	18447		5	7	2010	2010	1	6.8
USGS	09034250	00010	18447		5	8	2010	2010	1	6.7
USGS	09034250	00010	18447		5	9	2010	2010	1	7.5
USGS	09034250	00010	18447		5	10	2010	2010	1	7.7
USGS	09034250	00010	18447		5	11	2010	2010	1	6.3
USGS	09034250	00010	18447		5	12	2010	2010	1	6.1
USGS	09034250	00010	18447		5	13	2010	2010	1	6.8
USGS	09034250	00010	18447		5	14	2010	2010	1	7.7
USGS	09034250	00010	18447		5	15	2010	2010	1	6.9
USGS	09034250	00010	18447		5	16	2010	2010	1	6.9
USGS	09034250	00010	18447		5	17	2010	2010	1	8.8
USGS	09034250	00010	18447		5	18	2010	2010	1	8.9
USGS	09034250	00010	18447		5	19	2010	2010	1	7.6
USGS	09034250	00010	18447		5	20	2010	2010	1	7.8
USGS	09034250	00010	18447		5	21	2010	2010	1	9.0
USGS	09034250	00010	18447		5	22	2010	2010	1	9.0
USGS	09034250	00010	18447		5	23	2010	2010	1	9.0
USGS	09034250	00010	18447		5	24	2010	2010	1	7.3
USGS	09034250	00010	18447		5	25	2010	2010	1	6.7
USGS	09034250	00010	18447		5	26	2010	2010	1	7.8
USGS	09034250	00010	18447		5	27	2010	2010	1	9.3
