#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:42 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09034250     00060          COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09034250	00060	18444		1	1	2019	2019	1	83
USGS	09034250	00060	18444		1	2	2019	2019	1	83
USGS	09034250	00060	18444		1	3	2019	2019	1	83
USGS	09034250	00060	18444		1	4	2019	2019	1	83
USGS	09034250	00060	18444		1	5	2019	2019	1	83
USGS	09034250	00060	18444		1	6	2019	2019	1	83
USGS	09034250	00060	18444		1	7	2019	2019	1	83
USGS	09034250	00060	18444		1	8	2019	2019	1	83
USGS	09034250	00060	18444		1	9	2019	2019	1	83
USGS	09034250	00060	18444		1	10	2019	2019	1	84
USGS	09034250	00060	18444		1	11	2019	2019	1	84
USGS	09034250	00060	18444		1	12	2019	2019	1	84
USGS	09034250	00060	18444		1	13	2019	2019	1	84
USGS	09034250	00060	18444		1	14	2019	2019	1	84
USGS	09034250	00060	18444		1	15	2019	2019	1	84
USGS	09034250	00060	18444		1	16	2019	2019	1	84
USGS	09034250	00060	18444		1	17	2019	2019	1	84
USGS	09034250	00060	18444		1	18	2019	2019	1	84
USGS	09034250	00060	18444		1	19	2019	2019	1	84
USGS	09034250	00060	18444		1	20	2019	2019	1	84
USGS	09034250	00060	18444		1	21	2019	2019	1	85
USGS	09034250	00060	18444		1	22	2019	2019	1	85
USGS	09034250	00060	18444		1	23	2019	2019	1	85
USGS	09034250	00060	18444		1	24	2019	2019	1	84
USGS	09034250	00060	18444		1	25	2019	2019	1	84
USGS	09034250	00060	18444		1	26	2019	2019	1	84
USGS	09034250	00060	18444		1	27	2019	2019	1	85
USGS	09034250	00060	18444		1	28	2019	2019	1	85
USGS	09034250	00060	18444		1	29	2019	2019	1	85
USGS	09034250	00060	18444		1	30	2019	2019	1	85
USGS	09034250	00060	18444		1	31	2019	2019	1	85
USGS	09034250	00060	18444		2	1	2019	2019	1	85
USGS	09034250	00060	18444		2	2	2019	2019	1	85
USGS	09034250	00060	18444		2	3	2019	2019	1	85
USGS	09034250	00060	18444		2	4	2019	2019	1	85
USGS	09034250	00060	18444		2	5	2019	2019	1	85
USGS	09034250	00060	18444		2	6	2019	2019	1	85
USGS	09034250	00060	18444		2	7	2019	2019	1	86
USGS	09034250	00060	18444		2	8	2019	2019	1	86
USGS	09034250	00060	18444		2	9	2019	2019	1	86
USGS	09034250	00060	18444		2	10	2019	2019	1	86
USGS	09034250	00060	18444		2	11	2019	2019	1	85
USGS	09034250	00060	18444		2	12	2019	2019	1	84
USGS	09034250	00060	18444		2	13	2019	2019	1	83
USGS	09034250	00060	18444		2	14	2019	2019	1	82
USGS	09034250	00060	18444		2	15	2019	2019	1	81
USGS	09034250	00060	18444		2	16	2019	2019	1	81
USGS	09034250	00060	18444		2	17	2019	2019	1	80
USGS	09034250	00060	18444		2	18	2019	2019	1	80
USGS	09034250	00060	18444		2	19	2019	2019	1	80
USGS	09034250	00060	18444		2	20	2019	2019	1	80
USGS	09034250	00060	18444		2	21	2019	2019	1	80
USGS	09034250	00060	18444		2	22	2019	2019	1	79
USGS	09034250	00060	18444		2	23	2019	2019	1	79
USGS	09034250	00060	18444		2	24	2019	2019	1	78
USGS	09034250	00060	18444		2	25	2019	2019	1	78
USGS	09034250	00060	18444		2	26	2019	2019	1	77
USGS	09034250	00060	18444		2	27	2019	2019	1	77
USGS	09034250	00060	18444		2	28	2019	2019	1	76
USGS	09034250	00060	18444		3	1	2019	2019	1	75
USGS	09034250	00060	18444		3	2	2019	2019	1	73
USGS	09034250	00060	18444		3	3	2019	2019	1	72
USGS	09034250	00060	18444		3	4	2019	2019	1	72
USGS	09034250	00060	18444		3	5	2019	2019	1	72
USGS	09034250	00060	18444		3	6	2019	2019	1	73
USGS	09034250	00060	18444		3	7	2019	2019	1	73
USGS	09034250	00060	18444		3	8	2019	2019	1	73
USGS	09034250	00060	18444		3	9	2019	2019	1	73
USGS	09034250	00060	18444		3	10	2019	2019	1	74
USGS	09034250	00060	18444		3	11	2019	2019	1	74
USGS	09034250	00060	18444		3	12	2019	2019	1	74
USGS	09034250	00060	18444		3	13	2019	2019	1	74
USGS	09034250	00060	18444		3	14	2019	2019	1	75
USGS	09034250	00060	18444		3	15	2019	2019	1	75
USGS	09034250	00060	18444		3	16	2019	2019	1	76
USGS	09034250	00060	18444		3	17	2019	2019	1	76
USGS	09034250	00060	18444		3	18	2019	2019	1	77
USGS	09034250	00060	18444		3	19	2019	2019	1	78
USGS	09034250	00060	18444		3	20	2019	2019	1	78
USGS	09034250	00060	18444		3	21	2019	2019	1	79
USGS	09034250	00060	18444		3	22	2019	2019	1	80
USGS	09034250	00060	18444		3	23	2019	2019	1	80
USGS	09034250	00060	18444		3	24	2019	2019	1	81
USGS	09034250	00060	18444		3	25	2019	2019	1	87
USGS	09034250	00060	18444		3	26	2019	2019	1	83
USGS	09034250	00060	18444		3	27	2019	2019	1	80
USGS	09034250	00060	18444		3	28	2019	2019	1	92
USGS	09034250	00060	18444		3	29	2019	2019	1	116
USGS	09034250	00060	18444		3	30	2019	2019	1	108
USGS	09034250	00060	18444		3	31	2019	2019	1	101
USGS	09034250	00060	18444		4	1	2019	2019	1	108
USGS	09034250	00060	18444		4	2	2019	2019	1	119
USGS	09034250	00060	18444		4	3	2019	2019	1	121
USGS	09034250	00060	18444		4	4	2019	2019	1	136
USGS	09034250	00060	18444		4	5	2019	2019	1	152
USGS	09034250	00060	18444		4	6	2019	2019	1	163
USGS	09034250	00060	18444		4	7	2019	2019	1	174
USGS	09034250	00060	18444		4	8	2019	2019	1	234
USGS	09034250	00060	18444		4	9	2019	2019	1	305
USGS	09034250	00060	18444		4	10	2019	2019	1	306
USGS	09034250	00060	18444		4	11	2019	2019	1	191
USGS	09034250	00060	18444		4	12	2019	2019	1	178
USGS	09034250	00060	18444		4	13	2019	2019	1	168
USGS	09034250	00060	18444		4	14	2019	2019	1	153
USGS	09034250	00060	18444		4	15	2019	2019	1	173
USGS	09034250	00060	18444		4	16	2019	2019	1	196
USGS	09034250	00060	18444		4	17	2019	2019	1	202
USGS	09034250	00060	18444		4	18	2019	2019	1	220
USGS	09034250	00060	18444		4	19	2019	2019	1	199
USGS	09034250	00060	18444		4	20	2019	2019	1	373
USGS	09034250	00060	18444		4	21	2019	2019	1	391
USGS	09034250	00060	18444		4	22	2019	2019	1	380
USGS	09034250	00060	18444		4	23	2019	2019	1	381
USGS	09034250	00060	18444		4	24	2019	2019	1	445
USGS	09034250	00060	18444		4	25	2019	2019	1	433
USGS	09034250	00060	18444		4	26	2019	2019	1	476
USGS	09034250	00060	18444		4	27	2019	2019	1	699
USGS	09034250	00060	18444		4	28	2019	2019	1	645
USGS	09034250	00060	18444		4	29	2019	2019	1	664
USGS	09034250	00060	18444		4	30	2019	2019	1	720
USGS	09034250	00060	18444		5	1	2019	2019	1	667
USGS	09034250	00060	18444		5	2	2019	2019	1	533
USGS	09034250	00060	18444		5	3	2019	2019	1	481
USGS	09034250	00060	18444		5	4	2019	2019	1	451
USGS	09034250	00060	18444		5	5	2019	2019	1	444
USGS	09034250	00060	18444		5	6	2019	2019	1	483
USGS	09034250	00060	18444		5	7	2019	2019	1	468
USGS	09034250	00060	18444		5	8	2019	2019	1	420
USGS	09034250	00060	18444		5	9	2019	2019	1	310
USGS	09034250	00060	18444		5	10	2019	2019	1	264
USGS	09034250	00060	18444		5	11	2019	2019	1	232
USGS	09034250	00060	18444		5	12	2019	2019	1	201
USGS	09034250	00060	18444		5	13	2019	2019	1	203
USGS	09034250	00060	18444		5	14	2019	2019	1	272
USGS	09034250	00060	18444		5	15	2019	2019	1	277
USGS	09034250	00060	18444		5	16	2019	2019	1	326
USGS	09034250	00060	18444		5	17	2019	2019	1	381
USGS	09034250	00060	18444		5	18	2019	2019	1	374
USGS	09034250	00060	18444		5	19	2019	2019	1	309
USGS	09034250	00060	18444		5	20	2019	2019	1	276
USGS	09034250	00060	18444		5	21	2019	2019	1	303
USGS	09034250	00060	18444		5	22	2019	2019	1	275
USGS	09034250	00060	18444		5	23	2019	2019	1	227
USGS	09034250	00060	18444		5	24	2019	2019	1	224
USGS	09034250	00060	18444		5	25	2019	2019	1	205
USGS	09034250	00060	18444		5	26	2019	2019	1	184
USGS	09034250	00060	18444		5	27	2019	2019	1	190
USGS	09034250	00060	18444		5	28	2019	2019	1	200
USGS	09034250	00060	18444		5	29	2019	2019	1	200
USGS	09034250	00060	18444		5	30	2019	2019	1	188
USGS	09034250	00060	18444		5	31	2019	2019	1	173
USGS	09034250	00060	18444		6	1	2019	2019	1	174
USGS	09034250	00060	18444		6	2	2019	2019	1	185
USGS	09034250	00060	18444		6	3	2019	2019	1	198
USGS	09034250	00060	18444		6	4	2019	2019	1	206
USGS	09034250	00060	18444		6	5	2019	2019	1	207
USGS	09034250	00060	18444		6	6	2019	2019	1	316
USGS	09034250	00060	18444		6	7	2019	2019	1	470
USGS	09034250	00060	18444		6	8	2019	2019	1	515
USGS	09034250	00060	18444		6	9	2019	2019	1	548
USGS	09034250	00060	18444		6	10	2019	2019	1	492
USGS	09034250	00060	18444		6	11	2019	2019	1	465
USGS	09034250	00060	18444		6	12	2019	2019	1	449
USGS	09034250	00060	18444		6	13	2019	2019	1	441
USGS	09034250	00060	18444		6	14	2019	2019	1	502
USGS	09034250	00060	18444		6	15	2019	2019	1	518
USGS	09034250	00060	18444		6	16	2019	2019	1	462
USGS	09034250	00060	18444		6	17	2019	2019	1	456
USGS	09034250	00060	18444		6	18	2019	2019	1	517
USGS	09034250	00060	18444		6	19	2019	2019	1	641
USGS	09034250	00060	18444		6	20	2019	2019	1	673
USGS	09034250	00060	18444		6	21	2019	2019	1	735
USGS	09034250	00060	18444		6	22	2019	2019	1	795
USGS	09034250	00060	18444		6	23	2019	2019	1	744
USGS	09034250	00060	18444		6	24	2019	2019	1	644
USGS	09034250	00060	18444		6	25	2019	2019	1	711
USGS	09034250	00060	18444		6	26	2019	2019	1	701
USGS	09034250	00060	18444		6	27	2019	2019	1	704
USGS	09034250	00060	18444		6	28	2019	2019	1	746
USGS	09034250	00060	18444		6	29	2019	2019	1	831
USGS	09034250	00060	18444		6	30	2019	2019	1	949
USGS	09034250	00060	18444		7	1	2019	2019	1	1270
USGS	09034250	00060	18444		7	2	2019	2019	1	1250
USGS	09034250	00060	18444		7	3	2019	2019	1	1130
USGS	09034250	00060	18444		7	4	2019	2019	1	1170
USGS	09034250	00060	18444		7	5	2019	2019	1	1140
USGS	09034250	00060	18444		7	6	2019	2019	1	1040
USGS	09034250	00060	18444		7	7	2019	2019	1	1060
USGS	09034250	00060	18444		7	8	2019	2019	1	1100
USGS	09034250	00060	18444		7	9	2019	2019	1	1040
USGS	09034250	00060	18444		7	10	2019	2019	1	918
USGS	09034250	00060	18444		7	11	2019	2019	1	669
USGS	09034250	00060	18444		7	12	2019	2019	1	672
USGS	09034250	00060	18444		7	13	2019	2019	1	1060
USGS	09034250	00060	18444		7	14	2019	2019	1	1440
USGS	09034250	00060	18444		7	15	2019	2019	1	1540
USGS	09034250	00060	18444		7	16	2019	2019	1	1520
USGS	09034250	00060	18444		7	17	2019	2019	1	1370
USGS	09034250	00060	18444		7	18	2019	2019	1	1200
USGS	09034250	00060	18444		7	19	2019	2019	1	991
USGS	09034250	00060	18444		7	20	2019	2019	1	640
USGS	09034250	00060	18444		7	21	2019	2019	1	638
USGS	09034250	00060	18444		7	22	2019	2019	1	583
USGS	09034250	00060	18444		7	23	2019	2019	1	534
USGS	09034250	00060	18444		7	24	2019	2019	1	432
USGS	09034250	00060	18444		7	25	2019	2019	1	372
USGS	09034250	00060	18444		7	26	2019	2019	1	359
USGS	09034250	00060	18444		7	27	2019	2019	1	395
USGS	09034250	00060	18444		7	28	2019	2019	1	391
USGS	09034250	00060	18444		7	29	2019	2019	1	365
USGS	09034250	00060	18444		7	30	2019	2019	1	344
USGS	09034250	00060	18444		7	31	2019	2019	1	304
USGS	09034250	00060	18444		8	1	2019	2019	1	244
USGS	09034250	00060	18444		8	2	2019	2019	1	241
USGS	09034250	00060	18444		8	3	2019	2019	1	210
USGS	09034250	00060	18444		8	4	2019	2019	1	187
USGS	09034250	00060	18444		8	5	2019	2019	1	201
USGS	09034250	00060	18444		8	6	2019	2019	1	188
USGS	09034250	00060	18444		8	7	2019	2019	1	174
USGS	09034250	00060	18444		8	8	2019	2019	1	189
USGS	09034250	00060	18444		8	9	2019	2019	1	224
USGS	09034250	00060	18444		8	10	2019	2019	1	210
USGS	09034250	00060	18444		8	11	2019	2019	1	220
USGS	09034250	00060	18444		8	12	2019	2019	1	256
USGS	09034250	00060	18444		8	13	2019	2019	1	224
USGS	09034250	00060	18444		8	14	2019	2019	1	204
USGS	09034250	00060	18444		8	15	2019	2019	1	189
USGS	09034250	00060	18444		8	16	2019	2019	1	171
USGS	09034250	00060	18444		8	17	2019	2019	1	165
USGS	09034250	00060	18444		8	18	2019	2019	1	162
USGS	09034250	00060	18444		8	19	2019	2019	1	158
USGS	09034250	00060	18444		8	20	2019	2019	1	160
USGS	09034250	00060	18444		8	21	2019	2019	1	155
USGS	09034250	00060	18444		8	22	2019	2019	1	164
USGS	09034250	00060	18444		8	23	2019	2019	1	178
USGS	09034250	00060	18444		8	24	2019	2019	1	176
USGS	09034250	00060	18444		8	25	2019	2019	1	173
USGS	09034250	00060	18444		8	26	2019	2019	1	173
USGS	09034250	00060	18444		8	27	2019	2019	1	172
USGS	09034250	00060	18444		8	28	2019	2019	1	169
USGS	09034250	00060	18444		8	29	2019	2019	1	169
USGS	09034250	00060	18444		8	30	2019	2019	1	172
USGS	09034250	00060	18444		8	31	2019	2019	1	174
USGS	09034250	00060	18444		9	1	2019	2019	1	163
USGS	09034250	00060	18444		9	2	2019	2019	1	153
USGS	09034250	00060	18444		9	3	2019	2019	1	151
USGS	09034250	00060	18444		9	4	2019	2019	1	150
USGS	09034250	00060	18444		9	5	2019	2019	1	152
USGS	09034250	00060	18444		9	6	2019	2019	1	159
USGS	09034250	00060	18444		9	7	2019	2019	1	179
USGS	09034250	00060	18444		9	8	2019	2019	1	180
USGS	09034250	00060	18444		9	9	2019	2019	1	200
USGS	09034250	00060	18444		9	10	2019	2019	1	184
