#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:32 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09057500     00060          BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09057500	00060	18552		1	1	2008	2008	1	194
USGS	09057500	00060	18552		1	2	2008	2008	1	196
USGS	09057500	00060	18552		1	3	2008	2008	1	199
USGS	09057500	00060	18552		1	4	2008	2008	1	195
USGS	09057500	00060	18552		1	5	2008	2008	1	195
USGS	09057500	00060	18552		1	6	2008	2008	1	198
USGS	09057500	00060	18552		1	7	2008	2008	1	194
USGS	09057500	00060	18552		1	8	2008	2008	1	195
USGS	09057500	00060	18552		1	9	2008	2008	1	195
USGS	09057500	00060	18552		1	10	2008	2008	1	195
USGS	09057500	00060	18552		1	11	2008	2008	1	197
USGS	09057500	00060	18552		1	12	2008	2008	1	195
USGS	09057500	00060	18552		1	13	2008	2008	1	196
USGS	09057500	00060	18552		1	14	2008	2008	1	197
USGS	09057500	00060	18552		1	15	2008	2008	1	195
USGS	09057500	00060	18552		1	16	2008	2008	1	197
USGS	09057500	00060	18552		1	17	2008	2008	1	197
USGS	09057500	00060	18552		1	18	2008	2008	1	198
USGS	09057500	00060	18552		1	19	2008	2008	1	197
USGS	09057500	00060	18552		1	20	2008	2008	1	199
USGS	09057500	00060	18552		1	21	2008	2008	1	199
USGS	09057500	00060	18552		1	22	2008	2008	1	199
USGS	09057500	00060	18552		1	23	2008	2008	1	197
USGS	09057500	00060	18552		1	24	2008	2008	1	197
USGS	09057500	00060	18552		1	25	2008	2008	1	197
USGS	09057500	00060	18552		1	26	2008	2008	1	197
USGS	09057500	00060	18552		1	27	2008	2008	1	198
USGS	09057500	00060	18552		1	28	2008	2008	1	197
USGS	09057500	00060	18552		1	29	2008	2008	1	197
USGS	09057500	00060	18552		1	30	2008	2008	1	197
USGS	09057500	00060	18552		1	31	2008	2008	1	215
USGS	09057500	00060	18552		2	1	2008	2008	1	225
USGS	09057500	00060	18552		2	2	2008	2008	1	226
USGS	09057500	00060	18552		2	3	2008	2008	1	225
USGS	09057500	00060	18552		2	4	2008	2008	1	242
USGS	09057500	00060	18552		2	5	2008	2008	1	256
USGS	09057500	00060	18552		2	6	2008	2008	1	255
USGS	09057500	00060	18552		2	7	2008	2008	1	267
USGS	09057500	00060	18552		2	8	2008	2008	1	281
USGS	09057500	00060	18552		2	9	2008	2008	1	281
USGS	09057500	00060	18552		2	10	2008	2008	1	280
USGS	09057500	00060	18552		2	11	2008	2008	1	281
USGS	09057500	00060	18552		2	12	2008	2008	1	280
USGS	09057500	00060	18552		2	13	2008	2008	1	296
USGS	09057500	00060	18552		2	14	2008	2008	1	305
USGS	09057500	00060	18552		2	15	2008	2008	1	301
USGS	09057500	00060	18552		2	16	2008	2008	1	300
USGS	09057500	00060	18552		2	17	2008	2008	1	303
USGS	09057500	00060	18552		2	18	2008	2008	1	301
USGS	09057500	00060	18552		2	19	2008	2008	1	301
USGS	09057500	00060	18552		2	20	2008	2008	1	317
USGS	09057500	00060	18552		2	21	2008	2008	1	328
USGS	09057500	00060	18552		2	22	2008	2008	1	328
USGS	09057500	00060	18552		2	23	2008	2008	1	327
USGS	09057500	00060	18552		2	24	2008	2008	1	327
USGS	09057500	00060	18552		2	25	2008	2008	1	327
USGS	09057500	00060	18552		2	26	2008	2008	1	326
USGS	09057500	00060	18552		2	27	2008	2008	1	326
USGS	09057500	00060	18552		2	28	2008	2008	1	322
USGS	09057500	00060	18552		2	29	2008	2008	1	321
USGS	09057500	00060	18552		3	1	2008	2008	1	340
USGS	09057500	00060	18552		3	2	2008	2008	1	350
USGS	09057500	00060	18552		3	3	2008	2008	1	367
USGS	09057500	00060	18552		3	4	2008	2008	1	376
USGS	09057500	00060	18552		3	5	2008	2008	1	375
USGS	09057500	00060	18552		3	6	2008	2008	1	374
USGS	09057500	00060	18552		3	7	2008	2008	1	374
USGS	09057500	00060	18552		3	8	2008	2008	1	374
USGS	09057500	00060	18552		3	9	2008	2008	1	373
USGS	09057500	00060	18552		3	10	2008	2008	1	374
USGS	09057500	00060	18552		3	11	2008	2008	1	373
USGS	09057500	00060	18552		3	12	2008	2008	1	373
USGS	09057500	00060	18552		3	13	2008	2008	1	373
USGS	09057500	00060	18552		3	14	2008	2008	1	372
USGS	09057500	00060	18552		3	15	2008	2008	1	372
USGS	09057500	00060	18552		3	16	2008	2008	1	372
USGS	09057500	00060	18552		3	17	2008	2008	1	372
USGS	09057500	00060	18552		3	18	2008	2008	1	372
USGS	09057500	00060	18552		3	19	2008	2008	1	391
USGS	09057500	00060	18552		3	20	2008	2008	1	446
USGS	09057500	00060	18552		3	21	2008	2008	1	471
USGS	09057500	00060	18552		3	22	2008	2008	1	481
USGS	09057500	00060	18552		3	23	2008	2008	1	484
USGS	09057500	00060	18552		3	24	2008	2008	1	490
USGS	09057500	00060	18552		3	25	2008	2008	1	494
USGS	09057500	00060	18552		3	26	2008	2008	1	481
USGS	09057500	00060	18552		3	27	2008	2008	1	483
USGS	09057500	00060	18552		3	28	2008	2008	1	483
USGS	09057500	00060	18552		3	29	2008	2008	1	483
USGS	09057500	00060	18552		3	30	2008	2008	1	482
USGS	09057500	00060	18552		3	31	2008	2008	1	482
USGS	09057500	00060	18552		4	1	2008	2008	1	481
USGS	09057500	00060	18552		4	2	2008	2008	1	483
USGS	09057500	00060	18552		4	3	2008	2008	1	488
USGS	09057500	00060	18552		4	4	2008	2008	1	491
USGS	09057500	00060	18552		4	5	2008	2008	1	491
USGS	09057500	00060	18552		4	6	2008	2008	1	489
USGS	09057500	00060	18552		4	7	2008	2008	1	487
USGS	09057500	00060	18552		4	8	2008	2008	1	489
USGS	09057500	00060	18552		4	9	2008	2008	1	487
USGS	09057500	00060	18552		4	10	2008	2008	1	488
USGS	09057500	00060	18552		4	11	2008	2008	1	489
USGS	09057500	00060	18552		4	12	2008	2008	1	487
USGS	09057500	00060	18552		4	13	2008	2008	1	488
USGS	09057500	00060	18552		4	14	2008	2008	1	484
USGS	09057500	00060	18552		4	15	2008	2008	1	488
USGS	09057500	00060	18552		4	16	2008	2008	1	485
USGS	09057500	00060	18552		4	17	2008	2008	1	489
USGS	09057500	00060	18552		4	18	2008	2008	1	491
USGS	09057500	00060	18552		4	19	2008	2008	1	493
USGS	09057500	00060	18552		4	20	2008	2008	1	492
USGS	09057500	00060	18552		4	21	2008	2008	1	501
USGS	09057500	00060	18552		4	22	2008	2008	1	491
USGS	09057500	00060	18552		4	23	2008	2008	1	489
USGS	09057500	00060	18552		4	24	2008	2008	1	490
USGS	09057500	00060	18552		4	25	2008	2008	1	495
USGS	09057500	00060	18552		4	26	2008	2008	1	495
USGS	09057500	00060	18552		4	27	2008	2008	1	493
USGS	09057500	00060	18552		4	28	2008	2008	1	563
USGS	09057500	00060	18552		4	29	2008	2008	1	602
USGS	09057500	00060	18552		4	30	2008	2008	1	602
USGS	09057500	00060	18552		5	1	2008	2008	1	604
USGS	09057500	00060	18552		5	2	2008	2008	1	602
USGS	09057500	00060	18552		5	3	2008	2008	1	602
USGS	09057500	00060	18552		5	4	2008	2008	1	592
USGS	09057500	00060	18552		5	5	2008	2008	1	589
USGS	09057500	00060	18552		5	6	2008	2008	1	595
USGS	09057500	00060	18552		5	7	2008	2008	1	592
USGS	09057500	00060	18552		5	8	2008	2008	1	597
USGS	09057500	00060	18552		5	9	2008	2008	1	599
USGS	09057500	00060	18552		5	10	2008	2008	1	602
USGS	09057500	00060	18552		5	11	2008	2008	1	597
USGS	09057500	00060	18552		5	12	2008	2008	1	604
USGS	09057500	00060	18552		5	13	2008	2008	1	603
USGS	09057500	00060	18552		5	14	2008	2008	1	643
USGS	09057500	00060	18552		5	15	2008	2008	1	708
USGS	09057500	00060	18552		5	16	2008	2008	1	697
USGS	09057500	00060	18552		5	17	2008	2008	1	691
USGS	09057500	00060	18552		5	18	2008	2008	1	685
USGS	09057500	00060	18552		5	19	2008	2008	1	711
USGS	09057500	00060	18552		5	20	2008	2008	1	832
USGS	09057500	00060	18552		5	21	2008	2008	1	982
USGS	09057500	00060	18552		5	22	2008	2008	1	1080
USGS	09057500	00060	18552		5	23	2008	2008	1	1080
USGS	09057500	00060	18552		5	24	2008	2008	1	1090
USGS	09057500	00060	18552		5	25	2008	2008	1	1080
USGS	09057500	00060	18552		5	26	2008	2008	1	1070
USGS	09057500	00060	18552		5	27	2008	2008	1	1070
USGS	09057500	00060	18552		5	28	2008	2008	1	1070
USGS	09057500	00060	18552		5	29	2008	2008	1	929
USGS	09057500	00060	18552		5	30	2008	2008	1	783
USGS	09057500	00060	18552		5	31	2008	2008	1	770
USGS	09057500	00060	18552		6	1	2008	2008	1	771
USGS	09057500	00060	18552		6	2	2008	2008	1	773
USGS	09057500	00060	18552		6	3	2008	2008	1	770
USGS	09057500	00060	18552		6	4	2008	2008	1	839
USGS	09057500	00060	18552		6	5	2008	2008	1	1070
USGS	09057500	00060	18552		6	6	2008	2008	1	1180
USGS	09057500	00060	18552		6	7	2008	2008	1	1170
USGS	09057500	00060	18552		6	8	2008	2008	1	518
USGS	09057500	00060	18552		6	9	2008	2008	1	765
USGS	09057500	00060	18552		6	10	2008	2008	1	774
USGS	09057500	00060	18552		6	11	2008	2008	1	779
USGS	09057500	00060	18552		6	12	2008	2008	1	771
USGS	09057500	00060	18552		6	13	2008	2008	1	777
USGS	09057500	00060	18552		6	14	2008	2008	1	773
USGS	09057500	00060	18552		6	15	2008	2008	1	680
USGS	09057500	00060	18552		6	16	2008	2008	1	535
USGS	09057500	00060	18552		6	17	2008	2008	1	355
