#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:38 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09058000     00060          COLORADO RIVER NEAR KREMMLING, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09058000	00060	18555		1	1	2018	2018	1	490
USGS	09058000	00060	18555		1	2	2018	2018	1	468
USGS	09058000	00060	18555		1	3	2018	2018	1	452
USGS	09058000	00060	18555		1	4	2018	2018	1	440
USGS	09058000	00060	18555		1	5	2018	2018	1	421
USGS	09058000	00060	18555		1	6	2018	2018	1	414
USGS	09058000	00060	18555		1	7	2018	2018	1	437
USGS	09058000	00060	18555		1	8	2018	2018	1	469
USGS	09058000	00060	18555		1	9	2018	2018	1	511
USGS	09058000	00060	18555		1	10	2018	2018	1	476
USGS	09058000	00060	18555		1	11	2018	2018	1	470
USGS	09058000	00060	18555		1	12	2018	2018	1	464
USGS	09058000	00060	18555		1	13	2018	2018	1	459
USGS	09058000	00060	18555		1	14	2018	2018	1	463
USGS	09058000	00060	18555		1	15	2018	2018	1	455
USGS	09058000	00060	18555		1	16	2018	2018	1	445
USGS	09058000	00060	18555		1	17	2018	2018	1	436
USGS	09058000	00060	18555		1	18	2018	2018	1	428
USGS	09058000	00060	18555		1	19	2018	2018	1	424
USGS	09058000	00060	18555		1	20	2018	2018	1	418
USGS	09058000	00060	18555		1	21	2018	2018	1	411
USGS	09058000	00060	18555		1	22	2018	2018	1	408
USGS	09058000	00060	18555		1	23	2018	2018	1	409
USGS	09058000	00060	18555		1	24	2018	2018	1	411
USGS	09058000	00060	18555		1	25	2018	2018	1	414
USGS	09058000	00060	18555		1	26	2018	2018	1	418
USGS	09058000	00060	18555		1	27	2018	2018	1	420
USGS	09058000	00060	18555		1	28	2018	2018	1	424
USGS	09058000	00060	18555		1	29	2018	2018	1	426
USGS	09058000	00060	18555		1	30	2018	2018	1	430
USGS	09058000	00060	18555		1	31	2018	2018	1	431
USGS	09058000	00060	18555		2	1	2018	2018	1	428
