#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:46 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09070500     00060          COLORADO RIVER NEAR DOTSERO, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09070500	00060	18624		1	1	2007	2007	1	1060
USGS	09070500	00060	18624		1	2	2007	2007	1	1070
USGS	09070500	00060	18624		1	3	2007	2007	1	1110
USGS	09070500	00060	18624		1	4	2007	2007	1	1150
USGS	09070500	00060	18624		1	5	2007	2007	1	1140
USGS	09070500	00060	18624		1	6	2007	2007	1	1090
USGS	09070500	00060	18624		1	7	2007	2007	1	1060
USGS	09070500	00060	18624		1	8	2007	2007	1	1170
USGS	09070500	00060	18624		1	9	2007	2007	1	1220
USGS	09070500	00060	18624		1	10	2007	2007	1	1180
USGS	09070500	00060	18624		1	11	2007	2007	1	1140
USGS	09070500	00060	18624		1	12	2007	2007	1	1050
USGS	09070500	00060	18624		1	13	2007	2007	1	1030
USGS	09070500	00060	18624		1	14	2007	2007	1	802
USGS	09070500	00060	18624		1	15	2007	2007	1	590
USGS	09070500	00060	18624		1	16	2007	2007	1	449
USGS	09070500	00060	18624		1	17	2007	2007	1	490
USGS	09070500	00060	18624		1	18	2007	2007	1	525
USGS	09070500	00060	18624		1	19	2007	2007	1	577
USGS	09070500	00060	18624		1	20	2007	2007	1	690
USGS	09070500	00060	18624		1	21	2007	2007	1	900
USGS	09070500	00060	18624		1	22	2007	2007	1	961
USGS	09070500	00060	18624		1	23	2007	2007	1	867
USGS	09070500	00060	18624		1	24	2007	2007	1	914
USGS	09070500	00060	18624		1	25	2007	2007	1	937
USGS	09070500	00060	18624		1	26	2007	2007	1	919
USGS	09070500	00060	18624		1	27	2007	2007	1	943
USGS	09070500	00060	18624		1	28	2007	2007	1	927
USGS	09070500	00060	18624		1	29	2007	2007	1	903
USGS	09070500	00060	18624		1	30	2007	2007	1	966
USGS	09070500	00060	18624		1	31	2007	2007	1	1010
USGS	09070500	00060	18624		2	1	2007	2007	1	950
USGS	09070500	00060	18624		2	2	2007	2007	1	888
USGS	09070500	00060	18624		2	3	2007	2007	1	911
USGS	09070500	00060	18624		2	4	2007	2007	1	966
USGS	09070500	00060	18624		2	5	2007	2007	1	1010
USGS	09070500	00060	18624		2	6	2007	2007	1	982
USGS	09070500	00060	18624		2	7	2007	2007	1	982
USGS	09070500	00060	18624		2	8	2007	2007	1	966
USGS	09070500	00060	18624		2	9	2007	2007	1	943
USGS	09070500	00060	18624		2	10	2007	2007	1	950
USGS	09070500	00060	18624		2	11	2007	2007	1	974
USGS	09070500	00060	18624		2	12	2007	2007	1	1060
USGS	09070500	00060	18624		2	13	2007	2007	1	980
USGS	09070500	00060	18624		2	14	2007	2007	1	916
USGS	09070500	00060	18624		2	15	2007	2007	1	901
USGS	09070500	00060	18624		2	16	2007	2007	1	883
USGS	09070500	00060	18624		2	17	2007	2007	1	850
USGS	09070500	00060	18624		2	18	2007	2007	1	836
USGS	09070500	00060	18624		2	19	2007	2007	1	877
USGS	09070500	00060	18624		2	20	2007	2007	1	857
USGS	09070500	00060	18624		2	21	2007	2007	1	853
USGS	09070500	00060	18624		2	22	2007	2007	1	850
USGS	09070500	00060	18624		2	23	2007	2007	1	846
USGS	09070500	00060	18624		2	24	2007	2007	1	844
USGS	09070500	00060	18624		2	25	2007	2007	1	753
USGS	09070500	00060	18624		2	26	2007	2007	1	824
USGS	09070500	00060	18624		2	27	2007	2007	1	841
USGS	09070500	00060	18624		2	28	2007	2007	1	818
USGS	09070500	00060	18624		3	1	2007	2007	1	754
USGS	09070500	00060	18624		3	2	2007	2007	1	757
USGS	09070500	00060	18624		3	3	2007	2007	1	784
USGS	09070500	00060	18624		3	4	2007	2007	1	786
USGS	09070500	00060	18624		3	5	2007	2007	1	850
USGS	09070500	00060	18624		3	6	2007	2007	1	852
USGS	09070500	00060	18624		3	7	2007	2007	1	894
USGS	09070500	00060	18624		3	8	2007	2007	1	953
USGS	09070500	00060	18624		3	9	2007	2007	1	938
USGS	09070500	00060	18624		3	10	2007	2007	1	943
USGS	09070500	00060	18624		3	11	2007	2007	1	970
USGS	09070500	00060	18624		3	12	2007	2007	1	995
USGS	09070500	00060	18624		3	13	2007	2007	1	1030
USGS	09070500	00060	18624		3	14	2007	2007	1	1080
USGS	09070500	00060	18624		3	15	2007	2007	1	1170
USGS	09070500	00060	18624		3	16	2007	2007	1	1240
USGS	09070500	00060	18624		3	17	2007	2007	1	1280
USGS	09070500	00060	18624		3	18	2007	2007	1	1460
USGS	09070500	00060	18624		3	19	2007	2007	1	1540
USGS	09070500	00060	18624		3	20	2007	2007	1	1620
USGS	09070500	00060	18624		3	21	2007	2007	1	1790
USGS	09070500	00060	18624		3	22	2007	2007	1	1770
USGS	09070500	00060	18624		3	23	2007	2007	1	1710
USGS	09070500	00060	18624		3	24	2007	2007	1	1790
USGS	09070500	00060	18624		3	25	2007	2007	1	1730
USGS	09070500	00060	18624		3	26	2007	2007	1	1620
USGS	09070500	00060	18624		3	27	2007	2007	1	1660
USGS	09070500	00060	18624		3	28	2007	2007	1	1810
USGS	09070500	00060	18624		3	29	2007	2007	1	1730
USGS	09070500	00060	18624		3	30	2007	2007	1	1540
USGS	09070500	00060	18624		3	31	2007	2007	1	1420
USGS	09070500	00060	18624		4	1	2007	2007	1	1350
USGS	09070500	00060	18624		4	2	2007	2007	1	1310
USGS	09070500	00060	18624		4	3	2007	2007	1	1340
USGS	09070500	00060	18624		4	4	2007	2007	1	1440
USGS	09070500	00060	18624		4	5	2007	2007	1	1510
USGS	09070500	00060	18624		4	6	2007	2007	1	1570
USGS	09070500	00060	18624		4	7	2007	2007	1	1680
USGS	09070500	00060	18624		4	8	2007	2007	1	1770
USGS	09070500	00060	18624		4	9	2007	2007	1	1740
USGS	09070500	00060	18624		4	10	2007	2007	1	1720
USGS	09070500	00060	18624		4	11	2007	2007	1	1520
USGS	09070500	00060	18624		4	12	2007	2007	1	1430
USGS	09070500	00060	18624		4	13	2007	2007	1	1350
USGS	09070500	00060	18624		4	14	2007	2007	1	1260
USGS	09070500	00060	18624		4	15	2007	2007	1	1240
USGS	09070500	00060	18624		4	16	2007	2007	1	1260
USGS	09070500	00060	18624		4	17	2007	2007	1	1320
USGS	09070500	00060	18624		4	18	2007	2007	1	1370
USGS	09070500	00060	18624		4	19	2007	2007	1	1400
USGS	09070500	00060	18624		4	20	2007	2007	1	1430
USGS	09070500	00060	18624		4	21	2007	2007	1	1550
USGS	09070500	00060	18624		4	22	2007	2007	1	1640
USGS	09070500	00060	18624		4	23	2007	2007	1	1640
USGS	09070500	00060	18624		4	24	2007	2007	1	1660
USGS	09070500	00060	18624		4	25	2007	2007	1	1630
USGS	09070500	00060	18624		4	26	2007	2007	1	1580
USGS	09070500	00060	18624		4	27	2007	2007	1	1550
USGS	09070500	00060	18624		4	28	2007	2007	1	1520
USGS	09070500	00060	18624		4	29	2007	2007	1	1740
USGS	09070500	00060	18624		4	30	2007	2007	1	2270
USGS	09070500	00060	18624		5	1	2007	2007	1	2740
USGS	09070500	00060	18624		5	2	2007	2007	1	2980
USGS	09070500	00060	18624		5	3	2007	2007	1	3140
USGS	09070500	00060	18624		5	4	2007	2007	1	3290
USGS	09070500	00060	18624		5	5	2007	2007	1	3110
USGS	09070500	00060	18624		5	6	2007	2007	1	2820
USGS	09070500	00060	18624		5	7	2007	2007	1	2470
USGS	09070500	00060	18624		5	8	2007	2007	1	2180
USGS	09070500	00060	18624		5	9	2007	2007	1	2130
USGS	09070500	00060	18624		5	10	2007	2007	1	2140
USGS	09070500	00060	18624		5	11	2007	2007	1	2410
USGS	09070500	00060	18624		5	12	2007	2007	1	3070
USGS	09070500	00060	18624		5	13	2007	2007	1	3640
USGS	09070500	00060	18624		5	14	2007	2007	1	4060
USGS	09070500	00060	18624		5	15	2007	2007	1	4370
USGS	09070500	00060	18624		5	16	2007	2007	1	4630
USGS	09070500	00060	18624		5	17	2007	2007	1	4850
USGS	09070500	00060	18624		5	18	2007	2007	1	4840
USGS	09070500	00060	18624		5	19	2007	2007	1	5440
USGS	09070500	00060	18624		5	20	2007	2007	1	5860
USGS	09070500	00060	18624		5	21	2007	2007	1	5900
USGS	09070500	00060	18624		5	22	2007	2007	1	5950
USGS	09070500	00060	18624		5	23	2007	2007	1	5450
USGS	09070500	00060	18624		5	24	2007	2007	1	4800
