#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:52 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09071750     00095          COLORADO RIVER ABOVE GLENWOOD SPRINGS, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00095         Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09071750	00095	18638		1	5	2015	2015	1	704
USGS	09071750	00095	18638		1	6	2015	2015	1	647
USGS	09071750	00095	18638		1	7	2015	2015	1	614
USGS	09071750	00095	18638		1	8	2015	2015	1	631
USGS	09071750	00095	18638		1	10	2015	2015	1	662
USGS	09071750	00095	18638		1	11	2015	2015	1	670
USGS	09071750	00095	18638		1	12	2015	2015	1	658
USGS	09071750	00095	18638		1	13	2015	2015	1	648
USGS	09071750	00095	18638		1	14	2015	2015	1	666
USGS	09071750	00095	18638		1	15	2015	2015	1	692
USGS	09071750	00095	18638		1	16	2015	2015	1	717
USGS	09071750	00095	18638		1	17	2015	2015	1	733
USGS	09071750	00095	18638		1	18	2015	2015	1	731
USGS	09071750	00095	18638		1	19	2015	2015	1	690
USGS	09071750	00095	18638		1	20	2015	2015	1	691
USGS	09071750	00095	18638		1	21	2015	2015	1	692
USGS	09071750	00095	18638		1	25	2015	2015	1	821
USGS	09071750	00095	18638		1	26	2015	2015	1	711
USGS	09071750	00095	18638		1	27	2015	2015	1	663
USGS	09071750	00095	18638		1	28	2015	2015	1	673
USGS	09071750	00095	18638		1	29	2015	2015	1	687
USGS	09071750	00095	18638		1	30	2015	2015	1	688
USGS	09071750	00095	18638		1	31	2015	2015	1	679
USGS	09071750	00095	18638		2	1	2015	2015	1	683
USGS	09071750	00095	18638		2	2	2015	2015	1	658
USGS	09071750	00095	18638		2	3	2015	2015	1	638
USGS	09071750	00095	18638		2	4	2015	2015	1	624
USGS	09071750	00095	18638		2	5	2015	2015	1	618
USGS	09071750	00095	18638		2	6	2015	2015	1	649
USGS	09071750	00095	18638		2	7	2015	2015	1	646
USGS	09071750	00095	18638		2	8	2015	2015	1	634
USGS	09071750	00095	18638		2	9	2015	2015	1	640
USGS	09071750	00095	18638		2	10	2015	2015	1	650
USGS	09071750	00095	18638		2	11	2015	2015	1	658
USGS	09071750	00095	18638		2	12	2015	2015	1	649
USGS	09071750	00095	18638		2	13	2015	2015	1	653
USGS	09071750	00095	18638		2	14	2015	2015	1	662
USGS	09071750	00095	18638		2	15	2015	2015	1	666
USGS	09071750	00095	18638		2	16	2015	2015	1	659
USGS	09071750	00095	18638		2	17	2015	2015	1	659
USGS	09071750	00095	18638		2	18	2015	2015	1	674
USGS	09071750	00095	18638		2	19	2015	2015	1	679
USGS	09071750	00095	18638		2	20	2015	2015	1	673
USGS	09071750	00095	18638		2	21	2015	2015	1	675
USGS	09071750	00095	18638		2	22	2015	2015	1	680
USGS	09071750	00095	18638		2	23	2015	2015	1	678
USGS	09071750	00095	18638		2	24	2015	2015	1	694
USGS	09071750	00095	18638		2	25	2015	2015	1	700
USGS	09071750	00095	18638		2	26	2015	2015	1	686
USGS	09071750	00095	18638		2	27	2015	2015	1	682
USGS	09071750	00095	18638		2	28	2015	2015	1	680
USGS	09071750	00095	18638		3	1	2015	2015	1	679
USGS	09071750	00095	18638		3	2	2015	2015	1	682
USGS	09071750	00095	18638		3	3	2015	2015	1	669
USGS	09071750	00095	18638		3	4	2015	2015	1	681
USGS	09071750	00095	18638		3	5	2015	2015	1	697
USGS	09071750	00095	18638		3	6	2015	2015	1	729
USGS	09071750	00095	18638		3	7	2015	2015	1	734
USGS	09071750	00095	18638		3	8	2015	2015	1	706
USGS	09071750	00095	18638		3	9	2015	2015	1	689
USGS	09071750	00095	18638		3	10	2015	2015	1	687
USGS	09071750	00095	18638		3	11	2015	2015	1	681
USGS	09071750	00095	18638		3	12	2015	2015	1	677
USGS	09071750	00095	18638		3	13	2015	2015	1	684
USGS	09071750	00095	18638		3	14	2015	2015	1	684
USGS	09071750	00095	18638		3	15	2015	2015	1	667
USGS	09071750	00095	18638		3	16	2015	2015	1	662
USGS	09071750	00095	18638		3	17	2015	2015	1	642
USGS	09071750	00095	18638		3	18	2015	2015	1	606
USGS	09071750	00095	18638		3	19	2015	2015	1	575
USGS	09071750	00095	18638		3	20	2015	2015	1	556
USGS	09071750	00095	18638		3	21	2015	2015	1	552
USGS	09071750	00095	18638		3	22	2015	2015	1	558
USGS	09071750	00095	18638		3	23	2015	2015	1	550
USGS	09071750	00095	18638		3	24	2015	2015	1	538
USGS	09071750	00095	18638		3	25	2015	2015	1	533
USGS	09071750	00095	18638		3	26	2015	2015	1	540
USGS	09071750	00095	18638		3	27	2015	2015	1	559
USGS	09071750	00095	18638		3	28	2015	2015	1	577
USGS	09071750	00095	18638		3	29	2015	2015	1	561
USGS	09071750	00095	18638		3	30	2015	2015	1	521
USGS	09071750	00095	18638		3	31	2015	2015	1	483
USGS	09071750	00095	18638		4	1	2015	2015	1	464
USGS	09071750	00095	18638		4	2	2015	2015	1	442
USGS	09071750	00095	18638		4	3	2015	2015	1	435
USGS	09071750	00095	18638		4	4	2015	2015	1	451
USGS	09071750	00095	18638		4	5	2015	2015	1	472
USGS	09071750	00095	18638		4	6	2015	2015	1	484
USGS	09071750	00095	18638		4	7	2015	2015	1	482
USGS	09071750	00095	18638		4	8	2015	2015	1	469
USGS	09071750	00095	18638		4	9	2015	2015	1	456
USGS	09071750	00095	18638		4	10	2015	2015	1	453
USGS	09071750	00095	18638		4	11	2015	2015	1	457
USGS	09071750	00095	18638		4	12	2015	2015	1	459
USGS	09071750	00095	18638		4	13	2015	2015	1	461
USGS	09071750	00095	18638		4	14	2015	2015	1	470
USGS	09071750	00095	18638		4	15	2015	2015	1	463
USGS	09071750	00095	18638		4	16	2015	2015	1	439
USGS	09071750	00095	18638		4	17	2015	2015	1	431
USGS	09071750	00095	18638		4	18	2015	2015	1	435
USGS	09071750	00095	18638		4	19	2015	2015	1	449
USGS	09071750	00095	18638		4	20	2015	2015	1	471
USGS	09071750	00095	18638		4	21	2015	2015	1	476
USGS	09071750	00095	18638		4	22	2015	2015	1	480
USGS	09071750	00095	18638		4	23	2015	2015	1	488
USGS	09071750	00095	18638		4	24	2015	2015	1	494
USGS	09071750	00095	18638		4	25	2015	2015	1	493
