#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:54:07 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09081000     00060          ROARING FORK RIVER NEAR EMMA, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09081000	00060	18707		1	1	2019	2019	1	228
USGS	09081000	00060	18707		1	2	2019	2019	1	139
USGS	09081000	00060	18707		1	3	2019	2019	1	66
USGS	09081000	00060	18707		1	4	2019	2019	1	347
USGS	09081000	00060	18707		1	5	2019	2019	1	240
USGS	09081000	00060	18707		1	6	2019	2019	1	260
USGS	09081000	00060	18707		1	7	2019	2019	1	249
USGS	09081000	00060	18707		1	8	2019	2019	1	227
USGS	09081000	00060	18707		1	9	2019	2019	1	217
USGS	09081000	00060	18707		1	10	2019	2019	1	221
USGS	09081000	00060	18707		1	11	2019	2019	1	224
USGS	09081000	00060	18707		1	12	2019	2019	1	217
USGS	09081000	00060	18707		1	13	2019	2019	1	206
USGS	09081000	00060	18707		1	14	2019	2019	1	174
USGS	09081000	00060	18707		1	15	2019	2019	1	190
USGS	09081000	00060	18707		1	16	2019	2019	1	241
USGS	09081000	00060	18707		1	17	2019	2019	1	214
USGS	09081000	00060	18707		1	18	2019	2019	1	216
USGS	09081000	00060	18707		1	19	2019	2019	1	207
USGS	09081000	00060	18707		1	20	2019	2019	1	205
USGS	09081000	00060	18707		1	21	2019	2019	1	207
USGS	09081000	00060	18707		1	22	2019	2019	1	208
USGS	09081000	00060	18707		1	23	2019	2019	1	187
USGS	09081000	00060	18707		1	24	2019	2019	1	214
USGS	09081000	00060	18707		1	25	2019	2019	1	204
USGS	09081000	00060	18707		1	26	2019	2019	1	202
USGS	09081000	00060	18707		1	27	2019	2019	1	197
USGS	09081000	00060	18707		1	28	2019	2019	1	207
USGS	09081000	00060	18707		1	29	2019	2019	1	164
USGS	09081000	00060	18707		1	30	2019	2019	1	153
USGS	09081000	00060	18707		1	31	2019	2019	1	196
USGS	09081000	00060	18707		2	1	2019	2019	1	256
USGS	09081000	00060	18707		2	2	2019	2019	1	239
USGS	09081000	00060	18707		2	3	2019	2019	1	228
USGS	09081000	00060	18707		2	4	2019	2019	1	212
USGS	09081000	00060	18707		2	5	2019	2019	1	208
USGS	09081000	00060	18707		2	6	2019	2019	1	201
USGS	09081000	00060	18707		2	7	2019	2019	1	191
USGS	09081000	00060	18707		2	8	2019	2019	1	130
USGS	09081000	00060	18707		2	9	2019	2019	1	186
USGS	09081000	00060	18707		2	10	2019	2019	1	225
USGS	09081000	00060	18707		2	11	2019	2019	1	207
USGS	09081000	00060	18707		2	12	2019	2019	1	197
USGS	09081000	00060	18707		2	13	2019	2019	1	210
USGS	09081000	00060	18707		2	14	2019	2019	1	206
USGS	09081000	00060	18707		2	15	2019	2019	1	203
USGS	09081000	00060	18707		2	16	2019	2019	1	199
USGS	09081000	00060	18707		2	17	2019	2019	1	184
USGS	09081000	00060	18707		2	18	2019	2019	1	191
USGS	09081000	00060	18707		2	19	2019	2019	1	203
USGS	09081000	00060	18707		2	20	2019	2019	1	195
USGS	09081000	00060	18707		2	21	2019	2019	1	200
USGS	09081000	00060	18707		2	22	2019	2019	1	198
USGS	09081000	00060	18707		2	23	2019	2019	1	198
USGS	09081000	00060	18707		2	24	2019	2019	1	187
USGS	09081000	00060	18707		2	25	2019	2019	1	187
USGS	09081000	00060	18707		2	26	2019	2019	1	201
USGS	09081000	00060	18707		2	27	2019	2019	1	194
USGS	09081000	00060	18707		2	28	2019	2019	1	195
USGS	09081000	00060	18707		3	1	2019	2019	1	205
USGS	09081000	00060	18707		3	2	2019	2019	1	199
USGS	09081000	00060	18707		3	3	2019	2019	1	196
USGS	09081000	00060	18707		3	4	2019	2019	1	184
USGS	09081000	00060	18707		3	5	2019	2019	1	174
USGS	09081000	00060	18707		3	6	2019	2019	1	191
USGS	09081000	00060	18707		3	7	2019	2019	1	249
USGS	09081000	00060	18707		3	8	2019	2019	1	201
USGS	09081000	00060	18707		3	9	2019	2019	1	199
USGS	09081000	00060	18707		3	10	2019	2019	1	187
USGS	09081000	00060	18707		3	11	2019	2019	1	189
USGS	09081000	00060	18707		3	12	2019	2019	1	191
USGS	09081000	00060	18707		3	13	2019	2019	1	213
USGS	09081000	00060	18707		3	14	2019	2019	1	189
USGS	09081000	00060	18707		3	15	2019	2019	1	178
USGS	09081000	00060	18707		3	16	2019	2019	1	187
USGS	09081000	00060	18707		3	17	2019	2019	1	195
USGS	09081000	00060	18707		3	18	2019	2019	1	198
USGS	09081000	00060	18707		3	19	2019	2019	1	201
USGS	09081000	00060	18707		3	20	2019	2019	1	200
USGS	09081000	00060	18707		3	21	2019	2019	1	205
USGS	09081000	00060	18707		3	22	2019	2019	1	208
USGS	09081000	00060	18707		3	23	2019	2019	1	204
USGS	09081000	00060	18707		3	24	2019	2019	1	206
USGS	09081000	00060	18707		3	25	2019	2019	1	209
USGS	09081000	00060	18707		3	26	2019	2019	1	216
USGS	09081000	00060	18707		3	27	2019	2019	1	237
USGS	09081000	00060	18707		3	28	2019	2019	1	268
USGS	09081000	00060	18707		3	29	2019	2019	1	272
USGS	09081000	00060	18707		3	30	2019	2019	1	242
USGS	09081000	00060	18707		3	31	2019	2019	1	232
USGS	09081000	00060	18707		4	1	2019	2019	1	228
USGS	09081000	00060	18707		4	2	2019	2019	1	236
USGS	09081000	00060	18707		4	3	2019	2019	1	245
USGS	09081000	00060	18707		4	4	2019	2019	1	251
USGS	09081000	00060	18707		4	5	2019	2019	1	273
USGS	09081000	00060	18707		4	6	2019	2019	1	294
USGS	09081000	00060	18707		4	7	2019	2019	1	317
USGS	09081000	00060	18707		4	8	2019	2019	1	330
USGS	09081000	00060	18707		4	9	2019	2019	1	384
USGS	09081000	00060	18707		4	10	2019	2019	1	464
USGS	09081000	00060	18707		4	11	2019	2019	1	415
USGS	09081000	00060	18707		4	12	2019	2019	1	387
USGS	09081000	00060	18707		4	13	2019	2019	1	368
USGS	09081000	00060	18707		4	14	2019	2019	1	355
USGS	09081000	00060	18707		4	15	2019	2019	1	366
USGS	09081000	00060	18707		4	16	2019	2019	1	400
USGS	09081000	00060	18707		4	17	2019	2019	1	406
USGS	09081000	00060	18707		4	18	2019	2019	1	432
USGS	09081000	00060	18707		4	19	2019	2019	1	449
USGS	09081000	00060	18707		4	20	2019	2019	1	498
USGS	09081000	00060	18707		4	21	2019	2019	1	532
USGS	09081000	00060	18707		4	22	2019	2019	1	518
USGS	09081000	00060	18707		4	23	2019	2019	1	541
USGS	09081000	00060	18707		4	24	2019	2019	1	576
USGS	09081000	00060	18707		4	25	2019	2019	1	579
USGS	09081000	00060	18707		4	26	2019	2019	1	644
USGS	09081000	00060	18707		4	27	2019	2019	1	737
USGS	09081000	00060	18707		4	28	2019	2019	1	797
USGS	09081000	00060	18707		4	29	2019	2019	1	849
USGS	09081000	00060	18707		4	30	2019	2019	1	974
USGS	09081000	00060	18707		5	1	2019	2019	1	864
USGS	09081000	00060	18707		5	2	2019	2019	1	736
USGS	09081000	00060	18707		5	3	2019	2019	1	714
USGS	09081000	00060	18707		5	4	2019	2019	1	681
USGS	09081000	00060	18707		5	5	2019	2019	1	676
USGS	09081000	00060	18707		5	6	2019	2019	1	694
USGS	09081000	00060	18707		5	7	2019	2019	1	746
USGS	09081000	00060	18707		5	8	2019	2019	1	791
USGS	09081000	00060	18707		5	9	2019	2019	1	802
USGS	09081000	00060	18707		5	10	2019	2019	1	756
USGS	09081000	00060	18707		5	11	2019	2019	1	699
USGS	09081000	00060	18707		5	12	2019	2019	1	670
USGS	09081000	00060	18707		5	13	2019	2019	1	700
USGS	09081000	00060	18707		5	14	2019	2019	1	773
USGS	09081000	00060	18707		5	15	2019	2019	1	857
USGS	09081000	00060	18707		5	16	2019	2019	1	1010
USGS	09081000	00060	18707		5	17	2019	2019	1	1170
USGS	09081000	00060	18707		5	18	2019	2019	1	1050
USGS	09081000	00060	18707		5	19	2019	2019	1	921
USGS	09081000	00060	18707		5	20	2019	2019	1	887
USGS	09081000	00060	18707		5	21	2019	2019	1	903
USGS	09081000	00060	18707		5	22	2019	2019	1	869
USGS	09081000	00060	18707		5	23	2019	2019	1	843
USGS	09081000	00060	18707		5	24	2019	2019	1	830
USGS	09081000	00060	18707		5	25	2019	2019	1	818
USGS	09081000	00060	18707		5	26	2019	2019	1	843
USGS	09081000	00060	18707		5	27	2019	2019	1	856
