#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:54:08 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09081600     00060          CRYSTAL RIVER ABV AVALANCHE CRK, NEAR REDSTONE, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09081600	00060	18710		1	1	2009	2009	1	61
USGS	09081600	00060	18710		1	2	2009	2009	1	61
USGS	09081600	00060	18710		1	3	2009	2009	1	62
USGS	09081600	00060	18710		1	4	2009	2009	1	55
USGS	09081600	00060	18710		1	5	2009	2009	1	48
USGS	09081600	00060	18710		1	6	2009	2009	1	58
USGS	09081600	00060	18710		1	7	2009	2009	1	58
USGS	09081600	00060	18710		1	8	2009	2009	1	57
USGS	09081600	00060	18710		1	9	2009	2009	1	59
USGS	09081600	00060	18710		1	10	2009	2009	1	52
USGS	09081600	00060	18710		1	11	2009	2009	1	57
USGS	09081600	00060	18710		1	12	2009	2009	1	56
USGS	09081600	00060	18710		1	13	2009	2009	1	55
USGS	09081600	00060	18710		1	14	2009	2009	1	53
USGS	09081600	00060	18710		1	15	2009	2009	1	55
USGS	09081600	00060	18710		1	16	2009	2009	1	51
USGS	09081600	00060	18710		1	17	2009	2009	1	49
USGS	09081600	00060	18710		1	18	2009	2009	1	47
USGS	09081600	00060	18710		1	19	2009	2009	1	50
USGS	09081600	00060	18710		1	20	2009	2009	1	52
USGS	09081600	00060	18710		1	21	2009	2009	1	52
USGS	09081600	00060	18710		1	22	2009	2009	1	60
USGS	09081600	00060	18710		1	23	2009	2009	1	72
USGS	09081600	00060	18710		1	24	2009	2009	1	78
USGS	09081600	00060	18710		1	25	2009	2009	1	73
USGS	09081600	00060	18710		1	26	2009	2009	1	62
USGS	09081600	00060	18710		1	27	2009	2009	1	54
USGS	09081600	00060	18710		1	28	2009	2009	1	47
USGS	09081600	00060	18710		1	29	2009	2009	1	59
USGS	09081600	00060	18710		1	30	2009	2009	1	53
USGS	09081600	00060	18710		1	31	2009	2009	1	51
USGS	09081600	00060	18710		2	1	2009	2009	1	54
USGS	09081600	00060	18710		2	2	2009	2009	1	52
USGS	09081600	00060	18710		2	3	2009	2009	1	57
USGS	09081600	00060	18710		2	4	2009	2009	1	54
USGS	09081600	00060	18710		2	5	2009	2009	1	56
USGS	09081600	00060	18710		2	6	2009	2009	1	57
USGS	09081600	00060	18710		2	7	2009	2009	1	56
USGS	09081600	00060	18710		2	8	2009	2009	1	56
USGS	09081600	00060	18710		2	9	2009	2009	1	55
USGS	09081600	00060	18710		2	10	2009	2009	1	54
USGS	09081600	00060	18710		2	11	2009	2009	1	51
USGS	09081600	00060	18710		2	12	2009	2009	1	50
USGS	09081600	00060	18710		2	13	2009	2009	1	54
USGS	09081600	00060	18710		2	14	2009	2009	1	52
USGS	09081600	00060	18710		2	15	2009	2009	1	47
USGS	09081600	00060	18710		2	16	2009	2009	1	52
USGS	09081600	00060	18710		2	17	2009	2009	1	52
USGS	09081600	00060	18710		2	18	2009	2009	1	50
USGS	09081600	00060	18710		2	19	2009	2009	1	49
USGS	09081600	00060	18710		2	20	2009	2009	1	45
USGS	09081600	00060	18710		2	21	2009	2009	1	47
USGS	09081600	00060	18710		2	22	2009	2009	1	52
USGS	09081600	00060	18710		2	23	2009	2009	1	63
USGS	09081600	00060	18710		2	24	2009	2009	1	78
USGS	09081600	00060	18710		2	25	2009	2009	1	71
USGS	09081600	00060	18710		2	26	2009	2009	1	65
USGS	09081600	00060	18710		2	27	2009	2009	1	60
USGS	09081600	00060	18710		2	28	2009	2009	1	52
USGS	09081600	00060	18710		3	1	2009	2009	1	57
USGS	09081600	00060	18710		3	2	2009	2009	1	63
USGS	09081600	00060	18710		3	3	2009	2009	1	70
USGS	09081600	00060	18710		3	4	2009	2009	1	73
USGS	09081600	00060	18710		3	5	2009	2009	1	73
USGS	09081600	00060	18710		3	6	2009	2009	1	66
USGS	09081600	00060	18710		3	7	2009	2009	1	64
USGS	09081600	00060	18710		3	8	2009	2009	1	59
USGS	09081600	00060	18710		3	9	2009	2009	1	59
USGS	09081600	00060	18710		3	10	2009	2009	1	60
USGS	09081600	00060	18710		3	11	2009	2009	1	53
USGS	09081600	00060	18710		3	12	2009	2009	1	61
USGS	09081600	00060	18710		3	13	2009	2009	1	59
USGS	09081600	00060	18710		3	14	2009	2009	1	61
USGS	09081600	00060	18710		3	15	2009	2009	1	65
USGS	09081600	00060	18710		3	16	2009	2009	1	69
USGS	09081600	00060	18710		3	17	2009	2009	1	80
USGS	09081600	00060	18710		3	18	2009	2009	1	93
USGS	09081600	00060	18710		3	19	2009	2009	1	104
USGS	09081600	00060	18710		3	20	2009	2009	1	125
USGS	09081600	00060	18710		3	21	2009	2009	1	139
USGS	09081600	00060	18710		3	22	2009	2009	1	165
USGS	09081600	00060	18710		3	23	2009	2009	1	175
USGS	09081600	00060	18710		3	24	2009	2009	1	137
USGS	09081600	00060	18710		3	25	2009	2009	1	121
USGS	09081600	00060	18710		3	26	2009	2009	1	113
USGS	09081600	00060	18710		3	27	2009	2009	1	101
USGS	09081600	00060	18710		3	28	2009	2009	1	96
USGS	09081600	00060	18710		3	29	2009	2009	1	96
USGS	09081600	00060	18710		3	30	2009	2009	1	95
USGS	09081600	00060	18710		3	31	2009	2009	1	86
USGS	09081600	00060	18710		4	1	2009	2009	1	86
USGS	09081600	00060	18710		4	2	2009	2009	1	80
USGS	09081600	00060	18710		4	3	2009	2009	1	86
USGS	09081600	00060	18710		4	4	2009	2009	1	85
USGS	09081600	00060	18710		4	5	2009	2009	1	78
USGS	09081600	00060	18710		4	6	2009	2009	1	80
USGS	09081600	00060	18710		4	7	2009	2009	1	108
USGS	09081600	00060	18710		4	8	2009	2009	1	167
USGS	09081600	00060	18710		4	9	2009	2009	1	197
USGS	09081600	00060	18710		4	10	2009	2009	1	185
USGS	09081600	00060	18710		4	11	2009	2009	1	218
USGS	09081600	00060	18710		4	12	2009	2009	1	191
USGS	09081600	00060	18710		4	13	2009	2009	1	192
USGS	09081600	00060	18710		4	14	2009	2009	1	211
USGS	09081600	00060	18710		4	15	2009	2009	1	236
USGS	09081600	00060	18710		4	16	2009	2009	1	249
USGS	09081600	00060	18710		4	17	2009	2009	1	213
USGS	09081600	00060	18710		4	18	2009	2009	1	192
USGS	09081600	00060	18710		4	19	2009	2009	1	203
USGS	09081600	00060	18710		4	20	2009	2009	1	264
USGS	09081600	00060	18710		4	21	2009	2009	1	379
USGS	09081600	00060	18710		4	22	2009	2009	1	499
USGS	09081600	00060	18710		4	23	2009	2009	1	564
USGS	09081600	00060	18710		4	24	2009	2009	1	602
USGS	09081600	00060	18710		4	25	2009	2009	1	579
USGS	09081600	00060	18710		4	26	2009	2009	1	535
USGS	09081600	00060	18710		4	27	2009	2009	1	436
USGS	09081600	00060	18710		4	28	2009	2009	1	402
USGS	09081600	00060	18710		4	29	2009	2009	1	467
USGS	09081600	00060	18710		4	30	2009	2009	1	642
USGS	09081600	00060	18710		5	1	2009	2009	1	689
USGS	09081600	00060	18710		5	2	2009	2009	1	671
USGS	09081600	00060	18710		5	3	2009	2009	1	641
USGS	09081600	00060	18710		5	4	2009	2009	1	593
USGS	09081600	00060	18710		5	5	2009	2009	1	542
USGS	09081600	00060	18710		5	6	2009	2009	1	614
USGS	09081600	00060	18710		5	7	2009	2009	1	832
USGS	09081600	00060	18710		5	8	2009	2009	1	1010
USGS	09081600	00060	18710		5	9	2009	2009	1	1000
USGS	09081600	00060	18710		5	10	2009	2009	1	1010
USGS	09081600	00060	18710		5	11	2009	2009	1	1150
USGS	09081600	00060	18710		5	12	2009	2009	1	1280
USGS	09081600	00060	18710		5	13	2009	2009	1	1240
USGS	09081600	00060	18710		5	14	2009	2009	1	1230
USGS	09081600	00060	18710		5	15	2009	2009	1	1240
USGS	09081600	00060	18710		5	16	2009	2009	1	1440
USGS	09081600	00060	18710		5	17	2009	2009	1	1730
USGS	09081600	00060	18710		5	18	2009	2009	1	1960
USGS	09081600	00060	18710		5	19	2009	2009	1	2020
USGS	09081600	00060	18710		5	20	2009	2009	1	1950
USGS	09081600	00060	18710		5	21	2009	2009	1	1900
USGS	09081600	00060	18710		5	22	2009	2009	1	1760
USGS	09081600	00060	18710		5	23	2009	2009	1	1610
USGS	09081600	00060	18710		5	24	2009	2009	1	2050
USGS	09081600	00060	18710		5	25	2009	2009	1	1850
USGS	09081600	00060	18710		5	26	2009	2009	1	1400
USGS	09081600	00060	18710		5	27	2009	2009	1	1230
USGS	09081600	00060	18710		5	28	2009	2009	1	1300
USGS	09081600	00060	18710		5	29	2009	2009	1	1480
USGS	09081600	00060	18710		5	30	2009	2009	1	1530
USGS	09081600	00060	18710		5	31	2009	2009	1	1570
USGS	09081600	00060	18710		6	1	2009	2009	1	1380
USGS	09081600	00060	18710		6	2	2009	2009	1	1200
USGS	09081600	00060	18710		6	3	2009	2009	1	1260
USGS	09081600	00060	18710		6	4	2009	2009	1	1300
USGS	09081600	00060	18710		6	5	2009	2009	1	1360
USGS	09081600	00060	18710		6	6	2009	2009	1	1210
USGS	09081600	00060	18710		6	7	2009	2009	1	1030
USGS	09081600	00060	18710		6	8	2009	2009	1	872
USGS	09081600	00060	18710		6	9	2009	2009	1	863
USGS	09081600	00060	18710		6	10	2009	2009	1	809
USGS	09081600	00060	18710		6	11	2009	2009	1	802
USGS	09081600	00060	18710		6	12	2009	2009	1	754
USGS	09081600	00060	18710		6	13	2009	2009	1	789
USGS	09081600	00060	18710		6	14	2009	2009	1	888
USGS	09081600	00060	18710		6	15	2009	2009	1	962
USGS	09081600	00060	18710		6	16	2009	2009	1	1040
USGS	09081600	00060	18710		6	17	2009	2009	1	1110
USGS	09081600	00060	18710		6	18	2009	2009	1	1250
USGS	09081600	00060	18710		6	19	2009	2009	1	1260
USGS	09081600	00060	18710		6	20	2009	2009	1	1310
USGS	09081600	00060	18710		6	21	2009	2009	1	1250
USGS	09081600	00060	18710		6	22	2009	2009	1	1310
USGS	09081600	00060	18710		6	23	2009	2009	1	1390
USGS	09081600	00060	18710		6	24	2009	2009	1	1390
USGS	09081600	00060	18710		6	25	2009	2009	1	1510
USGS	09081600	00060	18710		6	26	2009	2009	1	1550
USGS	09081600	00060	18710		6	27	2009	2009	1	1400
USGS	09081600	00060	18710		6	28	2009	2009	1	1300
USGS	09081600	00060	18710		6	29	2009	2009	1	1190
USGS	09081600	00060	18710		6	30	2009	2009	1	1100
USGS	09081600	00060	18710		7	1	2009	2009	1	1030
USGS	09081600	00060	18710		7	2	2009	2009	1	984
USGS	09081600	00060	18710		7	3	2009	2009	1	1040
USGS	09081600	00060	18710		7	4	2009	2009	1	950
USGS	09081600	00060	18710		7	5	2009	2009	1	877
USGS	09081600	00060	18710		7	6	2009	2009	1	817
USGS	09081600	00060	18710		7	7	2009	2009	1	782
USGS	09081600	00060	18710		7	8	2009	2009	1	743
USGS	09081600	00060	18710		7	9	2009	2009	1	706
USGS	09081600	00060	18710		7	10	2009	2009	1	660
USGS	09081600	00060	18710		7	11	2009	2009	1	647
USGS	09081600	00060	18710		7	12	2009	2009	1	632
USGS	09081600	00060	18710		7	13	2009	2009	1	598
USGS	09081600	00060	18710		7	14	2009	2009	1	561
USGS	09081600	00060	18710		7	15	2009	2009	1	518
USGS	09081600	00060	18710		7	16	2009	2009	1	466
