#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:54 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09095500     00060          COLORADO RIVER NEAR CAMEO, CO.
# USGS        09095500     00095          COLORADO RIVER NEAR CAMEO, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
# 00095         Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09095500	00060	18791		1	1	2010	2010	1	1540
USGS	09095500	00060	18791		1	2	2010	2010	1	1490
USGS	09095500	00060	18791		1	3	2010	2010	1	1630
USGS	09095500	00060	18791		1	4	2010	2010	1	1500
USGS	09095500	00060	18791		1	5	2010	2010	1	1440
USGS	09095500	00060	18791		1	6	2010	2010	1	1640
USGS	09095500	00060	18791		1	7	2010	2010	1	1620
USGS	09095500	00060	18791		1	8	2010	2010	1	1400
USGS	09095500	00060	18791		1	9	2010	2010	1	1110
USGS	09095500	00060	18791		1	10	2010	2010	1	1120
USGS	09095500	00060	18791		1	11	2010	2010	1	1250
USGS	09095500	00060	18791		1	12	2010	2010	1	1340
USGS	09095500	00060	18791		1	13	2010	2010	1	1340
USGS	09095500	00060	18791		1	14	2010	2010	1	1370
USGS	09095500	00060	18791		1	15	2010	2010	1	1470
USGS	09095500	00060	18791		1	16	2010	2010	1	1510
USGS	09095500	00060	18791		1	17	2010	2010	1	1520
USGS	09095500	00060	18791		1	18	2010	2010	1	1550
USGS	09095500	00060	18791		1	19	2010	2010	1	1600
USGS	09095500	00060	18791		1	20	2010	2010	1	1600
USGS	09095500	00060	18791		1	21	2010	2010	1	1600
USGS	09095500	00060	18791		1	22	2010	2010	1	1610
USGS	09095500	00060	18791		1	23	2010	2010	1	1640
USGS	09095500	00060	18791		1	24	2010	2010	1	1630
USGS	09095500	00060	18791		1	25	2010	2010	1	1500
USGS	09095500	00060	18791		1	26	2010	2010	1	1420
USGS	09095500	00060	18791		1	27	2010	2010	1	1430
USGS	09095500	00060	18791		1	28	2010	2010	1	1600
USGS	09095500	00060	18791		1	29	2010	2010	1	1610
USGS	09095500	00060	18791		1	30	2010	2010	1	1550
USGS	09095500	00060	18791		1	31	2010	2010	1	1500
USGS	09095500	00060	18791		2	1	2010	2010	1	1500
USGS	09095500	00060	18791		2	2	2010	2010	1	1490
USGS	09095500	00060	18791		2	3	2010	2010	1	1380
USGS	09095500	00060	18791		2	4	2010	2010	1	1360
USGS	09095500	00060	18791		2	5	2010	2010	1	1470
USGS	09095500	00060	18791		2	6	2010	2010	1	1480
USGS	09095500	00060	18791		2	7	2010	2010	1	1510
USGS	09095500	00060	18791		2	8	2010	2010	1	1480
USGS	09095500	00060	18791		2	9	2010	2010	1	1480
USGS	09095500	00060	18791		2	10	2010	2010	1	1410
USGS	09095500	00060	18791		2	11	2010	2010	1	1410
USGS	09095500	00060	18791		2	12	2010	2010	1	1430
USGS	09095500	00060	18791		2	13	2010	2010	1	1440
USGS	09095500	00060	18791		2	14	2010	2010	1	1450
USGS	09095500	00060	18791		2	15	2010	2010	1	1430
USGS	09095500	00060	18791		2	16	2010	2010	1	1330
USGS	09095500	00060	18791		2	17	2010	2010	1	1390
USGS	09095500	00060	18791		2	18	2010	2010	1	1380
USGS	09095500	00060	18791		2	19	2010	2010	1	1470
USGS	09095500	00060	18791		2	20	2010	2010	1	1490
USGS	09095500	00060	18791		2	21	2010	2010	1	1520
USGS	09095500	00060	18791		2	22	2010	2010	1	1480
USGS	09095500	00060	18791		2	23	2010	2010	1	1440
USGS	09095500	00060	18791		2	24	2010	2010	1	1340
USGS	09095500	00060	18791		2	25	2010	2010	1	1390
USGS	09095500	00060	18791		2	26	2010	2010	1	1540
USGS	09095500	00060	18791		2	27	2010	2010	1	1520
USGS	09095500	00060	18791		2	28	2010	2010	1	1520
USGS	09095500	00060	18791		3	1	2010	2010	1	1520
USGS	09095500	00060	18791		3	2	2010	2010	1	1480
USGS	09095500	00060	18791		3	3	2010	2010	1	1500
USGS	09095500	00060	18791		3	4	2010	2010	1	1540
USGS	09095500	00060	18791		3	5	2010	2010	1	1570
USGS	09095500	00060	18791		3	6	2010	2010	1	1520
USGS	09095500	00060	18791		3	7	2010	2010	1	1510
USGS	09095500	00060	18791		3	8	2010	2010	1	1630
USGS	09095500	00060	18791		3	9	2010	2010	1	1610
USGS	09095500	00060	18791		3	10	2010	2010	1	1560
USGS	09095500	00060	18791		3	11	2010	2010	1	1530
USGS	09095500	00060	18791		3	12	2010	2010	1	1500
USGS	09095500	00060	18791		3	13	2010	2010	1	1480
USGS	09095500	00060	18791		3	14	2010	2010	1	1620
USGS	09095500	00060	18791		3	15	2010	2010	1	1620
USGS	09095500	00060	18791		3	16	2010	2010	1	1590
USGS	09095500	00060	18791		3	17	2010	2010	1	1530
USGS	09095500	00060	18791		3	18	2010	2010	1	1410
USGS	09095500	00060	18791		3	19	2010	2010	1	1610
USGS	09095500	00060	18791		3	20	2010	2010	1	1630
USGS	09095500	00060	18791		3	21	2010	2010	1	1490
USGS	09095500	00060	18791		3	22	2010	2010	1	1460
USGS	09095500	00060	18791		3	23	2010	2010	1	1570
USGS	09095500	00060	18791		3	24	2010	2010	1	1600
USGS	09095500	00060	18791		3	25	2010	2010	1	1580
USGS	09095500	00060	18791		3	26	2010	2010	1	1490
USGS	09095500	00060	18791		3	27	2010	2010	1	1500
USGS	09095500	00060	18791		3	28	2010	2010	1	1510
USGS	09095500	00060	18791		3	29	2010	2010	1	1480
USGS	09095500	00060	18791		3	30	2010	2010	1	1510
USGS	09095500	00060	18791		3	31	2010	2010	1	1550
USGS	09095500	00060	18791		4	1	2010	2010	1	2020
USGS	09095500	00060	18791		4	2	2010	2010	1	2120
USGS	09095500	00060	18791		4	3	2010	2010	1	2180
USGS	09095500	00060	18791		4	4	2010	2010	1	1980
USGS	09095500	00060	18791		4	5	2010	2010	1	1800
USGS	09095500	00060	18791		4	6	2010	2010	1	1800
USGS	09095500	00060	18791		4	7	2010	2010	1	1810
USGS	09095500	00060	18791		4	8	2010	2010	1	1610
USGS	09095500	00060	18791		4	9	2010	2010	1	1400
USGS	09095500	00060	18791		4	10	2010	2010	1	1510
USGS	09095500	00060	18791		4	11	2010	2010	1	1760
USGS	09095500	00060	18791		4	12	2010	2010	1	2070
USGS	09095500	00060	18791		4	13	2010	2010	1	2400
USGS	09095500	00060	18791		4	14	2010	2010	1	2650
USGS	09095500	00060	18791		4	15	2010	2010	1	2450
USGS	09095500	00060	18791		4	16	2010	2010	1	2710
USGS	09095500	00060	18791		4	17	2010	2010	1	3180
USGS	09095500	00060	18791		4	18	2010	2010	1	3660
USGS	09095500	00060	18791		4	19	2010	2010	1	3850
USGS	09095500	00060	18791		4	20	2010	2010	1	4100
USGS	09095500	00060	18791		4	21	2010	2010	1	4550
USGS	09095500	00060	18791		4	22	2010	2010	1	5290
USGS	09095500	00060	18791		4	23	2010	2010	1	5520
USGS	09095500	00060	18791		4	24	2010	2010	1	4680
USGS	09095500	00060	18791		4	25	2010	2010	1	4250
USGS	09095500	00060	18791		4	26	2010	2010	1	3780
USGS	09095500	00060	18791		4	27	2010	2010	1	3680
USGS	09095500	00060	18791		4	28	2010	2010	1	3480
USGS	09095500	00060	18791		4	29	2010	2010	1	3760
USGS	09095500	00060	18791		4	30	2010	2010	1	4040
USGS	09095500	00060	18791		5	1	2010	2010	1	3720
USGS	09095500	00060	18791		5	2	2010	2010	1	3400
USGS	09095500	00060	18791		5	3	2010	2010	1	3220
USGS	09095500	00060	18791		5	4	2010	2010	1	3030
USGS	09095500	00060	18791		5	5	2010	2010	1	2950
USGS	09095500	00060	18791		5	6	2010	2010	1	2920
USGS	09095500	00060	18791		5	7	2010	2010	1	3020
USGS	09095500	00060	18791		5	8	2010	2010	1	2940
USGS	09095500	00060	18791		5	9	2010	2010	1	2930
USGS	09095500	00060	18791		5	10	2010	2010	1	3090
USGS	09095500	00060	18791		5	11	2010	2010	1	3600
USGS	09095500	00060	18791		5	12	2010	2010	1	3640
USGS	09095500	00060	18791		5	13	2010	2010	1	3730
USGS	09095500	00060	18791		5	14	2010	2010	1	3770
USGS	09095500	00060	18791		5	15	2010	2010	1	3810
USGS	09095500	00060	18791		5	16	2010	2010	1	3920
USGS	09095500	00060	18791		5	17	2010	2010	1	4040
USGS	09095500	00060	18791		5	18	2010	2010	1	4260
USGS	09095500	00060	18791		5	19	2010	2010	1	5020
USGS	09095500	00060	18791		5	20	2010	2010	1	5590
USGS	09095500	00060	18791		5	21	2010	2010	1	5960
USGS	09095500	00060	18791		5	22	2010	2010	1	7320
USGS	09095500	00060	18791		5	23	2010	2010	1	8430
USGS	09095500	00060	18791		5	24	2010	2010	1	9340
USGS	09095500	00060	18791		5	25	2010	2010	1	9580
USGS	09095500	00060	18791		5	26	2010	2010	1	8550
USGS	09095500	00060	18791		5	27	2010	2010	1	8960
USGS	09095500	00060	18791		5	28	2010	2010	1	10900
USGS	09095500	00060	18791		5	29	2010	2010	1	14200
USGS	09095500	00060	18791		5	30	2010	2010	1	16300
USGS	09095500	00060	18791		5	31	2010	2010	1	16100
USGS	09095500	00060	18791		6	1	2010	2010	1	15600
USGS	09095500	00060	18791		6	2	2010	2010	1	14900
USGS	09095500	00060	18791		6	3	2010	2010	1	13900
USGS	09095500	00060	18791		6	4	2010	2010	1	13800
USGS	09095500	00060	18791		6	5	2010	2010	1	16300
USGS	09095500	00060	18791		6	6	2010	2010	1	20000
USGS	09095500	00060	18791		6	7	2010	2010	1	22300
USGS	09095500	00060	18791		6	8	2010	2010	1	23600
USGS	09095500	00060	18791		6	9	2010	2010	1	23500
USGS	09095500	00060	18791		6	10	2010	2010	1	22600
USGS	09095500	00060	18791		6	11	2010	2010	1	21300
USGS	09095500	00060	18791		6	12	2010	2010	1	18500
USGS	09095500	00060	18791		6	13	2010	2010	1	17200
USGS	09095500	00060	18791		6	14	2010	2010	1	16300
USGS	09095500	00060	18791		6	15	2010	2010	1	15000
USGS	09095500	00060	18791		6	16	2010	2010	1	13400
USGS	09095500	00060	18791		6	17	2010	2010	1	12400
USGS	09095500	00060	18791		6	18	2010	2010	1	11200
USGS	09095500	00060	18791		6	19	2010	2010	1	10700
USGS	09095500	00060	18791		6	20	2010	2010	1	10700
