#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:00 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06727500     00060          FOURMILE CREEK AT ORODELL, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06727500	00060	17657		4	1	2020	2020	1	6.4
USGS	06727500	00060	17657		4	2	2020	2020	1	7.0
USGS	06727500	00060	17657		4	3	2020	2020	1	6.6
USGS	06727500	00060	17657		4	4	2020	2020	1	6.4
USGS	06727500	00060	17657		4	5	2020	2020	1	6.1
USGS	06727500	00060	17657		4	6	2020	2020	1	6.1
USGS	06727500	00060	17657		4	7	2020	2020	1	6.5
USGS	06727500	00060	17657		4	8	2020	2020	1	6.9
USGS	06727500	00060	17657		4	9	2020	2020	1	7.6
USGS	06727500	00060	17657		4	10	2020	2020	1	7.8
USGS	06727500	00060	17657		4	11	2020	2020	1	8.6
USGS	06727500	00060	17657		4	12	2020	2020	1	9.5
USGS	06727500	00060	17657		4	13	2020	2020	1	9.2
USGS	06727500	00060	17657		4	14	2020	2020	1	11
USGS	06727500	00060	17657		4	15	2020	2020	1	9.9
USGS	06727500	00060	17657		4	16	2020	2020	1	11
USGS	06727500	00060	17657		4	17	2020	2020	1	14
USGS	06727500	00060	17657		4	18	2020	2020	1	12
USGS	06727500	00060	17657		4	19	2020	2020	1	14
USGS	06727500	00060	17657		4	20	2020	2020	1	22
USGS	06727500	00060	17657		4	21	2020	2020	1	33
USGS	06727500	00060	17657		4	22	2020	2020	1	36
USGS	06727500	00060	17657		4	23	2020	2020	1	36
USGS	06727500	00060	17657		4	24	2020	2020	1	35
USGS	06727500	00060	17657		4	25	2020	2020	1	32
USGS	06727500	00060	17657		4	26	2020	2020	1	30
USGS	06727500	00060	17657		4	27	2020	2020	1	29
USGS	06727500	00060	17657		4	28	2020	2020	1	31
USGS	06727500	00060	17657		4	29	2020	2020	1	32
USGS	06727500	00060	17657		4	30	2020	2020	1	31
USGS	06727500	00060	17657		5	1	2020	2020	1	30
USGS	06727500	00060	17657		5	2	2020	2020	1	33
USGS	06727500	00060	17657		5	3	2020	2020	1	35
USGS	06727500	00060	17657		5	4	2020	2020	1	35
USGS	06727500	00060	17657		5	5	2020	2020	1	32
USGS	06727500	00060	17657		5	6	2020	2020	1	28
USGS	06727500	00060	17657		5	7	2020	2020	1	24
USGS	06727500	00060	17657		5	8	2020	2020	1	22
USGS	06727500	00060	17657		5	9	2020	2020	1	20
USGS	06727500	00060	17657		5	10	2020	2020	1	18
USGS	06727500	00060	17657		5	11	2020	2020	1	18
USGS	06727500	00060	17657		5	12	2020	2020	1	17
USGS	06727500	00060	17657		5	13	2020	2020	1	17
USGS	06727500	00060	17657		5	14	2020	2020	1	17
USGS	06727500	00060	17657		5	15	2020	2020	1	17
USGS	06727500	00060	17657		5	16	2020	2020	1	18
USGS	06727500	00060	17657		5	17	2020	2020	1	17
USGS	06727500	00060	17657		5	18	2020	2020	1	17
USGS	06727500	00060	17657		5	19	2020	2020	1	19
USGS	06727500	00060	17657		5	20	2020	2020	1	22
USGS	06727500	00060	17657		5	21	2020	2020	1	24
USGS	06727500	00060	17657		5	22	2020	2020	1	23
USGS	06727500	00060	17657		5	23	2020	2020	1	22
USGS	06727500	00060	17657		5	24	2020	2020	1	22
USGS	06727500	00060	17657		5	25	2020	2020	1	19
USGS	06727500	00060	17657		5	26	2020	2020	1	17
USGS	06727500	00060	17657		5	27	2020	2020	1	16
USGS	06727500	00060	17657		5	28	2020	2020	1	15
USGS	06727500	00060	17657		5	29	2020	2020	1	15
USGS	06727500	00060	17657		5	30	2020	2020	1	17
USGS	06727500	00060	17657		5	31	2020	2020	1	21
USGS	06727500	00060	17657		6	1	2020	2020	1	22
USGS	06727500	00060	17657		6	2	2020	2020	1	22
USGS	06727500	00060	17657		6	3	2020	2020	1	20
USGS	06727500	00060	17657		6	4	2020	2020	1	19
USGS	06727500	00060	17657		6	5	2020	2020	1	17
USGS	06727500	00060	17657		6	6	2020	2020	1	16
USGS	06727500	00060	17657		6	7	2020	2020	1	14
USGS	06727500	00060	17657		6	8	2020	2020	1	13
