#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:38:52 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06730200     00060          BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06730200	00060	17663		1	1	2007	2007	1	28
USGS	06730200	00060	17663		1	2	2007	2007	1	25
USGS	06730200	00060	17663		1	3	2007	2007	1	25
USGS	06730200	00060	17663		1	4	2007	2007	1	31
USGS	06730200	00060	17663		1	5	2007	2007	1	35
USGS	06730200	00060	17663		1	6	2007	2007	1	35
USGS	06730200	00060	17663		1	7	2007	2007	1	29
USGS	06730200	00060	17663		1	8	2007	2007	1	32
USGS	06730200	00060	17663		1	9	2007	2007	1	30
USGS	06730200	00060	17663		1	10	2007	2007	1	33
USGS	06730200	00060	17663		1	11	2007	2007	1	31
USGS	06730200	00060	17663		1	12	2007	2007	1	24
USGS	06730200	00060	17663		1	13	2007	2007	1	27
USGS	06730200	00060	17663		1	14	2007	2007	1	30
USGS	06730200	00060	17663		1	15	2007	2007	1	32
USGS	06730200	00060	17663		1	16	2007	2007	1	35
USGS	06730200	00060	17663		1	17	2007	2007	1	37
USGS	06730200	00060	17663		1	18	2007	2007	1	39
USGS	06730200	00060	17663		1	19	2007	2007	1	41
USGS	06730200	00060	17663		1	20	2007	2007	1	44
USGS	06730200	00060	17663		1	21	2007	2007	1	46
USGS	06730200	00060	17663		1	22	2007	2007	1	47
USGS	06730200	00060	17663		1	23	2007	2007	1	48
USGS	06730200	00060	17663		1	24	2007	2007	1	50
USGS	06730200	00060	17663		1	25	2007	2007	1	58
USGS	06730200	00060	17663		1	26	2007	2007	1	61
USGS	06730200	00060	17663		1	27	2007	2007	1	59
USGS	06730200	00060	17663		1	28	2007	2007	1	59
USGS	06730200	00060	17663		1	29	2007	2007	1	59
USGS	06730200	00060	17663		1	30	2007	2007	1	50
USGS	06730200	00060	17663		1	31	2007	2007	1	46
USGS	06730200	00060	17663		2	1	2007	2007	1	41
USGS	06730200	00060	17663		2	2	2007	2007	1	38
USGS	06730200	00060	17663		2	3	2007	2007	1	34
USGS	06730200	00060	17663		2	4	2007	2007	1	32
USGS	06730200	00060	17663		2	5	2007	2007	1	27
USGS	06730200	00060	17663		2	6	2007	2007	1	25
USGS	06730200	00060	17663		2	7	2007	2007	1	25
USGS	06730200	00060	17663		2	8	2007	2007	1	25
USGS	06730200	00060	17663		2	9	2007	2007	1	25
USGS	06730200	00060	17663		2	10	2007	2007	1	28
USGS	06730200	00060	17663		2	11	2007	2007	1	32
USGS	06730200	00060	17663		2	12	2007	2007	1	36
USGS	06730200	00060	17663		2	13	2007	2007	1	35
USGS	06730200	00060	17663		2	14	2007	2007	1	32
USGS	06730200	00060	17663		2	15	2007	2007	1	35
USGS	06730200	00060	17663		2	16	2007	2007	1	37
USGS	06730200	00060	17663		2	17	2007	2007	1	34
USGS	06730200	00060	17663		2	18	2007	2007	1	33
USGS	06730200	00060	17663		2	19	2007	2007	1	34
USGS	06730200	00060	17663		2	20	2007	2007	1	34
USGS	06730200	00060	17663		2	21	2007	2007	1	33
USGS	06730200	00060	17663		2	22	2007	2007	1	34
USGS	06730200	00060	17663		2	23	2007	2007	1	34
USGS	06730200	00060	17663		2	24	2007	2007	1	35
USGS	06730200	00060	17663		2	25	2007	2007	1	32
USGS	06730200	00060	17663		2	26	2007	2007	1	34
USGS	06730200	00060	17663		2	27	2007	2007	1	32
USGS	06730200	00060	17663		2	28	2007	2007	1	35
USGS	06730200	00060	17663		3	1	2007	2007	1	34
USGS	06730200	00060	17663		3	2	2007	2007	1	35
USGS	06730200	00060	17663		3	3	2007	2007	1	31
USGS	06730200	00060	17663		3	4	2007	2007	1	31
USGS	06730200	00060	17663		3	5	2007	2007	1	32
USGS	06730200	00060	17663		3	6	2007	2007	1	30
USGS	06730200	00060	17663		3	7	2007	2007	1	32
USGS	06730200	00060	17663		3	8	2007	2007	1	33
USGS	06730200	00060	17663		3	9	2007	2007	1	34
USGS	06730200	00060	17663		3	10	2007	2007	1	37
USGS	06730200	00060	17663		3	11	2007	2007	1	39
USGS	06730200	00060	17663		3	12	2007	2007	1	38
USGS	06730200	00060	17663		3	13	2007	2007	1	39
USGS	06730200	00060	17663		3	14	2007	2007	1	42
USGS	06730200	00060	17663		3	15	2007	2007	1	39
USGS	06730200	00060	17663		3	16	2007	2007	1	33
USGS	06730200	00060	17663		3	17	2007	2007	1	38
USGS	06730200	00060	17663		3	18	2007	2007	1	42
USGS	06730200	00060	17663		3	19	2007	2007	1	47
USGS	06730200	00060	17663		3	20	2007	2007	1	46
USGS	06730200	00060	17663		3	21	2007	2007	1	51
USGS	06730200	00060	17663		3	22	2007	2007	1	53
USGS	06730200	00060	17663		3	23	2007	2007	1	56
USGS	06730200	00060	17663		3	24	2007	2007	1	96
USGS	06730200	00060	17663		3	25	2007	2007	1	66
USGS	06730200	00060	17663		3	26	2007	2007	1	62
USGS	06730200	00060	17663		3	27	2007	2007	1	50
USGS	06730200	00060	17663		3	28	2007	2007	1	38
USGS	06730200	00060	17663		3	29	2007	2007	1	40
USGS	06730200	00060	17663		3	30	2007	2007	1	37
USGS	06730200	00060	17663		3	31	2007	2007	1	24
USGS	06730200	00060	17663		4	1	2007	2007	1	19
USGS	06730200	00060	17663		4	2	2007	2007	1	16
USGS	06730200	00060	17663		4	3	2007	2007	1	14
USGS	06730200	00060	17663		4	4	2007	2007	1	13
USGS	06730200	00060	17663		4	5	2007	2007	1	18
USGS	06730200	00060	17663		4	6	2007	2007	1	18
USGS	06730200	00060	17663		4	7	2007	2007	1	15
USGS	06730200	00060	17663		4	8	2007	2007	1	16
USGS	06730200	00060	17663		4	9	2007	2007	1	17
USGS	06730200	00060	17663		4	10	2007	2007	1	19
USGS	06730200	00060	17663		4	11	2007	2007	1	19
USGS	06730200	00060	17663		4	12	2007	2007	1	17
