#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:10 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06751490     00060          NORTH FORK CACHE LA POUDRE RIVER AT LIVERMORE, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06751490	00060	17699		1	1	2017	2017	1	43
USGS	06751490	00060	17699		1	2	2017	2017	1	44
USGS	06751490	00060	17699		1	3	2017	2017	1	45
USGS	06751490	00060	17699		1	4	2017	2017	1	45
USGS	06751490	00060	17699		1	5	2017	2017	1	45
USGS	06751490	00060	17699		1	6	2017	2017	1	42
USGS	06751490	00060	17699		1	7	2017	2017	1	45
USGS	06751490	00060	17699		1	8	2017	2017	1	48
USGS	06751490	00060	17699		1	9	2017	2017	1	51
USGS	06751490	00060	17699		1	10	2017	2017	1	53
USGS	06751490	00060	17699		1	11	2017	2017	1	51
USGS	06751490	00060	17699		1	12	2017	2017	1	49
USGS	06751490	00060	17699		1	13	2017	2017	1	48
USGS	06751490	00060	17699		1	14	2017	2017	1	47
USGS	06751490	00060	17699		1	15	2017	2017	1	45
USGS	06751490	00060	17699		1	16	2017	2017	1	47
USGS	06751490	00060	17699		1	17	2017	2017	1	43
USGS	06751490	00060	17699		1	18	2017	2017	1	45
USGS	06751490	00060	17699		1	19	2017	2017	1	46
USGS	06751490	00060	17699		1	20	2017	2017	1	44
USGS	06751490	00060	17699		1	21	2017	2017	1	43
USGS	06751490	00060	17699		1	22	2017	2017	1	45
USGS	06751490	00060	17699		1	23	2017	2017	1	43
USGS	06751490	00060	17699		1	24	2017	2017	1	45
USGS	06751490	00060	17699		1	25	2017	2017	1	37
USGS	06751490	00060	17699		1	26	2017	2017	1	38
USGS	06751490	00060	17699		1	27	2017	2017	1	39
USGS	06751490	00060	17699		1	28	2017	2017	1	40
USGS	06751490	00060	17699		1	29	2017	2017	1	41
USGS	06751490	00060	17699		1	30	2017	2017	1	41
USGS	06751490	00060	17699		1	31	2017	2017	1	43
USGS	06751490	00060	17699		2	1	2017	2017	1	43
USGS	06751490	00060	17699		2	2	2017	2017	1	39
USGS	06751490	00060	17699		2	3	2017	2017	1	40
USGS	06751490	00060	17699		2	4	2017	2017	1	42
USGS	06751490	00060	17699		2	5	2017	2017	1	43
USGS	06751490	00060	17699		2	6	2017	2017	1	44
USGS	06751490	00060	17699		2	7	2017	2017	1	44
USGS	06751490	00060	17699		2	8	2017	2017	1	44
USGS	06751490	00060	17699		2	9	2017	2017	1	44
USGS	06751490	00060	17699		2	10	2017	2017	1	51
USGS	06751490	00060	17699		2	11	2017	2017	1	69
USGS	06751490	00060	17699		2	12	2017	2017	1	69
USGS	06751490	00060	17699		2	13	2017	2017	1	57
USGS	06751490	00060	17699		2	14	2017	2017	1	51
USGS	06751490	00060	17699		2	15	2017	2017	1	47
USGS	06751490	00060	17699		2	16	2017	2017	1	50
USGS	06751490	00060	17699		2	17	2017	2017	1	49
USGS	06751490	00060	17699		2	18	2017	2017	1	49
USGS	06751490	00060	17699		2	19	2017	2017	1	49
USGS	06751490	00060	17699		2	20	2017	2017	1	50
USGS	06751490	00060	17699		2	21	2017	2017	1	48
USGS	06751490	00060	17699		2	22	2017	2017	1	49
USGS	06751490	00060	17699		2	23	2017	2017	1	54
USGS	06751490	00060	17699		2	24	2017	2017	1	51
USGS	06751490	00060	17699		2	25	2017	2017	1	47
USGS	06751490	00060	17699		2	26	2017	2017	1	50
USGS	06751490	00060	17699		2	27	2017	2017	1	56
USGS	06751490	00060	17699		2	28	2017	2017	1	51
USGS	06751490	00060	17699		3	1	2017	2017	1	50
USGS	06751490	00060	17699		3	2	2017	2017	1	44
USGS	06751490	00060	17699		3	3	2017	2017	1	42
USGS	06751490	00060	17699		3	4	2017	2017	1	44
USGS	06751490	00060	17699		3	5	2017	2017	1	47
USGS	06751490	00060	17699		3	6	2017	2017	1	53
USGS	06751490	00060	17699		3	7	2017	2017	1	41
USGS	06751490	00060	17699		3	8	2017	2017	1	38
USGS	06751490	00060	17699		3	9	2017	2017	1	47
USGS	06751490	00060	17699		3	10	2017	2017	1	47
USGS	06751490	00060	17699		3	11	2017	2017	1	51
USGS	06751490	00060	17699		3	12	2017	2017	1	59
USGS	06751490	00060	17699		3	13	2017	2017	1	56
USGS	06751490	00060	17699		3	14	2017	2017	1	52
USGS	06751490	00060	17699		3	15	2017	2017	1	52
USGS	06751490	00060	17699		3	16	2017	2017	1	59
USGS	06751490	00060	17699		3	17	2017	2017	1	64
USGS	06751490	00060	17699		3	18	2017	2017	1	69
USGS	06751490	00060	17699		3	19	2017	2017	1	70
USGS	06751490	00060	17699		3	20	2017	2017	1	76
USGS	06751490	00060	17699		3	21	2017	2017	1	77
USGS	06751490	00060	17699		3	22	2017	2017	1	73
USGS	06751490	00060	17699		3	23	2017	2017	1	70
USGS	06751490	00060	17699		3	24	2017	2017	1	71
USGS	06751490	00060	17699		3	25	2017	2017	1	68
USGS	06751490	00060	17699		3	26	2017	2017	1	67
USGS	06751490	00060	17699		3	27	2017	2017	1	65
USGS	06751490	00060	17699		3	28	2017	2017	1	71
USGS	06751490	00060	17699		3	29	2017	2017	1	76
USGS	06751490	00060	17699		3	30	2017	2017	1	73
USGS	06751490	00060	17699		3	31	2017	2017	1	55
USGS	06751490	00060	17699		4	1	2017	2017	1	18
USGS	06751490	00060	17699		4	2	2017	2017	1	16
USGS	06751490	00060	17699		4	3	2017	2017	1	18
USGS	06751490	00060	17699		4	4	2017	2017	1	42
USGS	06751490	00060	17699		4	5	2017	2017	1	34
USGS	06751490	00060	17699		4	6	2017	2017	1	16
USGS	06751490	00060	17699		4	7	2017	2017	1	16
USGS	06751490	00060	17699		4	8	2017	2017	1	21
USGS	06751490	00060	17699		4	9	2017	2017	1	22
USGS	06751490	00060	17699		4	10	2017	2017	1	22
USGS	06751490	00060	17699		4	11	2017	2017	1	21
USGS	06751490	00060	17699		4	12	2017	2017	1	21
USGS	06751490	00060	17699		4	13	2017	2017	1	21
USGS	06751490	00060	17699		4	14	2017	2017	1	22
USGS	06751490	00060	17699		4	15	2017	2017	1	22
USGS	06751490	00060	17699		4	16	2017	2017	1	22
USGS	06751490	00060	17699		4	17	2017	2017	1	21
USGS	06751490	00060	17699		4	18	2017	2017	1	14
USGS	06751490	00060	17699		4	19	2017	2017	1	14
USGS	06751490	00060	17699		4	20	2017	2017	1	13
USGS	06751490	00060	17699		4	21	2017	2017	1	34
USGS	06751490	00060	17699		4	22	2017	2017	1	33
USGS	06751490	00060	17699		4	23	2017	2017	1	30
USGS	06751490	00060	17699		4	24	2017	2017	1	30
USGS	06751490	00060	17699		4	25	2017	2017	1	50
USGS	06751490	00060	17699		4	26	2017	2017	1	46
USGS	06751490	00060	17699		4	27	2017	2017	1	38
USGS	06751490	00060	17699		4	28	2017	2017	1	36
USGS	06751490	00060	17699		4	29	2017	2017	1	39
USGS	06751490	00060	17699		4	30	2017	2017	1	38
USGS	06751490	00060	17699		5	1	2017	2017	1	46
USGS	06751490	00060	17699		5	2	2017	2017	1	51
USGS	06751490	00060	17699		5	3	2017	2017	1	49
USGS	06751490	00060	17699		5	4	2017	2017	1	35
USGS	06751490	00060	17699		5	5	2017	2017	1	27
USGS	06751490	00060	17699		5	6	2017	2017	1	27
USGS	06751490	00060	17699		5	7	2017	2017	1	31
USGS	06751490	00060	17699		5	8	2017	2017	1	42
USGS	06751490	00060	17699		5	9	2017	2017	1	52
USGS	06751490	00060	17699		5	10	2017	2017	1	65
USGS	06751490	00060	17699		5	11	2017	2017	1	91
USGS	06751490	00060	17699		5	12	2017	2017	1	90
USGS	06751490	00060	17699		5	13	2017	2017	1	84
USGS	06751490	00060	17699		5	14	2017	2017	1	91
USGS	06751490	00060	17699		5	15	2017	2017	1	134
USGS	06751490	00060	17699		5	16	2017	2017	1	175
USGS	06751490	00060	17699		5	17	2017	2017	1	192
USGS	06751490	00060	17699		5	18	2017	2017	1	303
USGS	06751490	00060	17699		5	19	2017	2017	1	359
USGS	06751490	00060	17699		5	20	2017	2017	1	401
USGS	06751490	00060	17699		5	21	2017	2017	1	585
USGS	06751490	00060	17699		5	22	2017	2017	1	777
USGS	06751490	00060	17699		5	23	2017	2017	1	884
USGS	06751490	00060	17699		5	24	2017	2017	1	928
USGS	06751490	00060	17699		5	25	2017	2017	1	1250
USGS	06751490	00060	17699		5	26	2017	2017	1	1180
USGS	06751490	00060	17699		5	27	2017	2017	1	1060
USGS	06751490	00060	17699		5	28	2017	2017	1	981
USGS	06751490	00060	17699		5	29	2017	2017	1	854
USGS	06751490	00060	17699		5	30	2017	2017	1	790
USGS	06751490	00060	17699		5	31	2017	2017	1	705
USGS	06751490	00060	17699		6	1	2017	2017	1	662
USGS	06751490	00060	17699		6	2	2017	2017	1	622
USGS	06751490	00060	17699		6	3	2017	2017	1	585
USGS	06751490	00060	17699		6	4	2017	2017	1	560
USGS	06751490	00060	17699		6	5	2017	2017	1	540
USGS	06751490	00060	17699		6	6	2017	2017	1	548
USGS	06751490	00060	17699		6	7	2017	2017	1	534
USGS	06751490	00060	17699		6	8	2017	2017	1	534
USGS	06751490	00060	17699		6	9	2017	2017	1	530
USGS	06751490	00060	17699		6	10	2017	2017	1	512
USGS	06751490	00060	17699		6	11	2017	2017	1	506
USGS	06751490	00060	17699		6	12	2017	2017	1	491
USGS	06751490	00060	17699		6	13	2017	2017	1	471
USGS	06751490	00060	17699		6	14	2017	2017	1	402
USGS	06751490	00060	17699		6	15	2017	2017	1	310
USGS	06751490	00060	17699		6	16	2017	2017	1	271
USGS	06751490	00060	17699		6	17	2017	2017	1	264
USGS	06751490	00060	17699		6	18	2017	2017	1	265
USGS	06751490	00060	17699		6	19	2017	2017	1	239
USGS	06751490	00060	17699		6	20	2017	2017	1	219
USGS	06751490	00060	17699		6	21	2017	2017	1	207
USGS	06751490	00060	17699		6	22	2017	2017	1	199
USGS	06751490	00060	17699		6	23	2017	2017	1	191
USGS	06751490	00060	17699		6	24	2017	2017	1	180
USGS	06751490	00060	17699		6	25	2017	2017	1	157
USGS	06751490	00060	17699		6	26	2017	2017	1	151
USGS	06751490	00060	17699		6	27	2017	2017	1	141
USGS	06751490	00060	17699		6	28	2017	2017	1	126
USGS	06751490	00060	17699		6	29	2017	2017	1	115
USGS	06751490	00060	17699		6	30	2017	2017	1	110
USGS	06751490	00060	17699		7	1	2017	2017	1	106
USGS	06751490	00060	17699		7	2	2017	2017	1	102
USGS	06751490	00060	17699		7	3	2017	2017	1	96
USGS	06751490	00060	17699		7	4	2017	2017	1	91
USGS	06751490	00060	17699		7	5	2017	2017	1	86
USGS	06751490	00060	17699		7	6	2017	2017	1	80
USGS	06751490	00060	17699		7	7	2017	2017	1	76
USGS	06751490	00060	17699		7	8	2017	2017	1	72
USGS	06751490	00060	17699		7	9	2017	2017	1	71
USGS	06751490	00060	17699		7	10	2017	2017	1	69
USGS	06751490	00060	17699		7	11	2017	2017	1	78
USGS	06751490	00060	17699		7	12	2017	2017	1	62
USGS	06751490	00060	17699		7	13	2017	2017	1	33
USGS	06751490	00060	17699		7	14	2017	2017	1	35
USGS	06751490	00060	17699		7	15	2017	2017	1	24
USGS	06751490	00060	17699		7	16	2017	2017	1	18
USGS	06751490	00060	17699		7	17	2017	2017	1	17
USGS	06751490	00060	17699		7	18	2017	2017	1	17
