#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:19 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        07087050     00060          ARKANSAS RIVER BELOW GRANITE, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	07087050	00060	17809		4	1	2007	2007	1	274
USGS	07087050	00060	17809		4	2	2007	2007	1	259
USGS	07087050	00060	17809		4	3	2007	2007	1	225
USGS	07087050	00060	17809		4	4	2007	2007	1	217
USGS	07087050	00060	17809		4	5	2007	2007	1	234
USGS	07087050	00060	17809		4	6	2007	2007	1	238
USGS	07087050	00060	17809		4	7	2007	2007	1	240
USGS	07087050	00060	17809		4	8	2007	2007	1	246
USGS	07087050	00060	17809		4	9	2007	2007	1	248
USGS	07087050	00060	17809		4	10	2007	2007	1	244
USGS	07087050	00060	17809		4	11	2007	2007	1	217
USGS	07087050	00060	17809		4	12	2007	2007	1	218
USGS	07087050	00060	17809		4	13	2007	2007	1	229
USGS	07087050	00060	17809		4	14	2007	2007	1	221
USGS	07087050	00060	17809		4	15	2007	2007	1	235
USGS	07087050	00060	17809		4	16	2007	2007	1	237
USGS	07087050	00060	17809		4	17	2007	2007	1	260
USGS	07087050	00060	17809		4	18	2007	2007	1	257
USGS	07087050	00060	17809		4	19	2007	2007	1	249
USGS	07087050	00060	17809		4	20	2007	2007	1	242
USGS	07087050	00060	17809		4	21	2007	2007	1	256
