#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:37 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        07091200     00060          ARKANSAS RIVER NEAR NATHROP, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	07091200	00060	17818		4	1	2016	2016	1	216
USGS	07091200	00060	17818		4	2	2016	2016	1	209
USGS	07091200	00060	17818		4	3	2016	2016	1	212
USGS	07091200	00060	17818		4	4	2016	2016	1	216
USGS	07091200	00060	17818		4	5	2016	2016	1	224
USGS	07091200	00060	17818		4	6	2016	2016	1	221
USGS	07091200	00060	17818		4	7	2016	2016	1	223
USGS	07091200	00060	17818		4	8	2016	2016	1	241
USGS	07091200	00060	17818		4	9	2016	2016	1	251
USGS	07091200	00060	17818		4	10	2016	2016	1	246
USGS	07091200	00060	17818		4	11	2016	2016	1	246
USGS	07091200	00060	17818		4	12	2016	2016	1	250
USGS	07091200	00060	17818		4	13	2016	2016	1	247
USGS	07091200	00060	17818		4	14	2016	2016	1	256
USGS	07091200	00060	17818		4	15	2016	2016	1	299
USGS	07091200	00060	17818		4	16	2016	2016	1	327
USGS	07091200	00060	17818		4	17	2016	2016	1	307
USGS	07091200	00060	17818		4	18	2016	2016	1	312
USGS	07091200	00060	17818		4	19	2016	2016	1	323
USGS	07091200	00060	17818		4	20	2016	2016	1	308
USGS	07091200	00060	17818		4	21	2016	2016	1	298
USGS	07091200	00060	17818		4	22	2016	2016	1	336
USGS	07091200	00060	17818		4	23	2016	2016	1	384
USGS	07091200	00060	17818		4	24	2016	2016	1	380
USGS	07091200	00060	17818		4	25	2016	2016	1	351
USGS	07091200	00060	17818		4	26	2016	2016	1	347
USGS	07091200	00060	17818		4	27	2016	2016	1	316
