#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:31 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        07093700     00060          ARKANSAS RIVER NEAR WELLSVILLE, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	07093700	00060	17829		1	1	2007	2007	1	415
USGS	07093700	00060	17829		1	2	2007	2007	1	413
USGS	07093700	00060	17829		1	3	2007	2007	1	416
USGS	07093700	00060	17829		1	4	2007	2007	1	449
USGS	07093700	00060	17829		1	5	2007	2007	1	485
USGS	07093700	00060	17829		1	6	2007	2007	1	458
USGS	07093700	00060	17829		1	7	2007	2007	1	461
USGS	07093700	00060	17829		1	8	2007	2007	1	467
USGS	07093700	00060	17829		1	9	2007	2007	1	475
USGS	07093700	00060	17829		1	10	2007	2007	1	468
USGS	07093700	00060	17829		1	11	2007	2007	1	466
USGS	07093700	00060	17829		1	12	2007	2007	1	454
USGS	07093700	00060	17829		1	13	2007	2007	1	442
USGS	07093700	00060	17829		1	14	2007	2007	1	441
USGS	07093700	00060	17829		1	15	2007	2007	1	422
USGS	07093700	00060	17829		1	16	2007	2007	1	419
USGS	07093700	00060	17829		1	17	2007	2007	1	426
USGS	07093700	00060	17829		1	18	2007	2007	1	430
USGS	07093700	00060	17829		1	19	2007	2007	1	432
USGS	07093700	00060	17829		1	20	2007	2007	1	446
USGS	07093700	00060	17829		1	21	2007	2007	1	440
USGS	07093700	00060	17829		1	22	2007	2007	1	428
USGS	07093700	00060	17829		1	23	2007	2007	1	430
USGS	07093700	00060	17829		1	24	2007	2007	1	439
USGS	07093700	00060	17829		1	25	2007	2007	1	439
USGS	07093700	00060	17829		1	26	2007	2007	1	444
USGS	07093700	00060	17829		1	27	2007	2007	1	439
USGS	07093700	00060	17829		1	28	2007	2007	1	433
USGS	07093700	00060	17829		1	29	2007	2007	1	433
USGS	07093700	00060	17829		1	30	2007	2007	1	434
USGS	07093700	00060	17829		1	31	2007	2007	1	442
USGS	07093700	00060	17829		2	1	2007	2007	1	428
USGS	07093700	00060	17829		2	2	2007	2007	1	411
USGS	07093700	00060	17829		2	3	2007	2007	1	422
USGS	07093700	00060	17829		2	4	2007	2007	1	428
USGS	07093700	00060	17829		2	5	2007	2007	1	436
USGS	07093700	00060	17829		2	6	2007	2007	1	443
USGS	07093700	00060	17829		2	7	2007	2007	1	429
USGS	07093700	00060	17829		2	8	2007	2007	1	424
USGS	07093700	00060	17829		2	9	2007	2007	1	424
USGS	07093700	00060	17829		2	10	2007	2007	1	424
USGS	07093700	00060	17829		2	11	2007	2007	1	422
USGS	07093700	00060	17829		2	12	2007	2007	1	412
USGS	07093700	00060	17829		2	13	2007	2007	1	408
USGS	07093700	00060	17829		2	14	2007	2007	1	408
USGS	07093700	00060	17829		2	15	2007	2007	1	410
USGS	07093700	00060	17829		2	16	2007	2007	1	408
USGS	07093700	00060	17829		2	17	2007	2007	1	444
USGS	07093700	00060	17829		2	18	2007	2007	1	455
USGS	07093700	00060	17829		2	19	2007	2007	1	458
USGS	07093700	00060	17829		2	20	2007	2007	1	470
USGS	07093700	00060	17829		2	21	2007	2007	1	468
USGS	07093700	00060	17829		2	22	2007	2007	1	464
USGS	07093700	00060	17829		2	23	2007	2007	1	465
USGS	07093700	00060	17829		2	24	2007	2007	1	459
USGS	07093700	00060	17829		2	25	2007	2007	1	446
USGS	07093700	00060	17829		2	26	2007	2007	1	455
USGS	07093700	00060	17829		2	27	2007	2007	1	463
USGS	07093700	00060	17829		2	28	2007	2007	1	465
USGS	07093700	00060	17829		3	1	2007	2007	1	455
USGS	07093700	00060	17829		3	2	2007	2007	1	450
USGS	07093700	00060	17829		3	3	2007	2007	1	445
USGS	07093700	00060	17829		3	4	2007	2007	1	460
USGS	07093700	00060	17829		3	5	2007	2007	1	470
USGS	07093700	00060	17829		3	6	2007	2007	1	472
USGS	07093700	00060	17829		3	7	2007	2007	1	474
USGS	07093700	00060	17829		3	8	2007	2007	1	480
USGS	07093700	00060	17829		3	9	2007	2007	1	473
USGS	07093700	00060	17829		3	10	2007	2007	1	405
USGS	07093700	00060	17829		3	11	2007	2007	1	355
USGS	07093700	00060	17829		3	12	2007	2007	1	307
USGS	07093700	00060	17829		3	13	2007	2007	1	294
USGS	07093700	00060	17829		3	14	2007	2007	1	307
USGS	07093700	00060	17829		3	15	2007	2007	1	311
USGS	07093700	00060	17829		3	16	2007	2007	1	350
USGS	07093700	00060	17829		3	17	2007	2007	1	441
USGS	07093700	00060	17829		3	18	2007	2007	1	483
USGS	07093700	00060	17829		3	19	2007	2007	1	480
USGS	07093700	00060	17829		3	20	2007	2007	1	478
