#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:28 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        07094500     00010          ARKANSAS RIVER AT PARKDALE, CO.
# USGS        07094500     00060          ARKANSAS RIVER AT PARKDALE, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00010         Temperature, water, degrees Celsius
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	07094500	00010	17843		4	1	2007	2007	1	8.3
USGS	07094500	00010	17843		4	2	2007	2007	1	10.3
USGS	07094500	00010	17843		4	3	2007	2007	1	10.2
USGS	07094500	00010	17843		4	24	2007	2007	1	9.7
USGS	07094500	00010	17843		4	25	2007	2007	1	8.9
USGS	07094500	00010	17843		4	26	2007	2007	1	11.2
USGS	07094500	00010	17843		4	27	2007	2007	1	13.2
USGS	07094500	00010	17843		4	28	2007	2007	1	14.8
USGS	07094500	00010	17843		4	29	2007	2007	1	15.6
USGS	07094500	00010	17843		4	30	2007	2007	1	14.8
USGS	07094500	00010	17843		5	1	2007	2007	1	14.8
USGS	07094500	00010	17843		5	2	2007	2007	1	13.5
USGS	07094500	00010	17843		5	3	2007	2007	1	13.6
USGS	07094500	00010	17843		5	4	2007	2007	1	12.1
USGS	07094500	00010	17843		5	5	2007	2007	1	10.5
USGS	07094500	00010	17843		5	6	2007	2007	1	8.6
USGS	07094500	00010	17843		5	7	2007	2007	1	8.6
USGS	07094500	00010	17843		5	8	2007	2007	1	11.8
USGS	07094500	00010	17843		5	9	2007	2007	1	12.9
USGS	07094500	00010	17843		5	10	2007	2007	1	13.9
USGS	07094500	00010	17843		5	11	2007	2007	1	15.0
