#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:29 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        07094500     00060          ARKANSAS RIVER AT PARKDALE, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	07094500	00060	17840		4	1	2011	2011	1	307
USGS	07094500	00060	17840		4	2	2011	2011	1	316
USGS	07094500	00060	17840		4	3	2011	2011	1	318
USGS	07094500	00060	17840		4	4	2011	2011	1	338
USGS	07094500	00060	17840		4	5	2011	2011	1	312
USGS	07094500	00060	17840		4	6	2011	2011	1	292
USGS	07094500	00060	17840		4	7	2011	2011	1	308
USGS	07094500	00060	17840		4	8	2011	2011	1	308
USGS	07094500	00060	17840		4	9	2011	2011	1	298
USGS	07094500	00060	17840		4	10	2011	2011	1	295
USGS	07094500	00060	17840		4	11	2011	2011	1	280
USGS	07094500	00060	17840		4	12	2011	2011	1	275
USGS	07094500	00060	17840		4	13	2011	2011	1	277
USGS	07094500	00060	17840		4	14	2011	2011	1	300
USGS	07094500	00060	17840		4	15	2011	2011	1	312
USGS	07094500	00060	17840		4	16	2011	2011	1	302
USGS	07094500	00060	17840		4	17	2011	2011	1	311
USGS	07094500	00060	17840		4	18	2011	2011	1	316
USGS	07094500	00060	17840		4	19	2011	2011	1	328
USGS	07094500	00060	17840		4	20	2011	2011	1	371
USGS	07094500	00060	17840		4	21	2011	2011	1	383
USGS	07094500	00060	17840		4	22	2011	2011	1	392
USGS	07094500	00060	17840		4	23	2011	2011	1	398
USGS	07094500	00060	17840		4	24	2011	2011	1	400
USGS	07094500	00060	17840		4	25	2011	2011	1	404
USGS	07094500	00060	17840		4	26	2011	2011	1	397
USGS	07094500	00060	17840		4	27	2011	2011	1	418
USGS	07094500	00060	17840		4	28	2011	2011	1	434
USGS	07094500	00060	17840		4	29	2011	2011	1	429
USGS	07094500	00060	17840		4	30	2011	2011	1	466
USGS	07094500	00060	17840		5	1	2011	2011	1	484
USGS	07094500	00060	17840		5	2	2011	2011	1	481
USGS	07094500	00060	17840		5	3	2011	2011	1	478
USGS	07094500	00060	17840		5	4	2011	2011	1	494
USGS	07094500	00060	17840		5	5	2011	2011	1	547
USGS	07094500	00060	17840		5	6	2011	2011	1	586
USGS	07094500	00060	17840		5	7	2011	2011	1	585
USGS	07094500	00060	17840		5	8	2011	2011	1	609
USGS	07094500	00060	17840		5	9	2011	2011	1	675
USGS	07094500	00060	17840		5	10	2011	2011	1	812
USGS	07094500	00060	17840		5	11	2011	2011	1	879
USGS	07094500	00060	17840		5	12	2011	2011	1	923
USGS	07094500	00060	17840		5	13	2011	2011	1	845
USGS	07094500	00060	17840		5	14	2011	2011	1	824
USGS	07094500	00060	17840		5	15	2011	2011	1	851
USGS	07094500	00060	17840		5	16	2011	2011	1	869
USGS	07094500	00060	17840		5	17	2011	2011	1	969
USGS	07094500	00060	17840		5	18	2011	2011	1	1050
USGS	07094500	00060	17840		5	19	2011	2011	1	1010
USGS	07094500	00060	17840		5	20	2011	2011	1	959
USGS	07094500	00060	17840		5	21	2011	2011	1	956
USGS	07094500	00060	17840		5	22	2011	2011	1	942
USGS	07094500	00060	17840		5	23	2011	2011	1	892
USGS	07094500	00060	17840		5	24	2011	2011	1	862
USGS	07094500	00060	17840		5	25	2011	2011	1	816
USGS	07094500	00060	17840		5	26	2011	2011	1	772
USGS	07094500	00060	17840		5	27	2011	2011	1	801
USGS	07094500	00060	17840		5	28	2011	2011	1	901
USGS	07094500	00060	17840		5	29	2011	2011	1	1200
USGS	07094500	00060	17840		5	30	2011	2011	1	1630
USGS	07094500	00060	17840		5	31	2011	2011	1	1690
USGS	07094500	00060	17840		6	1	2011	2011	1	1500
USGS	07094500	00060	17840		6	2	2011	2011	1	1410
USGS	07094500	00060	17840		6	3	2011	2011	1	1570
USGS	07094500	00060	17840		6	4	2011	2011	1	1960
USGS	07094500	00060	17840		6	5	2011	2011	1	2350
USGS	07094500	00060	17840		6	6	2011	2011	1	2840
USGS	07094500	00060	17840		6	7	2011	2011	1	3400
USGS	07094500	00060	17840		6	8	2011	2011	1	3660
USGS	07094500	00060	17840		6	9	2011	2011	1	3490
USGS	07094500	00060	17840		6	10	2011	2011	1	3310
USGS	07094500	00060	17840		6	11	2011	2011	1	3190
USGS	07094500	00060	17840		6	12	2011	2011	1	3330
USGS	07094500	00060	17840		6	13	2011	2011	1	3380
USGS	07094500	00060	17840		6	14	2011	2011	1	3410
USGS	07094500	00060	17840		6	15	2011	2011	1	3340
USGS	07094500	00060	17840		6	16	2011	2011	1	3470
USGS	07094500	00060	17840		6	17	2011	2011	1	3570
USGS	07094500	00060	17840		6	18	2011	2011	1	3590
USGS	07094500	00060	17840		6	19	2011	2011	1	3610
