#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:40:01 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09034250     00060          COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09034250	00060	18444		1	1	2017	2017	1	81
USGS	09034250	00060	18444		1	2	2017	2017	1	81
USGS	09034250	00060	18444		1	3	2017	2017	1	81
USGS	09034250	00060	18444		1	4	2017	2017	1	81
USGS	09034250	00060	18444		1	5	2017	2017	1	81
USGS	09034250	00060	18444		1	6	2017	2017	1	81
USGS	09034250	00060	18444		1	7	2017	2017	1	81
USGS	09034250	00060	18444		1	8	2017	2017	1	81
USGS	09034250	00060	18444		1	9	2017	2017	1	82
USGS	09034250	00060	18444		1	10	2017	2017	1	82
USGS	09034250	00060	18444		1	11	2017	2017	1	82
USGS	09034250	00060	18444		1	12	2017	2017	1	82
USGS	09034250	00060	18444		1	13	2017	2017	1	82
USGS	09034250	00060	18444		1	14	2017	2017	1	82
USGS	09034250	00060	18444		1	15	2017	2017	1	82
USGS	09034250	00060	18444		1	16	2017	2017	1	82
USGS	09034250	00060	18444		1	17	2017	2017	1	82
USGS	09034250	00060	18444		1	18	2017	2017	1	82
USGS	09034250	00060	18444		1	19	2017	2017	1	82
USGS	09034250	00060	18444		1	20	2017	2017	1	82
USGS	09034250	00060	18444		1	21	2017	2017	1	82
USGS	09034250	00060	18444		1	22	2017	2017	1	83
USGS	09034250	00060	18444		1	23	2017	2017	1	83
USGS	09034250	00060	18444		1	24	2017	2017	1	83
USGS	09034250	00060	18444		1	25	2017	2017	1	83
USGS	09034250	00060	18444		1	26	2017	2017	1	84
USGS	09034250	00060	18444		1	27	2017	2017	1	84
USGS	09034250	00060	18444		1	28	2017	2017	1	84
USGS	09034250	00060	18444		1	29	2017	2017	1	85
USGS	09034250	00060	18444		1	30	2017	2017	1	85
USGS	09034250	00060	18444		1	31	2017	2017	1	86
USGS	09034250	00060	18444		2	1	2017	2017	1	86
USGS	09034250	00060	18444		2	2	2017	2017	1	87
USGS	09034250	00060	18444		2	3	2017	2017	1	87
USGS	09034250	00060	18444		2	4	2017	2017	1	88
USGS	09034250	00060	18444		2	5	2017	2017	1	89
USGS	09034250	00060	18444		2	6	2017	2017	1	90
USGS	09034250	00060	18444		2	7	2017	2017	1	90
USGS	09034250	00060	18444		2	8	2017	2017	1	91
USGS	09034250	00060	18444		2	9	2017	2017	1	92
USGS	09034250	00060	18444		2	10	2017	2017	1	93
USGS	09034250	00060	18444		2	11	2017	2017	1	93
USGS	09034250	00060	18444		2	12	2017	2017	1	94
USGS	09034250	00060	18444		2	13	2017	2017	1	95
USGS	09034250	00060	18444		2	14	2017	2017	1	96
USGS	09034250	00060	18444		2	15	2017	2017	1	96
USGS	09034250	00060	18444		2	16	2017	2017	1	98
USGS	09034250	00060	18444		2	17	2017	2017	1	98
USGS	09034250	00060	18444		2	18	2017	2017	1	99
USGS	09034250	00060	18444		2	19	2017	2017	1	100
USGS	09034250	00060	18444		2	20	2017	2017	1	101
USGS	09034250	00060	18444		2	21	2017	2017	1	102
USGS	09034250	00060	18444		2	22	2017	2017	1	103
USGS	09034250	00060	18444		2	23	2017	2017	1	104
USGS	09034250	00060	18444		2	24	2017	2017	1	105
USGS	09034250	00060	18444		2	25	2017	2017	1	106
USGS	09034250	00060	18444		2	26	2017	2017	1	107
USGS	09034250	00060	18444		2	27	2017	2017	1	108
USGS	09034250	00060	18444		2	28	2017	2017	1	108
USGS	09034250	00060	18444		3	1	2017	2017	1	109
USGS	09034250	00060	18444		3	2	2017	2017	1	109
USGS	09034250	00060	18444		3	3	2017	2017	1	103
USGS	09034250	00060	18444		3	4	2017	2017	1	83
USGS	09034250	00060	18444		3	5	2017	2017	1	80
USGS	09034250	00060	18444		3	6	2017	2017	1	79
USGS	09034250	00060	18444		3	7	2017	2017	1	80
USGS	09034250	00060	18444		3	8	2017	2017	1	79
USGS	09034250	00060	18444		3	9	2017	2017	1	82
USGS	09034250	00060	18444		3	10	2017	2017	1	91
USGS	09034250	00060	18444		3	11	2017	2017	1	103
USGS	09034250	00060	18444		3	12	2017	2017	1	116
USGS	09034250	00060	18444		3	13	2017	2017	1	123
USGS	09034250	00060	18444		3	14	2017	2017	1	124
USGS	09034250	00060	18444		3	15	2017	2017	1	139
USGS	09034250	00060	18444		3	16	2017	2017	1	166
USGS	09034250	00060	18444		3	17	2017	2017	1	176
USGS	09034250	00060	18444		3	18	2017	2017	1	187
USGS	09034250	00060	18444		3	19	2017	2017	1	204
USGS	09034250	00060	18444		3	20	2017	2017	1	281
USGS	09034250	00060	18444		3	21	2017	2017	1	271
USGS	09034250	00060	18444		3	22	2017	2017	1	264
USGS	09034250	00060	18444		3	23	2017	2017	1	287
USGS	09034250	00060	18444		3	24	2017	2017	1	282
USGS	09034250	00060	18444		3	25	2017	2017	1	250
USGS	09034250	00060	18444		3	26	2017	2017	1	261
USGS	09034250	00060	18444		3	27	2017	2017	1	254
USGS	09034250	00060	18444		3	28	2017	2017	1	247
USGS	09034250	00060	18444		3	29	2017	2017	1	238
USGS	09034250	00060	18444		3	30	2017	2017	1	241
USGS	09034250	00060	18444		3	31	2017	2017	1	238
USGS	09034250	00060	18444		4	1	2017	2017	1	221
USGS	09034250	00060	18444		4	2	2017	2017	1	223
USGS	09034250	00060	18444		4	3	2017	2017	1	221
USGS	09034250	00060	18444		4	4	2017	2017	1	216
USGS	09034250	00060	18444		4	5	2017	2017	1	206
USGS	09034250	00060	18444		4	6	2017	2017	1	216
USGS	09034250	00060	18444		4	7	2017	2017	1	240
USGS	09034250	00060	18444		4	8	2017	2017	1	261
USGS	09034250	00060	18444		4	9	2017	2017	1	298
USGS	09034250	00060	18444		4	10	2017	2017	1	252
USGS	09034250	00060	18444		4	11	2017	2017	1	241
USGS	09034250	00060	18444		4	12	2017	2017	1	238
USGS	09034250	00060	18444		4	13	2017	2017	1	259
