#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:43 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09046490     00060          BLUE RIVER AT BLUE RIVER, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09046490	00060	18507		1	1	2010	2010	1	4.7
USGS	09046490	00060	18507		1	2	2010	2010	1	5.4
USGS	09046490	00060	18507		1	3	2010	2010	1	6.0
USGS	09046490	00060	18507		1	4	2010	2010	1	6.9
USGS	09046490	00060	18507		1	5	2010	2010	1	6.8
USGS	09046490	00060	18507		1	6	2010	2010	1	6.8
USGS	09046490	00060	18507		1	7	2010	2010	1	6.9
USGS	09046490	00060	18507		1	8	2010	2010	1	5.4
USGS	09046490	00060	18507		1	9	2010	2010	1	4.0
USGS	09046490	00060	18507		1	10	2010	2010	1	3.6
USGS	09046490	00060	18507		1	11	2010	2010	1	3.5
USGS	09046490	00060	18507		1	12	2010	2010	1	3.3
USGS	09046490	00060	18507		1	13	2010	2010	1	3.2
USGS	09046490	00060	18507		1	14	2010	2010	1	3.2
USGS	09046490	00060	18507		1	15	2010	2010	1	3.1
USGS	09046490	00060	18507		1	16	2010	2010	1	3.2
USGS	09046490	00060	18507		1	17	2010	2010	1	3.2
USGS	09046490	00060	18507		1	18	2010	2010	1	3.2
USGS	09046490	00060	18507		1	19	2010	2010	1	3.1
USGS	09046490	00060	18507		1	20	2010	2010	1	3.2
USGS	09046490	00060	18507		1	21	2010	2010	1	3.2
USGS	09046490	00060	18507		1	22	2010	2010	1	3.2
USGS	09046490	00060	18507		1	23	2010	2010	1	3.2
USGS	09046490	00060	18507		1	24	2010	2010	1	3.2
USGS	09046490	00060	18507		1	25	2010	2010	1	3.3
USGS	09046490	00060	18507		1	26	2010	2010	1	3.3
USGS	09046490	00060	18507		1	27	2010	2010	1	3.1
USGS	09046490	00060	18507		1	28	2010	2010	1	2.9
USGS	09046490	00060	18507		1	29	2010	2010	1	2.9
USGS	09046490	00060	18507		1	30	2010	2010	1	2.9
USGS	09046490	00060	18507		1	31	2010	2010	1	2.9
USGS	09046490	00060	18507		2	1	2010	2010	1	2.9
USGS	09046490	00060	18507		2	2	2010	2010	1	3.0
USGS	09046490	00060	18507		2	3	2010	2010	1	2.9
USGS	09046490	00060	18507		2	4	2010	2010	1	2.9
USGS	09046490	00060	18507		2	5	2010	2010	1	2.9
USGS	09046490	00060	18507		2	6	2010	2010	1	2.8
USGS	09046490	00060	18507		2	7	2010	2010	1	2.8
USGS	09046490	00060	18507		2	8	2010	2010	1	2.9
USGS	09046490	00060	18507		2	9	2010	2010	1	3.0
USGS	09046490	00060	18507		2	10	2010	2010	1	3.0
USGS	09046490	00060	18507		2	11	2010	2010	1	2.8
USGS	09046490	00060	18507		2	12	2010	2010	1	3.0
USGS	09046490	00060	18507		2	13	2010	2010	1	2.8
USGS	09046490	00060	18507		2	14	2010	2010	1	2.8
USGS	09046490	00060	18507		2	15	2010	2010	1	2.9
USGS	09046490	00060	18507		2	16	2010	2010	1	2.9
USGS	09046490	00060	18507		2	17	2010	2010	1	3.0
USGS	09046490	00060	18507		2	18	2010	2010	1	2.8
USGS	09046490	00060	18507		2	19	2010	2010	1	2.8
USGS	09046490	00060	18507		2	20	2010	2010	1	2.7
USGS	09046490	00060	18507		2	21	2010	2010	1	3.0
USGS	09046490	00060	18507		2	22	2010	2010	1	3.0
USGS	09046490	00060	18507		2	23	2010	2010	1	3.0
USGS	09046490	00060	18507		2	24	2010	2010	1	3.1
USGS	09046490	00060	18507		2	25	2010	2010	1	3.0
USGS	09046490	00060	18507		2	26	2010	2010	1	3.0
USGS	09046490	00060	18507		2	27	2010	2010	1	3.0
USGS	09046490	00060	18507		2	28	2010	2010	1	3.0
USGS	09046490	00060	18507		3	1	2010	2010	1	3.1
USGS	09046490	00060	18507		3	2	2010	2010	1	3.2
USGS	09046490	00060	18507		3	3	2010	2010	1	3.2
USGS	09046490	00060	18507		3	4	2010	2010	1	3.0
USGS	09046490	00060	18507		3	5	2010	2010	1	2.9
USGS	09046490	00060	18507		3	6	2010	2010	1	2.9
USGS	09046490	00060	18507		3	7	2010	2010	1	2.9
USGS	09046490	00060	18507		3	8	2010	2010	1	2.9
USGS	09046490	00060	18507		3	9	2010	2010	1	2.9
USGS	09046490	00060	18507		3	10	2010	2010	1	2.9
USGS	09046490	00060	18507		3	11	2010	2010	1	2.9
USGS	09046490	00060	18507		3	12	2010	2010	1	2.9
USGS	09046490	00060	18507		3	13	2010	2010	1	2.9
USGS	09046490	00060	18507		3	14	2010	2010	1	2.9
USGS	09046490	00060	18507		3	15	2010	2010	1	2.9
USGS	09046490	00060	18507		3	16	2010	2010	1	2.9
USGS	09046490	00060	18507		3	17	2010	2010	1	2.9
USGS	09046490	00060	18507		3	18	2010	2010	1	2.9
USGS	09046490	00060	18507		3	19	2010	2010	1	2.9
USGS	09046490	00060	18507		3	20	2010	2010	1	2.9
USGS	09046490	00060	18507		3	21	2010	2010	1	2.9
USGS	09046490	00060	18507		3	22	2010	2010	1	2.9
USGS	09046490	00060	18507		3	23	2010	2010	1	2.9
USGS	09046490	00060	18507		3	24	2010	2010	1	2.9
USGS	09046490	00060	18507		3	25	2010	2010	1	2.9
USGS	09046490	00060	18507		3	26	2010	2010	1	2.9
USGS	09046490	00060	18507		3	27	2010	2010	1	2.9
USGS	09046490	00060	18507		3	28	2010	2010	1	2.9
USGS	09046490	00060	18507		3	29	2010	2010	1	2.9
USGS	09046490	00060	18507		3	30	2010	2010	1	2.9
USGS	09046490	00060	18507		3	31	2010	2010	1	3.5
USGS	09046490	00060	18507		4	1	2010	2010	1	4.3
USGS	09046490	00060	18507		4	2	2010	2010	1	4.7
USGS	09046490	00060	18507		4	3	2010	2010	1	4.7
USGS	09046490	00060	18507		4	4	2010	2010	1	4.6
USGS	09046490	00060	18507		4	5	2010	2010	1	4.5
USGS	09046490	00060	18507		4	6	2010	2010	1	4.1
USGS	09046490	00060	18507		4	7	2010	2010	1	4.1
USGS	09046490	00060	18507		4	8	2010	2010	1	4.1
USGS	09046490	00060	18507		4	9	2010	2010	1	4.2
USGS	09046490	00060	18507		4	10	2010	2010	1	4.4
USGS	09046490	00060	18507		4	11	2010	2010	1	4.9
USGS	09046490	00060	18507		4	12	2010	2010	1	7.0
USGS	09046490	00060	18507		4	13	2010	2010	1	10
USGS	09046490	00060	18507		4	14	2010	2010	1	11
USGS	09046490	00060	18507		4	15	2010	2010	1	11
USGS	09046490	00060	18507		4	16	2010	2010	1	11
USGS	09046490	00060	18507		4	17	2010	2010	1	12
USGS	09046490	00060	18507		4	18	2010	2010	1	16
USGS	09046490	00060	18507		4	19	2010	2010	1	16
USGS	09046490	00060	18507		4	20	2010	2010	1	20
USGS	09046490	00060	18507		4	21	2010	2010	1	27
USGS	09046490	00060	18507		4	22	2010	2010	1	32
USGS	09046490	00060	18507		4	23	2010	2010	1	29
USGS	09046490	00060	18507		4	24	2010	2010	1	18
USGS	09046490	00060	18507		4	25	2010	2010	1	13
USGS	09046490	00060	18507		4	26	2010	2010	1	12
USGS	09046490	00060	18507		4	27	2010	2010	1	12
USGS	09046490	00060	18507		4	28	2010	2010	1	13
USGS	09046490	00060	18507		4	29	2010	2010	1	18
USGS	09046490	00060	18507		4	30	2010	2010	1	13
USGS	09046490	00060	18507		5	1	2010	2010	1	11
USGS	09046490	00060	18507		5	2	2010	2010	1	12
USGS	09046490	00060	18507		5	3	2010	2010	1	13
USGS	09046490	00060	18507		5	4	2010	2010	1	14
USGS	09046490	00060	18507		5	5	2010	2010	1	15
USGS	09046490	00060	18507		5	6	2010	2010	1	17
USGS	09046490	00060	18507		5	7	2010	2010	1	18
USGS	09046490	00060	18507		5	8	2010	2010	1	15
USGS	09046490	00060	18507		5	9	2010	2010	1	17
USGS	09046490	00060	18507		5	10	2010	2010	1	28
USGS	09046490	00060	18507		5	11	2010	2010	1	24
USGS	09046490	00060	18507		5	12	2010	2010	1	22
USGS	09046490	00060	18507		5	13	2010	2010	1	18
USGS	09046490	00060	18507		5	14	2010	2010	1	18
USGS	09046490	00060	18507		5	15	2010	2010	1	21
USGS	09046490	00060	18507		5	16	2010	2010	1	21
USGS	09046490	00060	18507		5	17	2010	2010	1	21
USGS	09046490	00060	18507		5	18	2010	2010	1	24
USGS	09046490	00060	18507		5	19	2010	2010	1	35
USGS	09046490	00060	18507		5	20	2010	2010	1	38
USGS	09046490	00060	18507		5	21	2010	2010	1	35
USGS	09046490	00060	18507		5	22	2010	2010	1	41
USGS	09046490	00060	18507		5	23	2010	2010	1	66
USGS	09046490	00060	18507		5	24	2010	2010	1	62
USGS	09046490	00060	18507		5	25	2010	2010	1	48
USGS	09046490	00060	18507		5	26	2010	2010	1	48
USGS	09046490	00060	18507		5	27	2010	2010	1	56
USGS	09046490	00060	18507		5	28	2010	2010	1	65
USGS	09046490	00060	18507		5	29	2010	2010	1	68
USGS	09046490	00060	18507		5	30	2010	2010	1	90
USGS	09046490	00060	18507		5	31	2010	2010	1	88
USGS	09046490	00060	18507		6	1	2010	2010	1	88
USGS	09046490	00060	18507		6	2	2010	2010	1	84
USGS	09046490	00060	18507		6	3	2010	2010	1	76
USGS	09046490	00060	18507		6	4	2010	2010	1	74
USGS	09046490	00060	18507		6	5	2010	2010	1	89
USGS	09046490	00060	18507		6	6	2010	2010	1	109
USGS	09046490	00060	18507		6	7	2010	2010	1	146
USGS	09046490	00060	18507		6	8	2010	2010	1	205
USGS	09046490	00060	18507		6	9	2010	2010	1	237
USGS	09046490	00060	18507		6	10	2010	2010	1	218
USGS	09046490	00060	18507		6	11	2010	2010	1	147
USGS	09046490	00060	18507		6	12	2010	2010	1	146
USGS	09046490	00060	18507		6	13	2010	2010	1	170
USGS	09046490	00060	18507		6	14	2010	2010	1	164
USGS	09046490	00060	18507		6	15	2010	2010	1	132
USGS	09046490	00060	18507		6	16	2010	2010	1	125
USGS	09046490	00060	18507		6	17	2010	2010	1	130
USGS	09046490	00060	18507		6	18	2010	2010	1	123
USGS	09046490	00060	18507		6	19	2010	2010	1	124
USGS	09046490	00060	18507		6	20	2010	2010	1	128
USGS	09046490	00060	18507		6	21	2010	2010	1	123
USGS	09046490	00060	18507		6	22	2010	2010	1	113
USGS	09046490	00060	18507		6	23	2010	2010	1	109
USGS	09046490	00060	18507		6	24	2010	2010	1	110
USGS	09046490	00060	18507		6	25	2010	2010	1	112
USGS	09046490	00060	18507		6	26	2010	2010	1	98
USGS	09046490	00060	18507		6	27	2010	2010	1	63
USGS	09046490	00060	18507		6	28	2010	2010	1	66
USGS	09046490	00060	18507		6	29	2010	2010	1	64
USGS	09046490	00060	18507		6	30	2010	2010	1	63
USGS	09046490	00060	18507		7	1	2010	2010	1	61
USGS	09046490	00060	18507		7	2	2010	2010	1	61
USGS	09046490	00060	18507		7	3	2010	2010	1	73
USGS	09046490	00060	18507		7	4	2010	2010	1	72
USGS	09046490	00060	18507		7	5	2010	2010	1	63
USGS	09046490	00060	18507		7	6	2010	2010	1	41
USGS	09046490	00060	18507		7	7	2010	2010	1	31
USGS	09046490	00060	18507		7	8	2010	2010	1	37
USGS	09046490	00060	18507		7	9	2010	2010	1	35
USGS	09046490	00060	18507		7	10	2010	2010	1	34
USGS	09046490	00060	18507		7	11	2010	2010	1	37
USGS	09046490	00060	18507		7	12	2010	2010	1	47
USGS	09046490	00060	18507		7	13	2010	2010	1	47
USGS	09046490	00060	18507		7	14	2010	2010	1	43
USGS	09046490	00060	18507		7	15	2010	2010	1	42
USGS	09046490	00060	18507		7	16	2010	2010	1	35
USGS	09046490	00060	18507		7	17	2010	2010	1	34
USGS	09046490	00060	18507		7	18	2010	2010	1	27
USGS	09046490	00060	18507		7	19	2010	2010	1	25
USGS	09046490	00060	18507		7	20	2010	2010	1	22
USGS	09046490	00060	18507		7	21	2010	2010	1	28
USGS	09046490	00060	18507		7	22	2010	2010	1	47
USGS	09046490	00060	18507		7	23	2010	2010	1	41
USGS	09046490	00060	18507		7	24	2010	2010	1	30
USGS	09046490	00060	18507		7	25	2010	2010	1	22
USGS	09046490	00060	18507		7	26	2010	2010	1	19
USGS	09046490	00060	18507		7	27	2010	2010	1	18
USGS	09046490	00060	18507		7	28	2010	2010	1	22
USGS	09046490	00060	18507		7	29	2010	2010	1	69
USGS	09046490	00060	18507		7	30	2010	2010	1	147
USGS	09046490	00060	18507		7	31	2010	2010	1	108
USGS	09046490	00060	18507		8	1	2010	2010	1	91
USGS	09046490	00060	18507		8	2	2010	2010	1	102
USGS	09046490	00060	18507		8	3	2010	2010	1	152
USGS	09046490	00060	18507		8	4	2010	2010	1	102
USGS	09046490	00060	18507		8	5	2010	2010	1	84
USGS	09046490	00060	18507		8	6	2010	2010	1	71
USGS	09046490	00060	18507		8	7	2010	2010	1	58
USGS	09046490	00060	18507		8	8	2010	2010	1	51
USGS	09046490	00060	18507		8	9	2010	2010	1	34
USGS	09046490	00060	18507		8	10	2010	2010	1	34
USGS	09046490	00060	18507		8	11	2010	2010	1	29
USGS	09046490	00060	18507		8	12	2010	2010	1	30
USGS	09046490	00060	18507		8	13	2010	2010	1	27
USGS	09046490	00060	18507		8	14	2010	2010	1	24
USGS	09046490	00060	18507		8	15	2010	2010	1	22
USGS	09046490	00060	18507		8	16	2010	2010	1	23
USGS	09046490	00060	18507		8	17	2010	2010	1	24
USGS	09046490	00060	18507		8	18	2010	2010	1	21
USGS	09046490	00060	18507		8	19	2010	2010	1	21
USGS	09046490	00060	18507		8	20	2010	2010	1	21
USGS	09046490	00060	18507		8	21	2010	2010	1	20
USGS	09046490	00060	18507		8	22	2010	2010	1	18
USGS	09046490	00060	18507		8	23	2010	2010	1	17
USGS	09046490	00060	18507		8	24	2010	2010	1	17
USGS	09046490	00060	18507		8	25	2010	2010	1	17
USGS	09046490	00060	18507		8	26	2010	2010	1	16
USGS	09046490	00060	18507		8	27	2010	2010	1	16
USGS	09046490	00060	18507		8	28	2010	2010	1	15
USGS	09046490	00060	18507		8	29	2010	2010	1	15
USGS	09046490	00060	18507		8	30	2010	2010	1	15
USGS	09046490	00060	18507		8	31	2010	2010	1	14
USGS	09046490	00060	18507		9	1	2010	2010	1	14
USGS	09046490	00060	18507		9	2	2010	2010	1	13
USGS	09046490	00060	18507		9	3	2010	2010	1	13
USGS	09046490	00060	18507		9	4	2010	2010	1	15
USGS	09046490	00060	18507		9	5	2010	2010	1	16
USGS	09046490	00060	18507		9	6	2010	2010	1	16
USGS	09046490	00060	18507		9	7	2010	2010	1	16
USGS	09046490	00060	18507		9	8	2010	2010	1	17
USGS	09046490	00060	18507		9	9	2010	2010	1	18
USGS	09046490	00060	18507		9	10	2010	2010	1	17
USGS	09046490	00060	18507		9	11	2010	2010	1	16
USGS	09046490	00060	18507		9	12	2010	2010	1	15
USGS	09046490	00060	18507		9	13	2010	2010	1	14
USGS	09046490	00060	18507		9	14	2010	2010	1	13
USGS	09046490	00060	18507		9	15	2010	2010	1	13
USGS	09046490	00060	18507		9	16	2010	2010	1	13
USGS	09046490	00060	18507		9	17	2010	2010	1	10
USGS	09046490	00060	18507		9	18	2010	2010	1	10
USGS	09046490	00060	18507		9	19	2010	2010	1	10
USGS	09046490	00060	18507		9	20	2010	2010	1	11
USGS	09046490	00060	18507		9	21	2010	2010	1	10
USGS	09046490	00060	18507		9	22	2010	2010	1	12
USGS	09046490	00060	18507		9	23	2010	2010	1	14
USGS	09046490	00060	18507		9	24	2010	2010	1	13
USGS	09046490	00060	18507		9	25	2010	2010	1	12
USGS	09046490	00060	18507		9	26	2010	2010	1	11
USGS	09046490	00060	18507		9	27	2010	2010	1	11
USGS	09046490	00060	18507		9	28	2010	2010	1	11
USGS	09046490	00060	18507		9	29	2010	2010	1	12
USGS	09046490	00060	18507		9	30	2010	2010	1	12
USGS	09046490	00060	18507		10	1	2011	2011	1	13
