#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:24 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09046490     00060          BLUE RIVER AT BLUE RIVER, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09046490	00060	18507		1	1	2014	2014	1	13
USGS	09046490	00060	18507		1	2	2014	2014	1	13
USGS	09046490	00060	18507		1	3	2014	2014	1	13
USGS	09046490	00060	18507		1	4	2014	2014	1	13
USGS	09046490	00060	18507		1	5	2014	2014	1	12
USGS	09046490	00060	18507		1	6	2014	2014	1	10
USGS	09046490	00060	18507		1	7	2014	2014	1	6.0
USGS	09046490	00060	18507		1	8	2014	2014	1	4.9
USGS	09046490	00060	18507		1	9	2014	2014	1	4.5
USGS	09046490	00060	18507		1	10	2014	2014	1	4.4
USGS	09046490	00060	18507		1	11	2014	2014	1	4.4
USGS	09046490	00060	18507		1	12	2014	2014	1	4.4
USGS	09046490	00060	18507		1	13	2014	2014	1	4.4
USGS	09046490	00060	18507		1	14	2014	2014	1	4.5
USGS	09046490	00060	18507		1	15	2014	2014	1	4.5
USGS	09046490	00060	18507		1	16	2014	2014	1	4.3
USGS	09046490	00060	18507		1	17	2014	2014	1	4.5
USGS	09046490	00060	18507		1	18	2014	2014	1	4.6
USGS	09046490	00060	18507		1	19	2014	2014	1	4.6
USGS	09046490	00060	18507		1	20	2014	2014	1	4.1
USGS	09046490	00060	18507		1	21	2014	2014	1	3.6
USGS	09046490	00060	18507		1	22	2014	2014	1	3.6
USGS	09046490	00060	18507		1	23	2014	2014	1	3.6
USGS	09046490	00060	18507		1	24	2014	2014	1	3.6
USGS	09046490	00060	18507		1	25	2014	2014	1	3.5
USGS	09046490	00060	18507		1	26	2014	2014	1	3.5
USGS	09046490	00060	18507		1	27	2014	2014	1	3.6
USGS	09046490	00060	18507		1	28	2014	2014	1	3.6
USGS	09046490	00060	18507		1	29	2014	2014	1	3.6
USGS	09046490	00060	18507		1	30	2014	2014	1	3.6
USGS	09046490	00060	18507		1	31	2014	2014	1	4.6
USGS	09046490	00060	18507		2	1	2014	2014	1	13
USGS	09046490	00060	18507		2	2	2014	2014	1	12
USGS	09046490	00060	18507		2	3	2014	2014	1	8.6
USGS	09046490	00060	18507		2	4	2014	2014	1	5.4
USGS	09046490	00060	18507		2	5	2014	2014	1	4.0
USGS	09046490	00060	18507		2	6	2014	2014	1	3.7
USGS	09046490	00060	18507		2	7	2014	2014	1	4.7
USGS	09046490	00060	18507		2	8	2014	2014	1	7.1
USGS	09046490	00060	18507		2	9	2014	2014	1	7.8
USGS	09046490	00060	18507		2	10	2014	2014	1	7.9
USGS	09046490	00060	18507		2	11	2014	2014	1	7.4
USGS	09046490	00060	18507		2	12	2014	2014	1	7.4
USGS	09046490	00060	18507		2	13	2014	2014	1	7.6
USGS	09046490	00060	18507		2	14	2014	2014	1	7.8
USGS	09046490	00060	18507		2	15	2014	2014	1	7.4
USGS	09046490	00060	18507		2	16	2014	2014	1	7.2
USGS	09046490	00060	18507		2	17	2014	2014	1	7.0
USGS	09046490	00060	18507		2	18	2014	2014	1	7.5
USGS	09046490	00060	18507		2	19	2014	2014	1	7.4
USGS	09046490	00060	18507		2	20	2014	2014	1	7.4
USGS	09046490	00060	18507		2	21	2014	2014	1	6.8
USGS	09046490	00060	18507		2	22	2014	2014	1	6.7
USGS	09046490	00060	18507		2	23	2014	2014	1	6.7
USGS	09046490	00060	18507		2	24	2014	2014	1	6.4
USGS	09046490	00060	18507		2	25	2014	2014	1	6.4
USGS	09046490	00060	18507		2	26	2014	2014	1	6.7
USGS	09046490	00060	18507		2	27	2014	2014	1	6.7
USGS	09046490	00060	18507		2	28	2014	2014	1	6.7
USGS	09046490	00060	18507		3	1	2014	2014	1	6.5
USGS	09046490	00060	18507		3	2	2014	2014	1	6.2
USGS	09046490	00060	18507		3	3	2014	2014	1	6.0
USGS	09046490	00060	18507		3	4	2014	2014	1	6.0
USGS	09046490	00060	18507		3	5	2014	2014	1	6.2
USGS	09046490	00060	18507		3	6	2014	2014	1	6.2
USGS	09046490	00060	18507		3	7	2014	2014	1	6.6
USGS	09046490	00060	18507		3	8	2014	2014	1	6.7
USGS	09046490	00060	18507		3	9	2014	2014	1	5.8
USGS	09046490	00060	18507		3	10	2014	2014	1	5.8
USGS	09046490	00060	18507		3	11	2014	2014	1	6.3
USGS	09046490	00060	18507		3	12	2014	2014	1	6.0
USGS	09046490	00060	18507		3	13	2014	2014	1	5.2
USGS	09046490	00060	18507		3	14	2014	2014	1	5.1
USGS	09046490	00060	18507		3	15	2014	2014	1	5.4
USGS	09046490	00060	18507		3	16	2014	2014	1	5.4
USGS	09046490	00060	18507		3	17	2014	2014	1	5.6
USGS	09046490	00060	18507		3	18	2014	2014	1	5.9
USGS	09046490	00060	18507		3	19	2014	2014	1	5.7
USGS	09046490	00060	18507		3	20	2014	2014	1	5.6
USGS	09046490	00060	18507		3	21	2014	2014	1	5.6
USGS	09046490	00060	18507		3	22	2014	2014	1	5.9
USGS	09046490	00060	18507		3	23	2014	2014	1	5.6
USGS	09046490	00060	18507		3	24	2014	2014	1	5.6
USGS	09046490	00060	18507		3	25	2014	2014	1	5.6
USGS	09046490	00060	18507		3	26	2014	2014	1	6.0
USGS	09046490	00060	18507		3	27	2014	2014	1	6.8
USGS	09046490	00060	18507		3	28	2014	2014	1	6.8
USGS	09046490	00060	18507		3	29	2014	2014	1	5.9
USGS	09046490	00060	18507		3	30	2014	2014	1	5.8
USGS	09046490	00060	18507		3	31	2014	2014	1	6.5
USGS	09046490	00060	18507		4	1	2014	2014	1	6.1
USGS	09046490	00060	18507		4	2	2014	2014	1	6.4
USGS	09046490	00060	18507		4	3	2014	2014	1	7.1
USGS	09046490	00060	18507		4	4	2014	2014	1	6.2
USGS	09046490	00060	18507		4	5	2014	2014	1	6.1
USGS	09046490	00060	18507		4	6	2014	2014	1	6.3
USGS	09046490	00060	18507		4	7	2014	2014	1	6.6
USGS	09046490	00060	18507		4	8	2014	2014	1	6.5
USGS	09046490	00060	18507		4	9	2014	2014	1	6.7
USGS	09046490	00060	18507		4	10	2014	2014	1	7.9
USGS	09046490	00060	18507		4	11	2014	2014	1	9.6
USGS	09046490	00060	18507		4	12	2014	2014	1	12
USGS	09046490	00060	18507		4	13	2014	2014	1	11
USGS	09046490	00060	18507		4	14	2014	2014	1	9.8
USGS	09046490	00060	18507		4	15	2014	2014	1	8.3
USGS	09046490	00060	18507		4	16	2014	2014	1	8.8
USGS	09046490	00060	18507		4	17	2014	2014	1	8.7
USGS	09046490	00060	18507		4	18	2014	2014	1	9.9
USGS	09046490	00060	18507		4	19	2014	2014	1	14
USGS	09046490	00060	18507		4	20	2014	2014	1	17
USGS	09046490	00060	18507		4	21	2014	2014	1	18
USGS	09046490	00060	18507		4	22	2014	2014	1	22
USGS	09046490	00060	18507		4	23	2014	2014	1	23
USGS	09046490	00060	18507		4	24	2014	2014	1	23
USGS	09046490	00060	18507		4	25	2014	2014	1	26
USGS	09046490	00060	18507		4	26	2014	2014	1	30
USGS	09046490	00060	18507		4	27	2014	2014	1	30
USGS	09046490	00060	18507		4	28	2014	2014	1	24
USGS	09046490	00060	18507		4	29	2014	2014	1	20
USGS	09046490	00060	18507		4	30	2014	2014	1	18
USGS	09046490	00060	18507		5	1	2014	2014	1	16
USGS	09046490	00060	18507		5	2	2014	2014	1	17
USGS	09046490	00060	18507		5	3	2014	2014	1	21
USGS	09046490	00060	18507		5	4	2014	2014	1	29
USGS	09046490	00060	18507		5	5	2014	2014	1	34
USGS	09046490	00060	18507		5	6	2014	2014	1	34
USGS	09046490	00060	18507		5	7	2014	2014	1	39
USGS	09046490	00060	18507		5	8	2014	2014	1	36
USGS	09046490	00060	18507		5	9	2014	2014	1	33
USGS	09046490	00060	18507		5	10	2014	2014	1	32
USGS	09046490	00060	18507		5	11	2014	2014	1	34
USGS	09046490	00060	18507		5	12	2014	2014	1	28
USGS	09046490	00060	18507		5	13	2014	2014	1	26
USGS	09046490	00060	18507		5	14	2014	2014	1	24
USGS	09046490	00060	18507		5	15	2014	2014	1	23
USGS	09046490	00060	18507		5	16	2014	2014	1	24
USGS	09046490	00060	18507		5	17	2014	2014	1	28
USGS	09046490	00060	18507		5	18	2014	2014	1	35
USGS	09046490	00060	18507		5	19	2014	2014	1	44
USGS	09046490	00060	18507		5	20	2014	2014	1	58
USGS	09046490	00060	18507		5	21	2014	2014	1	66
USGS	09046490	00060	18507		5	22	2014	2014	1	73
USGS	09046490	00060	18507		5	23	2014	2014	1	78
USGS	09046490	00060	18507		5	24	2014	2014	1	104
USGS	09046490	00060	18507		5	25	2014	2014	1	112
