#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:27 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09046600     00060          BLUE RIVER NEAR DILLON, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09046600	00060	18512		1	1	2012	2012	1	28
USGS	09046600	00060	18512		1	2	2012	2012	1	28
USGS	09046600	00060	18512		1	3	2012	2012	1	28
USGS	09046600	00060	18512		1	4	2012	2012	1	28
USGS	09046600	00060	18512		1	5	2012	2012	1	28
USGS	09046600	00060	18512		1	6	2012	2012	1	28
USGS	09046600	00060	18512		1	7	2012	2012	1	28
USGS	09046600	00060	18512		1	8	2012	2012	1	28
USGS	09046600	00060	18512		1	9	2012	2012	1	29
USGS	09046600	00060	18512		1	10	2012	2012	1	29
USGS	09046600	00060	18512		1	11	2012	2012	1	29
USGS	09046600	00060	18512		1	12	2012	2012	1	29
USGS	09046600	00060	18512		1	13	2012	2012	1	27
USGS	09046600	00060	18512		1	14	2012	2012	1	25
USGS	09046600	00060	18512		1	15	2012	2012	1	22
USGS	09046600	00060	18512		1	16	2012	2012	1	20
USGS	09046600	00060	18512		1	17	2012	2012	1	19
USGS	09046600	00060	18512		1	18	2012	2012	1	19
USGS	09046600	00060	18512		1	19	2012	2012	1	19
USGS	09046600	00060	18512		1	20	2012	2012	1	20
USGS	09046600	00060	18512		1	21	2012	2012	1	20
USGS	09046600	00060	18512		1	22	2012	2012	1	20
USGS	09046600	00060	18512		1	23	2012	2012	1	20
USGS	09046600	00060	18512		1	24	2012	2012	1	20
USGS	09046600	00060	18512		1	25	2012	2012	1	20
USGS	09046600	00060	18512		1	26	2012	2012	1	19
USGS	09046600	00060	18512		1	27	2012	2012	1	20
USGS	09046600	00060	18512		1	28	2012	2012	1	20
USGS	09046600	00060	18512		1	29	2012	2012	1	19
USGS	09046600	00060	18512		1	30	2012	2012	1	20
USGS	09046600	00060	18512		1	31	2012	2012	1	20
USGS	09046600	00060	18512		2	1	2012	2012	1	20
USGS	09046600	00060	18512		2	2	2012	2012	1	20
USGS	09046600	00060	18512		2	3	2012	2012	1	21
USGS	09046600	00060	18512		2	4	2012	2012	1	20
USGS	09046600	00060	18512		2	5	2012	2012	1	19
USGS	09046600	00060	18512		2	6	2012	2012	1	20
USGS	09046600	00060	18512		2	7	2012	2012	1	20
USGS	09046600	00060	18512		2	8	2012	2012	1	21
USGS	09046600	00060	18512		2	9	2012	2012	1	22
USGS	09046600	00060	18512		2	10	2012	2012	1	22
USGS	09046600	00060	18512		2	11	2012	2012	1	23
USGS	09046600	00060	18512		2	12	2012	2012	1	24
USGS	09046600	00060	18512		2	13	2012	2012	1	24
USGS	09046600	00060	18512		2	14	2012	2012	1	23
USGS	09046600	00060	18512		2	15	2012	2012	1	23
USGS	09046600	00060	18512		2	16	2012	2012	1	23
USGS	09046600	00060	18512		2	17	2012	2012	1	24
USGS	09046600	00060	18512		2	18	2012	2012	1	24
USGS	09046600	00060	18512		2	19	2012	2012	1	24
USGS	09046600	00060	18512		2	20	2012	2012	1	25
USGS	09046600	00060	18512		2	21	2012	2012	1	24
USGS	09046600	00060	18512		2	22	2012	2012	1	24
USGS	09046600	00060	18512		2	23	2012	2012	1	23
USGS	09046600	00060	18512		2	24	2012	2012	1	23
USGS	09046600	00060	18512		2	25	2012	2012	1	23
USGS	09046600	00060	18512		2	26	2012	2012	1	24
USGS	09046600	00060	18512		2	27	2012	2012	1	24
USGS	09046600	00060	18512		2	28	2012	2012	1	25
USGS	09046600	00060	18512		2	29	2012	2012	1	26
USGS	09046600	00060	18512		3	1	2012	2012	1	26
USGS	09046600	00060	18512		3	2	2012	2012	1	24
USGS	09046600	00060	18512		3	3	2012	2012	1	23
USGS	09046600	00060	18512		3	4	2012	2012	1	23
USGS	09046600	00060	18512		3	5	2012	2012	1	23
USGS	09046600	00060	18512		3	6	2012	2012	1	24
USGS	09046600	00060	18512		3	7	2012	2012	1	24
USGS	09046600	00060	18512		3	8	2012	2012	1	24
USGS	09046600	00060	18512		3	9	2012	2012	1	24
USGS	09046600	00060	18512		3	10	2012	2012	1	24
USGS	09046600	00060	18512		3	11	2012	2012	1	25
USGS	09046600	00060	18512		3	12	2012	2012	1	24
USGS	09046600	00060	18512		3	13	2012	2012	1	24
USGS	09046600	00060	18512		3	14	2012	2012	1	23
USGS	09046600	00060	18512		3	15	2012	2012	1	24
USGS	09046600	00060	18512		3	16	2012	2012	1	24
USGS	09046600	00060	18512		3	17	2012	2012	1	23
USGS	09046600	00060	18512		3	18	2012	2012	1	24
USGS	09046600	00060	18512		3	19	2012	2012	1	25
USGS	09046600	00060	18512		3	20	2012	2012	1	23
USGS	09046600	00060	18512		3	21	2012	2012	1	23
USGS	09046600	00060	18512		3	22	2012	2012	1	25
USGS	09046600	00060	18512		3	23	2012	2012	1	28
USGS	09046600	00060	18512		3	24	2012	2012	1	32
USGS	09046600	00060	18512		3	25	2012	2012	1	37
USGS	09046600	00060	18512		3	26	2012	2012	1	41
USGS	09046600	00060	18512		3	27	2012	2012	1	41
USGS	09046600	00060	18512		3	28	2012	2012	1	41
USGS	09046600	00060	18512		3	29	2012	2012	1	41
USGS	09046600	00060	18512		3	30	2012	2012	1	42
USGS	09046600	00060	18512		3	31	2012	2012	1	46
USGS	09046600	00060	18512		4	1	2012	2012	1	53
USGS	09046600	00060	18512		4	2	2012	2012	1	60
USGS	09046600	00060	18512		4	3	2012	2012	1	61
USGS	09046600	00060	18512		4	4	2012	2012	1	55
USGS	09046600	00060	18512		4	5	2012	2012	1	51
USGS	09046600	00060	18512		4	6	2012	2012	1	51
USGS	09046600	00060	18512		4	7	2012	2012	1	50
USGS	09046600	00060	18512		4	8	2012	2012	1	48
USGS	09046600	00060	18512		4	9	2012	2012	1	48
USGS	09046600	00060	18512		4	10	2012	2012	1	49
USGS	09046600	00060	18512		4	11	2012	2012	1	51
USGS	09046600	00060	18512		4	12	2012	2012	1	55
USGS	09046600	00060	18512		4	13	2012	2012	1	57
USGS	09046600	00060	18512		4	14	2012	2012	1	56
USGS	09046600	00060	18512		4	15	2012	2012	1	55
USGS	09046600	00060	18512		4	16	2012	2012	1	54
USGS	09046600	00060	18512		4	17	2012	2012	1	53
USGS	09046600	00060	18512		4	18	2012	2012	1	54
USGS	09046600	00060	18512		4	19	2012	2012	1	58
USGS	09046600	00060	18512		4	20	2012	2012	1	59
USGS	09046600	00060	18512		4	21	2012	2012	1	59
USGS	09046600	00060	18512		4	22	2012	2012	1	59
USGS	09046600	00060	18512		4	23	2012	2012	1	62
USGS	09046600	00060	18512		4	24	2012	2012	1	64
USGS	09046600	00060	18512		4	25	2012	2012	1	69
USGS	09046600	00060	18512		4	26	2012	2012	1	75
USGS	09046600	00060	18512		4	27	2012	2012	1	82
USGS	09046600	00060	18512		4	28	2012	2012	1	88
USGS	09046600	00060	18512		4	29	2012	2012	1	81
USGS	09046600	00060	18512		4	30	2012	2012	1	73
USGS	09046600	00060	18512		5	1	2012	2012	1	72
USGS	09046600	00060	18512		5	2	2012	2012	1	72
USGS	09046600	00060	18512		5	3	2012	2012	1	72
USGS	09046600	00060	18512		5	4	2012	2012	1	75
USGS	09046600	00060	18512		5	5	2012	2012	1	79
USGS	09046600	00060	18512		5	6	2012	2012	1	83
USGS	09046600	00060	18512		5	7	2012	2012	1	84
USGS	09046600	00060	18512		5	8	2012	2012	1	82
USGS	09046600	00060	18512		5	9	2012	2012	1	79
USGS	09046600	00060	18512		5	10	2012	2012	1	77
USGS	09046600	00060	18512		5	11	2012	2012	1	79
USGS	09046600	00060	18512		5	12	2012	2012	1	85
USGS	09046600	00060	18512		5	13	2012	2012	1	89
USGS	09046600	00060	18512		5	14	2012	2012	1	85
USGS	09046600	00060	18512		5	15	2012	2012	1	80
