#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:51 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09057500     00060          BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09057500	00060	18552		1	1	2012	2012	1	299
USGS	09057500	00060	18552		1	2	2012	2012	1	294
USGS	09057500	00060	18552		1	3	2012	2012	1	298
USGS	09057500	00060	18552		1	4	2012	2012	1	299
USGS	09057500	00060	18552		1	5	2012	2012	1	299
USGS	09057500	00060	18552		1	6	2012	2012	1	298
USGS	09057500	00060	18552		1	7	2012	2012	1	295
USGS	09057500	00060	18552		1	8	2012	2012	1	294
USGS	09057500	00060	18552		1	9	2012	2012	1	295
USGS	09057500	00060	18552		1	10	2012	2012	1	268
USGS	09057500	00060	18552		1	11	2012	2012	1	249
USGS	09057500	00060	18552		1	12	2012	2012	1	254
USGS	09057500	00060	18552		1	13	2012	2012	1	224
USGS	09057500	00060	18552		1	14	2012	2012	1	198
USGS	09057500	00060	18552		1	15	2012	2012	1	200
USGS	09057500	00060	18552		1	16	2012	2012	1	193
USGS	09057500	00060	18552		1	17	2012	2012	1	201
USGS	09057500	00060	18552		1	18	2012	2012	1	197
USGS	09057500	00060	18552		1	19	2012	2012	1	198
USGS	09057500	00060	18552		1	20	2012	2012	1	199
USGS	09057500	00060	18552		1	21	2012	2012	1	201
USGS	09057500	00060	18552		1	22	2012	2012	1	205
USGS	09057500	00060	18552		1	23	2012	2012	1	207
USGS	09057500	00060	18552		1	24	2012	2012	1	197
USGS	09057500	00060	18552		1	25	2012	2012	1	194
USGS	09057500	00060	18552		1	26	2012	2012	1	206
USGS	09057500	00060	18552		1	27	2012	2012	1	210
USGS	09057500	00060	18552		1	28	2012	2012	1	206
USGS	09057500	00060	18552		1	29	2012	2012	1	207
USGS	09057500	00060	18552		1	30	2012	2012	1	201
USGS	09057500	00060	18552		1	31	2012	2012	1	197
USGS	09057500	00060	18552		2	1	2012	2012	1	201
USGS	09057500	00060	18552		2	2	2012	2012	1	204
USGS	09057500	00060	18552		2	3	2012	2012	1	203
USGS	09057500	00060	18552		2	4	2012	2012	1	202
USGS	09057500	00060	18552		2	5	2012	2012	1	204
USGS	09057500	00060	18552		2	6	2012	2012	1	208
USGS	09057500	00060	18552		2	7	2012	2012	1	212
USGS	09057500	00060	18552		2	8	2012	2012	1	217
USGS	09057500	00060	18552		2	9	2012	2012	1	206
USGS	09057500	00060	18552		2	10	2012	2012	1	200
USGS	09057500	00060	18552		2	11	2012	2012	1	197
