#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:34 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09057500     00060          BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09057500	00060	18552		1	1	2016	2016	1	222
USGS	09057500	00060	18552		1	2	2016	2016	1	233
USGS	09057500	00060	18552		1	3	2016	2016	1	229
USGS	09057500	00060	18552		1	4	2016	2016	1	214
USGS	09057500	00060	18552		1	5	2016	2016	1	187
USGS	09057500	00060	18552		1	6	2016	2016	1	189
USGS	09057500	00060	18552		1	7	2016	2016	1	188
USGS	09057500	00060	18552		1	8	2016	2016	1	187
USGS	09057500	00060	18552		1	9	2016	2016	1	189
USGS	09057500	00060	18552		1	10	2016	2016	1	189
USGS	09057500	00060	18552		1	11	2016	2016	1	189
USGS	09057500	00060	18552		1	12	2016	2016	1	191
USGS	09057500	00060	18552		1	13	2016	2016	1	188
USGS	09057500	00060	18552		1	14	2016	2016	1	184
USGS	09057500	00060	18552		1	15	2016	2016	1	189
USGS	09057500	00060	18552		1	16	2016	2016	1	187
USGS	09057500	00060	18552		1	17	2016	2016	1	184
USGS	09057500	00060	18552		1	18	2016	2016	1	190
USGS	09057500	00060	18552		1	19	2016	2016	1	183
USGS	09057500	00060	18552		1	20	2016	2016	1	193
USGS	09057500	00060	18552		1	21	2016	2016	1	221
USGS	09057500	00060	18552		1	22	2016	2016	1	234
USGS	09057500	00060	18552		1	23	2016	2016	1	246
USGS	09057500	00060	18552		1	24	2016	2016	1	243
USGS	09057500	00060	18552		1	25	2016	2016	1	244
USGS	09057500	00060	18552		1	26	2016	2016	1	234
USGS	09057500	00060	18552		1	27	2016	2016	1	210
USGS	09057500	00060	18552		1	28	2016	2016	1	177
USGS	09057500	00060	18552		1	29	2016	2016	1	178
USGS	09057500	00060	18552		1	30	2016	2016	1	174
USGS	09057500	00060	18552		1	31	2016	2016	1	178
USGS	09057500	00060	18552		2	1	2016	2016	1	190
USGS	09057500	00060	18552		2	2	2016	2016	1	210
USGS	09057500	00060	18552		2	3	2016	2016	1	211
USGS	09057500	00060	18552		2	4	2016	2016	1	210
USGS	09057500	00060	18552		2	5	2016	2016	1	206
USGS	09057500	00060	18552		2	6	2016	2016	1	209
USGS	09057500	00060	18552		2	7	2016	2016	1	207
USGS	09057500	00060	18552		2	8	2016	2016	1	209
USGS	09057500	00060	18552		2	9	2016	2016	1	208
USGS	09057500	00060	18552		2	10	2016	2016	1	201
USGS	09057500	00060	18552		2	11	2016	2016	1	180
USGS	09057500	00060	18552		2	12	2016	2016	1	178
USGS	09057500	00060	18552		2	13	2016	2016	1	179
USGS	09057500	00060	18552		2	14	2016	2016	1	178
USGS	09057500	00060	18552		2	15	2016	2016	1	177
USGS	09057500	00060	18552		2	16	2016	2016	1	176
USGS	09057500	00060	18552		2	17	2016	2016	1	179
USGS	09057500	00060	18552		2	18	2016	2016	1	196
USGS	09057500	00060	18552		2	19	2016	2016	1	205
USGS	09057500	00060	18552		2	20	2016	2016	1	208
USGS	09057500	00060	18552		2	21	2016	2016	1	204
USGS	09057500	00060	18552		2	22	2016	2016	1	208
USGS	09057500	00060	18552		2	23	2016	2016	1	207
USGS	09057500	00060	18552		2	24	2016	2016	1	205
USGS	09057500	00060	18552		2	25	2016	2016	1	210
USGS	09057500	00060	18552		2	26	2016	2016	1	207
USGS	09057500	00060	18552		2	27	2016	2016	1	209
USGS	09057500	00060	18552		2	28	2016	2016	1	208
USGS	09057500	00060	18552		2	29	2016	2016	1	213
USGS	09057500	00060	18552		3	1	2016	2016	1	216
USGS	09057500	00060	18552		3	2	2016	2016	1	216
USGS	09057500	00060	18552		3	3	2016	2016	1	214
USGS	09057500	00060	18552		3	4	2016	2016	1	213
USGS	09057500	00060	18552		3	5	2016	2016	1	216
USGS	09057500	00060	18552		3	6	2016	2016	1	216
USGS	09057500	00060	18552		3	7	2016	2016	1	224
USGS	09057500	00060	18552		3	8	2016	2016	1	249
USGS	09057500	00060	18552		3	9	2016	2016	1	268
USGS	09057500	00060	18552		3	10	2016	2016	1	270
USGS	09057500	00060	18552		3	11	2016	2016	1	267
USGS	09057500	00060	18552		3	12	2016	2016	1	267
USGS	09057500	00060	18552		3	13	2016	2016	1	265
USGS	09057500	00060	18552		3	14	2016	2016	1	267
USGS	09057500	00060	18552		3	15	2016	2016	1	273
USGS	09057500	00060	18552		3	16	2016	2016	1	266
USGS	09057500	00060	18552		3	17	2016	2016	1	268
USGS	09057500	00060	18552		3	18	2016	2016	1	270
USGS	09057500	00060	18552		3	19	2016	2016	1	273
USGS	09057500	00060	18552		3	20	2016	2016	1	272
USGS	09057500	00060	18552		3	21	2016	2016	1	271
USGS	09057500	00060	18552		3	22	2016	2016	1	269
USGS	09057500	00060	18552		3	23	2016	2016	1	266
USGS	09057500	00060	18552		3	24	2016	2016	1	273
USGS	09057500	00060	18552		3	25	2016	2016	1	287
USGS	09057500	00060	18552		3	26	2016	2016	1	290
USGS	09057500	00060	18552		3	27	2016	2016	1	287
USGS	09057500	00060	18552		3	28	2016	2016	1	286
USGS	09057500	00060	18552		3	29	2016	2016	1	294
USGS	09057500	00060	18552		3	30	2016	2016	1	287
USGS	09057500	00060	18552		3	31	2016	2016	1	270
USGS	09057500	00060	18552		4	1	2016	2016	1	269
USGS	09057500	00060	18552		4	2	2016	2016	1	272
USGS	09057500	00060	18552		4	3	2016	2016	1	272
USGS	09057500	00060	18552		4	4	2016	2016	1	272
USGS	09057500	00060	18552		4	5	2016	2016	1	272
USGS	09057500	00060	18552		4	6	2016	2016	1	274
USGS	09057500	00060	18552		4	7	2016	2016	1	296
USGS	09057500	00060	18552		4	8	2016	2016	1	295
USGS	09057500	00060	18552		4	9	2016	2016	1	294
USGS	09057500	00060	18552		4	10	2016	2016	1	293
USGS	09057500	00060	18552		4	11	2016	2016	1	283
USGS	09057500	00060	18552		4	12	2016	2016	1	208
USGS	09057500	00060	18552		4	13	2016	2016	1	151
USGS	09057500	00060	18552		4	14	2016	2016	1	145
USGS	09057500	00060	18552		4	15	2016	2016	1	143
USGS	09057500	00060	18552		4	16	2016	2016	1	140
USGS	09057500	00060	18552		4	17	2016	2016	1	150
USGS	09057500	00060	18552		4	18	2016	2016	1	148
USGS	09057500	00060	18552		4	19	2016	2016	1	148
USGS	09057500	00060	18552		4	20	2016	2016	1	149
USGS	09057500	00060	18552		4	21	2016	2016	1	148
USGS	09057500	00060	18552		4	22	2016	2016	1	151
USGS	09057500	00060	18552		4	23	2016	2016	1	152
USGS	09057500	00060	18552		4	24	2016	2016	1	151
USGS	09057500	00060	18552		4	25	2016	2016	1	149
USGS	09057500	00060	18552		4	26	2016	2016	1	147
USGS	09057500	00060	18552		4	27	2016	2016	1	143
USGS	09057500	00060	18552		4	28	2016	2016	1	146
USGS	09057500	00060	18552		4	29	2016	2016	1	143
USGS	09057500	00060	18552		4	30	2016	2016	1	137
USGS	09057500	00060	18552		5	1	2016	2016	1	83
USGS	09057500	00060	18552		5	2	2016	2016	1	73
USGS	09057500	00060	18552		5	3	2016	2016	1	73
USGS	09057500	00060	18552		5	4	2016	2016	1	72
USGS	09057500	00060	18552		5	5	2016	2016	1	121
USGS	09057500	00060	18552		5	6	2016	2016	1	215
USGS	09057500	00060	18552		5	7	2016	2016	1	214
USGS	09057500	00060	18552		5	8	2016	2016	1	217
USGS	09057500	00060	18552		5	9	2016	2016	1	215
USGS	09057500	00060	18552		5	10	2016	2016	1	237
USGS	09057500	00060	18552		5	11	2016	2016	1	369
USGS	09057500	00060	18552		5	12	2016	2016	1	365
USGS	09057500	00060	18552		5	13	2016	2016	1	369
USGS	09057500	00060	18552		5	14	2016	2016	1	368
USGS	09057500	00060	18552		5	15	2016	2016	1	367
USGS	09057500	00060	18552		5	16	2016	2016	1	373
USGS	09057500	00060	18552		5	17	2016	2016	1	371
USGS	09057500	00060	18552		5	18	2016	2016	1	392
USGS	09057500	00060	18552		5	19	2016	2016	1	708
USGS	09057500	00060	18552		5	20	2016	2016	1	800
USGS	09057500	00060	18552		5	21	2016	2016	1	800
USGS	09057500	00060	18552		5	22	2016	2016	1	800
USGS	09057500	00060	18552		5	23	2016	2016	1	797
USGS	09057500	00060	18552		5	24	2016	2016	1	801
USGS	09057500	00060	18552		5	25	2016	2016	1	807
USGS	09057500	00060	18552		5	26	2016	2016	1	808
USGS	09057500	00060	18552		5	27	2016	2016	1	810
USGS	09057500	00060	18552		5	28	2016	2016	1	811
USGS	09057500	00060	18552		5	29	2016	2016	1	805
USGS	09057500	00060	18552		5	30	2016	2016	1	811
USGS	09057500	00060	18552		5	31	2016	2016	1	808
USGS	09057500	00060	18552		6	1	2016	2016	1	810
USGS	09057500	00060	18552		6	2	2016	2016	1	805
USGS	09057500	00060	18552		6	3	2016	2016	1	849
USGS	09057500	00060	18552		6	4	2016	2016	1	1340
USGS	09057500	00060	18552		6	5	2016	2016	1	1460
USGS	09057500	00060	18552		6	6	2016	2016	1	1470
USGS	09057500	00060	18552		6	7	2016	2016	1	1480
USGS	09057500	00060	18552		6	8	2016	2016	1	1470
USGS	09057500	00060	18552		6	9	2016	2016	1	1460
USGS	09057500	00060	18552		6	10	2016	2016	1	1210
USGS	09057500	00060	18552		6	11	2016	2016	1	856
USGS	09057500	00060	18552		6	12	2016	2016	1	850
USGS	09057500	00060	18552		6	13	2016	2016	1	858
USGS	09057500	00060	18552		6	14	2016	2016	1	925
USGS	09057500	00060	18552		6	15	2016	2016	1	1060
USGS	09057500	00060	18552		6	16	2016	2016	1	1060
USGS	09057500	00060	18552		6	17	2016	2016	1	1050
USGS	09057500	00060	18552		6	18	2016	2016	1	1060
USGS	09057500	00060	18552		6	19	2016	2016	1	1060
USGS	09057500	00060	18552		6	20	2016	2016	1	1050
USGS	09057500	00060	18552		6	21	2016	2016	1	1060
USGS	09057500	00060	18552		6	22	2016	2016	1	1060
USGS	09057500	00060	18552		6	23	2016	2016	1	1060
USGS	09057500	00060	18552		6	24	2016	2016	1	1070
USGS	09057500	00060	18552		6	25	2016	2016	1	1210
USGS	09057500	00060	18552		6	26	2016	2016	1	1270
USGS	09057500	00060	18552		6	27	2016	2016	1	1310
USGS	09057500	00060	18552		6	28	2016	2016	1	1250
USGS	09057500	00060	18552		6	29	2016	2016	1	1140
USGS	09057500	00060	18552		6	30	2016	2016	1	915
USGS	09057500	00060	18552		7	1	2016	2016	1	860
USGS	09057500	00060	18552		7	2	2016	2016	1	1050
USGS	09057500	00060	18552		7	3	2016	2016	1	1220
USGS	09057500	00060	18552		7	4	2016	2016	1	1190
USGS	09057500	00060	18552		7	5	2016	2016	1	1200
USGS	09057500	00060	18552		7	6	2016	2016	1	1160
USGS	09057500	00060	18552		7	7	2016	2016	1	1050
USGS	09057500	00060	18552		7	8	2016	2016	1	986
USGS	09057500	00060	18552		7	9	2016	2016	1	865
USGS	09057500	00060	18552		7	10	2016	2016	1	835
USGS	09057500	00060	18552		7	11	2016	2016	1	776
USGS	09057500	00060	18552		7	12	2016	2016	1	730
USGS	09057500	00060	18552		7	13	2016	2016	1	613
USGS	09057500	00060	18552		7	14	2016	2016	1	524
USGS	09057500	00060	18552		7	15	2016	2016	1	444
USGS	09057500	00060	18552		7	16	2016	2016	1	411
USGS	09057500	00060	18552		7	17	2016	2016	1	448
USGS	09057500	00060	18552		7	18	2016	2016	1	449
USGS	09057500	00060	18552		7	19	2016	2016	1	448
USGS	09057500	00060	18552		7	20	2016	2016	1	399
USGS	09057500	00060	18552		7	21	2016	2016	1	427
USGS	09057500	00060	18552		7	22	2016	2016	1	601
USGS	09057500	00060	18552		7	23	2016	2016	1	600
USGS	09057500	00060	18552		7	24	2016	2016	1	496
