#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:52 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09057500     00060          BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09057500	00060	18552		1	1	2018	2018	1	248
USGS	09057500	00060	18552		1	2	2018	2018	1	240
USGS	09057500	00060	18552		1	3	2018	2018	1	222
USGS	09057500	00060	18552		1	4	2018	2018	1	197
USGS	09057500	00060	18552		1	5	2018	2018	1	179
USGS	09057500	00060	18552		1	6	2018	2018	1	189
USGS	09057500	00060	18552		1	7	2018	2018	1	217
USGS	09057500	00060	18552		1	8	2018	2018	1	258
USGS	09057500	00060	18552		1	9	2018	2018	1	262
USGS	09057500	00060	18552		1	10	2018	2018	1	228
USGS	09057500	00060	18552		1	11	2018	2018	1	229
USGS	09057500	00060	18552		1	12	2018	2018	1	226
USGS	09057500	00060	18552		1	13	2018	2018	1	226
USGS	09057500	00060	18552		1	14	2018	2018	1	225
USGS	09057500	00060	18552		1	15	2018	2018	1	238
USGS	09057500	00060	18552		1	16	2018	2018	1	246
USGS	09057500	00060	18552		1	17	2018	2018	1	252
USGS	09057500	00060	18552		1	18	2018	2018	1	239
USGS	09057500	00060	18552		1	19	2018	2018	1	212
USGS	09057500	00060	18552		1	20	2018	2018	1	190
USGS	09057500	00060	18552		1	21	2018	2018	1	190
USGS	09057500	00060	18552		1	22	2018	2018	1	196
USGS	09057500	00060	18552		1	23	2018	2018	1	192
USGS	09057500	00060	18552		1	24	2018	2018	1	191
USGS	09057500	00060	18552		1	25	2018	2018	1	198
USGS	09057500	00060	18552		1	26	2018	2018	1	212
USGS	09057500	00060	18552		1	27	2018	2018	1	212
USGS	09057500	00060	18552		1	28	2018	2018	1	209
USGS	09057500	00060	18552		1	29	2018	2018	1	212
USGS	09057500	00060	18552		1	30	2018	2018	1	215
USGS	09057500	00060	18552		1	31	2018	2018	1	215
USGS	09057500	00060	18552		2	1	2018	2018	1	211
USGS	09057500	00060	18552		2	2	2018	2018	1	211
USGS	09057500	00060	18552		2	3	2018	2018	1	203
USGS	09057500	00060	18552		2	4	2018	2018	1	188
USGS	09057500	00060	18552		2	5	2018	2018	1	196
USGS	09057500	00060	18552		2	6	2018	2018	1	196
USGS	09057500	00060	18552		2	7	2018	2018	1	191
USGS	09057500	00060	18552		2	8	2018	2018	1	192
USGS	09057500	00060	18552		2	9	2018	2018	1	197
USGS	09057500	00060	18552		2	10	2018	2018	1	199
USGS	09057500	00060	18552		2	11	2018	2018	1	198
