#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:56 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09058000     00060          COLORADO RIVER NEAR KREMMLING, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09058000	00060	18555		1	1	2016	2016	1	459
USGS	09058000	00060	18555		1	2	2016	2016	1	447
USGS	09058000	00060	18555		1	3	2016	2016	1	470
USGS	09058000	00060	18555		1	4	2016	2016	1	493
USGS	09058000	00060	18555		1	5	2016	2016	1	470
USGS	09058000	00060	18555		1	6	2016	2016	1	475
USGS	09058000	00060	18555		1	7	2016	2016	1	453
USGS	09058000	00060	18555		1	8	2016	2016	1	467
USGS	09058000	00060	18555		1	9	2016	2016	1	475
USGS	09058000	00060	18555		1	10	2016	2016	1	478
USGS	09058000	00060	18555		1	11	2016	2016	1	462
USGS	09058000	00060	18555		1	12	2016	2016	1	442
USGS	09058000	00060	18555		1	13	2016	2016	1	453
USGS	09058000	00060	18555		1	14	2016	2016	1	464
USGS	09058000	00060	18555		1	15	2016	2016	1	474
USGS	09058000	00060	18555		1	16	2016	2016	1	471
USGS	09058000	00060	18555		1	17	2016	2016	1	474
USGS	09058000	00060	18555		1	18	2016	2016	1	503
USGS	09058000	00060	18555		1	19	2016	2016	1	486
USGS	09058000	00060	18555		1	20	2016	2016	1	469
USGS	09058000	00060	18555		1	21	2016	2016	1	508
USGS	09058000	00060	18555		1	22	2016	2016	1	503
USGS	09058000	00060	18555		1	23	2016	2016	1	517
USGS	09058000	00060	18555		1	24	2016	2016	1	513
USGS	09058000	00060	18555		1	25	2016	2016	1	542
USGS	09058000	00060	18555		1	26	2016	2016	1	535
USGS	09058000	00060	18555		1	27	2016	2016	1	492
USGS	09058000	00060	18555		1	28	2016	2016	1	461
USGS	09058000	00060	18555		1	29	2016	2016	1	451
USGS	09058000	00060	18555		1	30	2016	2016	1	471
USGS	09058000	00060	18555		1	31	2016	2016	1	470
USGS	09058000	00060	18555		2	1	2016	2016	1	464
USGS	09058000	00060	18555		2	2	2016	2016	1	486
USGS	09058000	00060	18555		2	3	2016	2016	1	483
USGS	09058000	00060	18555		2	4	2016	2016	1	467
USGS	09058000	00060	18555		2	5	2016	2016	1	475
USGS	09058000	00060	18555		2	6	2016	2016	1	472
USGS	09058000	00060	18555		2	7	2016	2016	1	482
USGS	09058000	00060	18555		2	8	2016	2016	1	502
USGS	09058000	00060	18555		2	9	2016	2016	1	502
USGS	09058000	00060	18555		2	10	2016	2016	1	488
USGS	09058000	00060	18555		2	11	2016	2016	1	467
USGS	09058000	00060	18555		2	12	2016	2016	1	466
USGS	09058000	00060	18555		2	13	2016	2016	1	472
USGS	09058000	00060	18555		2	14	2016	2016	1	477
USGS	09058000	00060	18555		2	15	2016	2016	1	505
USGS	09058000	00060	18555		2	16	2016	2016	1	516
USGS	09058000	00060	18555		2	17	2016	2016	1	508
USGS	09058000	00060	18555		2	18	2016	2016	1	514
USGS	09058000	00060	18555		2	19	2016	2016	1	537
USGS	09058000	00060	18555		2	20	2016	2016	1	544
USGS	09058000	00060	18555		2	21	2016	2016	1	527
USGS	09058000	00060	18555		2	22	2016	2016	1	492
USGS	09058000	00060	18555		2	23	2016	2016	1	486
USGS	09058000	00060	18555		2	24	2016	2016	1	478
USGS	09058000	00060	18555		2	25	2016	2016	1	475
USGS	09058000	00060	18555		2	26	2016	2016	1	462
USGS	09058000	00060	18555		2	27	2016	2016	1	452
USGS	09058000	00060	18555		2	28	2016	2016	1	461
USGS	09058000	00060	18555		2	29	2016	2016	1	462
USGS	09058000	00060	18555		3	1	2016	2016	1	461
USGS	09058000	00060	18555		3	2	2016	2016	1	471
USGS	09058000	00060	18555		3	3	2016	2016	1	478
USGS	09058000	00060	18555		3	4	2016	2016	1	472
USGS	09058000	00060	18555		3	5	2016	2016	1	474
USGS	09058000	00060	18555		3	6	2016	2016	1	496
USGS	09058000	00060	18555		3	7	2016	2016	1	503
USGS	09058000	00060	18555		3	8	2016	2016	1	512
USGS	09058000	00060	18555		3	9	2016	2016	1	532
USGS	09058000	00060	18555		3	10	2016	2016	1	526
USGS	09058000	00060	18555		3	11	2016	2016	1	539
USGS	09058000	00060	18555		3	12	2016	2016	1	548
USGS	09058000	00060	18555		3	13	2016	2016	1	560
USGS	09058000	00060	18555		3	14	2016	2016	1	572
USGS	09058000	00060	18555		3	15	2016	2016	1	564
USGS	09058000	00060	18555		3	16	2016	2016	1	529
USGS	09058000	00060	18555		3	17	2016	2016	1	524
USGS	09058000	00060	18555		3	18	2016	2016	1	539
USGS	09058000	00060	18555		3	19	2016	2016	1	537
USGS	09058000	00060	18555		3	20	2016	2016	1	512
USGS	09058000	00060	18555		3	21	2016	2016	1	538
USGS	09058000	00060	18555		3	22	2016	2016	1	575
USGS	09058000	00060	18555		3	23	2016	2016	1	614
USGS	09058000	00060	18555		3	24	2016	2016	1	569
USGS	09058000	00060	18555		3	25	2016	2016	1	569
USGS	09058000	00060	18555		3	26	2016	2016	1	557
USGS	09058000	00060	18555		3	27	2016	2016	1	545
USGS	09058000	00060	18555		3	28	2016	2016	1	551
USGS	09058000	00060	18555		3	29	2016	2016	1	567
USGS	09058000	00060	18555		3	30	2016	2016	1	580
USGS	09058000	00060	18555		3	31	2016	2016	1	546
USGS	09058000	00060	18555		4	1	2016	2016	1	531
USGS	09058000	00060	18555		4	2	2016	2016	1	523
USGS	09058000	00060	18555		4	3	2016	2016	1	563
USGS	09058000	00060	18555		4	4	2016	2016	1	608
USGS	09058000	00060	18555		4	5	2016	2016	1	674
USGS	09058000	00060	18555		4	6	2016	2016	1	675
USGS	09058000	00060	18555		4	7	2016	2016	1	697
USGS	09058000	00060	18555		4	8	2016	2016	1	768
USGS	09058000	00060	18555		4	9	2016	2016	1	805
USGS	09058000	00060	18555		4	10	2016	2016	1	846
USGS	09058000	00060	18555		4	11	2016	2016	1	873
USGS	09058000	00060	18555		4	12	2016	2016	1	699
USGS	09058000	00060	18555		4	13	2016	2016	1	683
USGS	09058000	00060	18555		4	14	2016	2016	1	804
USGS	09058000	00060	18555		4	15	2016	2016	1	835
USGS	09058000	00060	18555		4	16	2016	2016	1	792
USGS	09058000	00060	18555		4	17	2016	2016	1	704
USGS	09058000	00060	18555		4	18	2016	2016	1	673
USGS	09058000	00060	18555		4	19	2016	2016	1	663
USGS	09058000	00060	18555		4	20	2016	2016	1	678
USGS	09058000	00060	18555		4	21	2016	2016	1	699
USGS	09058000	00060	18555		4	22	2016	2016	1	739
USGS	09058000	00060	18555		4	23	2016	2016	1	858
USGS	09058000	00060	18555		4	24	2016	2016	1	1000
USGS	09058000	00060	18555		4	25	2016	2016	1	1010
USGS	09058000	00060	18555		4	26	2016	2016	1	1030
USGS	09058000	00060	18555		4	27	2016	2016	1	1030
USGS	09058000	00060	18555		4	28	2016	2016	1	978
USGS	09058000	00060	18555		4	29	2016	2016	1	977
USGS	09058000	00060	18555		4	30	2016	2016	1	977
USGS	09058000	00060	18555		5	1	2016	2016	1	920
USGS	09058000	00060	18555		5	2	2016	2016	1	901
USGS	09058000	00060	18555		5	3	2016	2016	1	934
USGS	09058000	00060	18555		5	4	2016	2016	1	1010
USGS	09058000	00060	18555		5	5	2016	2016	1	1140
USGS	09058000	00060	18555		5	6	2016	2016	1	1490
USGS	09058000	00060	18555		5	7	2016	2016	1	1770
USGS	09058000	00060	18555		5	8	2016	2016	1	1870
USGS	09058000	00060	18555		5	9	2016	2016	1	1830
USGS	09058000	00060	18555		5	10	2016	2016	1	2120
USGS	09058000	00060	18555		5	11	2016	2016	1	2310
USGS	09058000	00060	18555		5	12	2016	2016	1	2070
USGS	09058000	00060	18555		5	13	2016	2016	1	2000
USGS	09058000	00060	18555		5	14	2016	2016	1	2090
USGS	09058000	00060	18555		5	15	2016	2016	1	2260
USGS	09058000	00060	18555		5	16	2016	2016	1	2650
USGS	09058000	00060	18555		5	17	2016	2016	1	2920
USGS	09058000	00060	18555		5	18	2016	2016	1	2870
USGS	09058000	00060	18555		5	19	2016	2016	1	3040
USGS	09058000	00060	18555		5	20	2016	2016	1	3180
USGS	09058000	00060	18555		5	21	2016	2016	1	3250
USGS	09058000	00060	18555		5	22	2016	2016	1	3440
USGS	09058000	00060	18555		5	23	2016	2016	1	3580
USGS	09058000	00060	18555		5	24	2016	2016	1	3530
USGS	09058000	00060	18555		5	25	2016	2016	1	3250
USGS	09058000	00060	18555		5	26	2016	2016	1	3000
USGS	09058000	00060	18555		5	27	2016	2016	1	2840
USGS	09058000	00060	18555		5	28	2016	2016	1	2640
USGS	09058000	00060	18555		5	29	2016	2016	1	2530
USGS	09058000	00060	18555		5	30	2016	2016	1	2610
USGS	09058000	00060	18555		5	31	2016	2016	1	2570
USGS	09058000	00060	18555		6	1	2016	2016	1	2620
USGS	09058000	00060	18555		6	2	2016	2016	1	2760
USGS	09058000	00060	18555		6	3	2016	2016	1	2920
USGS	09058000	00060	18555		6	4	2016	2016	1	3620
USGS	09058000	00060	18555		6	5	2016	2016	1	4200
USGS	09058000	00060	18555		6	6	2016	2016	1	4470
USGS	09058000	00060	18555		6	7	2016	2016	1	4560
USGS	09058000	00060	18555		6	8	2016	2016	1	4690
USGS	09058000	00060	18555		6	9	2016	2016	1	4770
USGS	09058000	00060	18555		6	10	2016	2016	1	4640
USGS	09058000	00060	18555		6	11	2016	2016	1	3950
USGS	09058000	00060	18555		6	12	2016	2016	1	3700
USGS	09058000	00060	18555		6	13	2016	2016	1	3780
USGS	09058000	00060	18555		6	14	2016	2016	1	4060
USGS	09058000	00060	18555		6	15	2016	2016	1	4010
USGS	09058000	00060	18555		6	16	2016	2016	1	3710
USGS	09058000	00060	18555		6	17	2016	2016	1	3440
USGS	09058000	00060	18555		6	18	2016	2016	1	3260
USGS	09058000	00060	18555		6	19	2016	2016	1	3220
USGS	09058000	00060	18555		6	20	2016	2016	1	3220
USGS	09058000	00060	18555		6	21	2016	2016	1	3220
USGS	09058000	00060	18555		6	22	2016	2016	1	3470
USGS	09058000	00060	18555		6	23	2016	2016	1	4060
USGS	09058000	00060	18555		6	24	2016	2016	1	4480
USGS	09058000	00060	18555		6	25	2016	2016	1	4420
USGS	09058000	00060	18555		6	26	2016	2016	1	4040
USGS	09058000	00060	18555		6	27	2016	2016	1	3390
USGS	09058000	00060	18555		6	28	2016	2016	1	2620
USGS	09058000	00060	18555		6	29	2016	2016	1	2580
USGS	09058000	00060	18555		6	30	2016	2016	1	2370
USGS	09058000	00060	18555		7	1	2016	2016	1	2260
USGS	09058000	00060	18555		7	2	2016	2016	1	2440
USGS	09058000	00060	18555		7	3	2016	2016	1	2640
USGS	09058000	00060	18555		7	4	2016	2016	1	2470
USGS	09058000	00060	18555		7	5	2016	2016	1	2350
USGS	09058000	00060	18555		7	6	2016	2016	1	2230
USGS	09058000	00060	18555		7	7	2016	2016	1	1990
USGS	09058000	00060	18555		7	8	2016	2016	1	1860
USGS	09058000	00060	18555		7	9	2016	2016	1	1720
USGS	09058000	00060	18555		7	10	2016	2016	1	1700
USGS	09058000	00060	18555		7	11	2016	2016	1	1610
USGS	09058000	00060	18555		7	12	2016	2016	1	1490
USGS	09058000	00060	18555		7	13	2016	2016	1	1340
USGS	09058000	00060	18555		7	14	2016	2016	1	1210
USGS	09058000	00060	18555		7	15	2016	2016	1	1120
USGS	09058000	00060	18555		7	16	2016	2016	1	1030
USGS	09058000	00060	18555		7	17	2016	2016	1	1030
USGS	09058000	00060	18555		7	18	2016	2016	1	1030
USGS	09058000	00060	18555		7	19	2016	2016	1	1060
USGS	09058000	00060	18555		7	20	2016	2016	1	1030
USGS	09058000	00060	18555		7	21	2016	2016	1	995
USGS	09058000	00060	18555		7	22	2016	2016	1	1210
USGS	09058000	00060	18555		7	23	2016	2016	1	1260
USGS	09058000	00060	18555		7	24	2016	2016	1	1130
USGS	09058000	00060	18555		7	25	2016	2016	1	1000
USGS	09058000	00060	18555		7	26	2016	2016	1	1010
USGS	09058000	00060	18555		7	27	2016	2016	1	1010
USGS	09058000	00060	18555		7	28	2016	2016	1	1060
USGS	09058000	00060	18555		7	29	2016	2016	1	994
USGS	09058000	00060	18555		7	30	2016	2016	1	971
USGS	09058000	00060	18555		7	31	2016	2016	1	953
