#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:40:05 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09060799     00010          COLORADO RIVER AT CATAMOUNT BRIDGE, CO
# USGS        09060799     00020          COLORADO RIVER AT CATAMOUNT BRIDGE, CO
# USGS        09060799     00060          COLORADO RIVER AT CATAMOUNT BRIDGE, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00010         Temperature, water, degrees Celsius
# 00020         Temperature, air, degrees Celsius
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09060799	00010	165227		3	15	2017	2017	1	6.6
USGS	09060799	00010	165227		3	16	2017	2017	1	7.4
USGS	09060799	00010	165227		3	17	2017	2017	1	7.5
USGS	09060799	00010	165227		3	18	2017	2017	1	7.5
USGS	09060799	00010	165227		3	19	2017	2017	1	7.9
USGS	09060799	00010	165227		3	20	2017	2017	1	7.7
USGS	09060799	00010	165227		3	21	2017	2017	1	7.4
USGS	09060799	00010	165227		3	22	2017	2017	1	7.6
USGS	09060799	00010	165227		3	23	2017	2017	1	7.7
USGS	09060799	00010	165227		3	24	2017	2017	1	8.0
USGS	09060799	00010	165227		3	25	2017	2017	1	6.9
USGS	09060799	00010	165227		3	26	2017	2017	1	7.2
USGS	09060799	00010	165227		3	27	2017	2017	1	6.9
USGS	09060799	00010	165227		3	28	2017	2017	1	7.0
USGS	09060799	00010	165227		3	29	2017	2017	1	7.2
USGS	09060799	00010	165227		3	30	2017	2017	1	8.0
USGS	09060799	00010	165227		3	31	2017	2017	1	7.6
USGS	09060799	00010	165227		4	1	2017	2017	1	7.4
USGS	09060799	00010	165227		4	2	2017	2017	1	7.7
USGS	09060799	00010	165227		4	3	2017	2017	1	8.0
USGS	09060799	00010	165227		4	4	2017	2017	1	6.4
USGS	09060799	00010	165227		4	5	2017	2017	1	6.1
USGS	09060799	00010	165227		4	6	2017	2017	1	7.8
USGS	09060799	00010	165227		4	7	2017	2017	1	8.9
USGS	09060799	00010	165227		4	8	2017	2017	1	8.9
USGS	09060799	00010	165227		4	9	2017	2017	1	7.9
USGS	09060799	00010	165227		4	10	2017	2017	1	6.7
USGS	09060799	00010	165227		4	11	2017	2017	1	6.8
USGS	09060799	00010	165227		4	12	2017	2017	1	8.5
USGS	09060799	00010	165227		4	13	2017	2017	1	9.8
USGS	09060799	00010	165227		4	14	2017	2017	1	10.4
USGS	09060799	00010	165227		4	15	2017	2017	1	10.1
USGS	09060799	00010	165227		4	16	2017	2017	1	9.8
USGS	09060799	00010	165227		4	17	2017	2017	1	9.7
USGS	09060799	00010	165227		4	18	2017	2017	1	10.0
USGS	09060799	00010	165227		4	19	2017	2017	1	9.4
USGS	09060799	00010	165227		4	20	2017	2017	1	8.5
USGS	09060799	00010	165227		4	21	2017	2017	1	8.0
USGS	09060799	00010	165227		4	22	2017	2017	1	8.4
USGS	09060799	00010	165227		4	23	2017	2017	1	9.7
USGS	09060799	00010	165227		4	24	2017	2017	1	10.0
USGS	09060799	00010	165227		4	25	2017	2017	1	8.5
USGS	09060799	00010	165227		4	26	2017	2017	1	7.9
USGS	09060799	00010	165227		4	27	2017	2017	1	7.2
USGS	09060799	00010	165227		4	28	2017	2017	1	6.7
USGS	09060799	00010	165227		4	29	2017	2017	1	5.8
USGS	09060799	00010	165227		4	30	2017	2017	1	6.4
USGS	09060799	00010	165227		5	1	2017	2017	1	8.0
USGS	09060799	00010	165227		5	2	2017	2017	1	7.7
USGS	09060799	00010	165227		5	3	2017	2017	1	8.7
USGS	09060799	00010	165227		5	4	2017	2017	1	10.4
USGS	09060799	00010	165227		5	5	2017	2017	1	12.5
USGS	09060799	00010	165227		5	6	2017	2017	1	13.0
USGS	09060799	00010	165227		5	7	2017	2017	1	12.6
USGS	09060799	00010	165227		5	8	2017	2017	1	11.5
USGS	09060799	00010	165227		5	9	2017	2017	1	10.8
USGS	09060799	00010	165227		5	10	2017	2017	1	10.2
USGS	09060799	00010	165227		5	11	2017	2017	1	10.6
USGS	09060799	00010	165227		5	12	2017	2017	1	11.6
USGS	09060799	00010	165227		5	13	2017	2017	1	12.1
USGS	09060799	00010	165227		5	14	2017	2017	1	11.8
USGS	09060799	00010	165227		5	15	2017	2017	1	11.3
USGS	09060799	00010	165227		5	16	2017	2017	1	10.6
USGS	09060799	00010	165227		5	17	2017	2017	1	9.6
USGS	09060799	00010	165227		5	18	2017	2017	1	7.6
USGS	09060799	00010	165227		5	19	2017	2017	1	6.9
USGS	09060799	00010	165227		5	20	2017	2017	1	8.5
USGS	09060799	00010	165227		5	21	2017	2017	1	9.3
USGS	09060799	00010	165227		5	22	2017	2017	1	10.1
USGS	09060799	00010	165227		5	23	2017	2017	1	10.6
USGS	09060799	00010	165227		5	24	2017	2017	1	11.3
USGS	09060799	00010	165227		5	25	2017	2017	1	12.1
USGS	09060799	00010	165227		5	26	2017	2017	1	11.8
USGS	09060799	00010	165227		5	27	2017	2017	1	11.3
USGS	09060799	00010	165227		5	28	2017	2017	1	10.8
USGS	09060799	00010	165227		5	29	2017	2017	1	12.1
USGS	09060799	00010	165227		5	30	2017	2017	1	12.4
USGS	09060799	00010	165227		5	31	2017	2017	1	12.7
USGS	09060799	00010	165227		6	1	2017	2017	1	12.7
USGS	09060799	00010	165227		6	2	2017	2017	1	12.6
USGS	09060799	00010	165227		6	3	2017	2017	1	12.7
USGS	09060799	00010	165227		6	4	2017	2017	1	13.8
USGS	09060799	00010	165227		6	5	2017	2017	1	13.6
USGS	09060799	00010	165227		6	6	2017	2017	1	12.5
USGS	09060799	00010	165227		6	7	2017	2017	1	11.7
USGS	09060799	00010	165227		6	8	2017	2017	1	12.1
USGS	09060799	00010	165227		6	9	2017	2017	1	12.0
USGS	09060799	00010	165227		6	10	2017	2017	1	12.4
USGS	09060799	00010	165227		6	11	2017	2017	1	12.7
USGS	09060799	00010	165227		6	12	2017	2017	1	12.9
USGS	09060799	00010	165227		6	13	2017	2017	1	11.9
USGS	09060799	00010	165227		6	14	2017	2017	1	11.8
USGS	09060799	00010	165227		6	15	2017	2017	1	12.8
USGS	09060799	00010	165227		6	16	2017	2017	1	13.7
USGS	09060799	00010	165227		6	17	2017	2017	1	14.3
USGS	09060799	00010	165227		6	18	2017	2017	1	14.6
USGS	09060799	00010	165227		6	19	2017	2017	1	14.8
USGS	09060799	00010	165227		6	20	2017	2017	1	14.8
USGS	09060799	00010	165227		6	21	2017	2017	1	15.0
USGS	09060799	00010	165227		6	22	2017	2017	1	14.7
USGS	09060799	00010	165227		6	23	2017	2017	1	13.9
