#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:40:08 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09070500     00010          COLORADO RIVER NEAR DOTSERO, CO
# USGS        09070500     00060          COLORADO RIVER NEAR DOTSERO, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00010         Temperature, water, degrees Celsius
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09070500	00060	18624		1	1	2013	2013	1	503
USGS	09070500	00060	18624		1	2	2013	2013	1	523
USGS	09070500	00060	18624		1	3	2013	2013	1	498
USGS	09070500	00060	18624		1	4	2013	2013	1	418
USGS	09070500	00060	18624		1	5	2013	2013	1	473
USGS	09070500	00060	18624		1	6	2013	2013	1	486
USGS	09070500	00060	18624		1	7	2013	2013	1	500
USGS	09070500	00060	18624		1	8	2013	2013	1	545
USGS	09070500	00060	18624		1	9	2013	2013	1	511
USGS	09070500	00060	18624		1	10	2013	2013	1	517
USGS	09070500	00060	18624		1	11	2013	2013	1	587
USGS	09070500	00060	18624		1	12	2013	2013	1	604
USGS	09070500	00060	18624		1	13	2013	2013	1	569
USGS	09070500	00060	18624		1	14	2013	2013	1	570
USGS	09070500	00060	18624		1	15	2013	2013	1	553
USGS	09070500	00060	18624		1	16	2013	2013	1	550
USGS	09070500	00060	18624		1	17	2013	2013	1	614
USGS	09070500	00060	18624		1	18	2013	2013	1	610
USGS	09070500	00060	18624		1	19	2013	2013	1	603
USGS	09070500	00060	18624		1	20	2013	2013	1	584
USGS	09070500	00060	18624		1	21	2013	2013	1	604
USGS	09070500	00060	18624		1	22	2013	2013	1	603
USGS	09070500	00060	18624		1	23	2013	2013	1	610
USGS	09070500	00060	18624		1	24	2013	2013	1	606
USGS	09070500	00060	18624		1	25	2013	2013	1	610
USGS	09070500	00060	18624		1	26	2013	2013	1	654
USGS	09070500	00060	18624		1	27	2013	2013	1	677
USGS	09070500	00060	18624		1	28	2013	2013	1	730
USGS	09070500	00060	18624		1	29	2013	2013	1	697
USGS	09070500	00060	18624		1	30	2013	2013	1	654
USGS	09070500	00060	18624		1	31	2013	2013	1	674
USGS	09070500	00060	18624		2	1	2013	2013	1	685
USGS	09070500	00060	18624		2	2	2013	2013	1	664
USGS	09070500	00060	18624		2	3	2013	2013	1	650
USGS	09070500	00060	18624		2	4	2013	2013	1	646
USGS	09070500	00060	18624		2	5	2013	2013	1	633
USGS	09070500	00060	18624		2	6	2013	2013	1	636
USGS	09070500	00060	18624		2	7	2013	2013	1	651
USGS	09070500	00060	18624		2	8	2013	2013	1	625
USGS	09070500	00060	18624		2	9	2013	2013	1	663
USGS	09070500	00060	18624		2	10	2013	2013	1	644
USGS	09070500	00060	18624		2	11	2013	2013	1	643
USGS	09070500	00060	18624		2	12	2013	2013	1	619
USGS	09070500	00060	18624		2	13	2013	2013	1	638
USGS	09070500	00060	18624		2	14	2013	2013	1	651
USGS	09070500	00060	18624		2	15	2013	2013	1	639
USGS	09070500	00060	18624		2	16	2013	2013	1	613
USGS	09070500	00060	18624		2	17	2013	2013	1	613
USGS	09070500	00060	18624		2	18	2013	2013	1	628
USGS	09070500	00060	18624		2	19	2013	2013	1	589
USGS	09070500	00060	18624		2	20	2013	2013	1	608
USGS	09070500	00060	18624		2	21	2013	2013	1	621
USGS	09070500	00060	18624		2	22	2013	2013	1	618
USGS	09070500	00060	18624		2	23	2013	2013	1	578
USGS	09070500	00060	18624		2	24	2013	2013	1	622
USGS	09070500	00060	18624		2	25	2013	2013	1	589
USGS	09070500	00060	18624		2	26	2013	2013	1	611
USGS	09070500	00060	18624		2	27	2013	2013	1	605
USGS	09070500	00060	18624		2	28	2013	2013	1	594
USGS	09070500	00060	18624		3	1	2013	2013	1	627
USGS	09070500	00060	18624		3	2	2013	2013	1	597
USGS	09070500	00060	18624		3	3	2013	2013	1	616
USGS	09070500	00060	18624		3	4	2013	2013	1	670
USGS	09070500	00060	18624		3	5	2013	2013	1	594
USGS	09070500	00060	18624		3	6	2013	2013	1	618
USGS	09070500	00060	18624		3	7	2013	2013	1	709
USGS	09070500	00060	18624		3	8	2013	2013	1	731
USGS	09070500	00060	18624		3	9	2013	2013	1	744
USGS	09070500	00060	18624		3	10	2013	2013	1	685
USGS	09070500	00060	18624		3	11	2013	2013	1	688
USGS	09070500	00060	18624		3	12	2013	2013	1	696
USGS	09070500	00060	18624		3	13	2013	2013	1	715
USGS	09070500	00060	18624		3	14	2013	2013	1	746
USGS	09070500	00060	18624		3	15	2013	2013	1	754
USGS	09070500	00060	18624		3	16	2013	2013	1	832
USGS	09070500	00060	18624		3	17	2013	2013	1	776
USGS	09070500	00060	18624		3	18	2013	2013	1	738
USGS	09070500	00060	18624		3	19	2013	2013	1	717
USGS	09070500	00060	18624		3	20	2013	2013	1	664
USGS	09070500	00060	18624		3	21	2013	2013	1	672
USGS	09070500	00060	18624		3	22	2013	2013	1	655
USGS	09070500	00060	18624		3	23	2013	2013	1	648
USGS	09070500	00060	18624		3	24	2013	2013	1	594
USGS	09070500	00060	18624		3	25	2013	2013	1	582
USGS	09070500	00060	18624		3	26	2013	2013	1	630
USGS	09070500	00060	18624		3	27	2013	2013	1	657
USGS	09070500	00060	18624		3	28	2013	2013	1	657
USGS	09070500	00060	18624		3	29	2013	2013	1	685
USGS	09070500	00060	18624		3	30	2013	2013	1	753
USGS	09070500	00060	18624		3	31	2013	2013	1	744
USGS	09070500	00060	18624		4	1	2013	2013	1	760
USGS	09070500	00060	18624		4	2	2013	2013	1	812
USGS	09070500	00060	18624		4	3	2013	2013	1	815
USGS	09070500	00060	18624		4	4	2013	2013	1	753
USGS	09070500	00060	18624		4	5	2013	2013	1	787
USGS	09070500	00060	18624		4	6	2013	2013	1	873
USGS	09070500	00060	18624		4	7	2013	2013	1	912
USGS	09070500	00060	18624		4	8	2013	2013	1	881
USGS	09070500	00060	18624		4	9	2013	2013	1	864
USGS	09070500	00060	18624		4	10	2013	2013	1	781
USGS	09070500	00060	18624		4	11	2013	2013	1	717
USGS	09070500	00060	18624		4	12	2013	2013	1	689
USGS	09070500	00060	18624		4	13	2013	2013	1	666
USGS	09070500	00060	18624		4	14	2013	2013	1	704
USGS	09070500	00060	18624		4	15	2013	2013	1	913
USGS	09070500	00060	18624		4	16	2013	2013	1	1010
USGS	09070500	00060	18624		4	17	2013	2013	1	982
USGS	09070500	00060	18624		4	18	2013	2013	1	787
USGS	09070500	00060	18624		4	19	2013	2013	1	719
USGS	09070500	00060	18624		4	20	2013	2013	1	699
USGS	09070500	00060	18624		4	21	2013	2013	1	736
USGS	09070500	00060	18624		4	22	2013	2013	1	753
USGS	09070500	00060	18624		4	23	2013	2013	1	899
USGS	09070500	00060	18624		4	24	2013	2013	1	923
USGS	09070500	00060	18624		4	25	2013	2013	1	847
USGS	09070500	00060	18624		4	26	2013	2013	1	806
USGS	09070500	00060	18624		4	27	2013	2013	1	903
USGS	09070500	00060	18624		4	28	2013	2013	1	1110
USGS	09070500	00060	18624		4	29	2013	2013	1	1400
USGS	09070500	00060	18624		4	30	2013	2013	1	1820
USGS	09070500	00060	18624		5	1	2013	2013	1	2080
USGS	09070500	00060	18624		5	2	2013	2013	1	1860
USGS	09070500	00060	18624		5	3	2013	2013	1	1580
USGS	09070500	00060	18624		5	4	2013	2013	1	1520
USGS	09070500	00060	18624		5	5	2013	2013	1	1530
USGS	09070500	00060	18624		5	6	2013	2013	1	1580
USGS	09070500	00060	18624		5	7	2013	2013	1	1720
USGS	09070500	00060	18624		5	8	2013	2013	1	1900
USGS	09070500	00060	18624		5	9	2013	2013	1	2060
USGS	09070500	00060	18624		5	10	2013	2013	1	2000
