#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:48 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09070500     00060          COLORADO RIVER NEAR DOTSERO, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09070500	00060	18624		1	1	2015	2015	1	830
USGS	09070500	00060	18624		1	2	2015	2015	1	841
USGS	09070500	00060	18624		1	3	2015	2015	1	921
USGS	09070500	00060	18624		1	4	2015	2015	1	984
USGS	09070500	00060	18624		1	5	2015	2015	1	1030
USGS	09070500	00060	18624		1	6	2015	2015	1	1060
USGS	09070500	00060	18624		1	7	2015	2015	1	1090
USGS	09070500	00060	18624		1	8	2015	2015	1	1040
USGS	09070500	00060	18624		1	9	2015	2015	1	966
USGS	09070500	00060	18624		1	10	2015	2015	1	939
USGS	09070500	00060	18624		1	11	2015	2015	1	924
USGS	09070500	00060	18624		1	12	2015	2015	1	908
USGS	09070500	00060	18624		1	13	2015	2015	1	865
USGS	09070500	00060	18624		1	14	2015	2015	1	825
USGS	09070500	00060	18624		1	15	2015	2015	1	876
USGS	09070500	00060	18624		1	16	2015	2015	1	941
USGS	09070500	00060	18624		1	17	2015	2015	1	1080
USGS	09070500	00060	18624		1	18	2015	2015	1	1080
USGS	09070500	00060	18624		1	19	2015	2015	1	1050
USGS	09070500	00060	18624		1	20	2015	2015	1	1090
USGS	09070500	00060	18624		1	21	2015	2015	1	1010
USGS	09070500	00060	18624		1	22	2015	2015	1	999
USGS	09070500	00060	18624		1	23	2015	2015	1	940
USGS	09070500	00060	18624		1	24	2015	2015	1	911
USGS	09070500	00060	18624		1	25	2015	2015	1	961
USGS	09070500	00060	18624		1	26	2015	2015	1	930
USGS	09070500	00060	18624		1	27	2015	2015	1	936
USGS	09070500	00060	18624		1	28	2015	2015	1	899
USGS	09070500	00060	18624		1	29	2015	2015	1	884
USGS	09070500	00060	18624		1	30	2015	2015	1	901
USGS	09070500	00060	18624		1	31	2015	2015	1	920
USGS	09070500	00060	18624		2	1	2015	2015	1	928
USGS	09070500	00060	18624		2	2	2015	2015	1	1020
USGS	09070500	00060	18624		2	3	2015	2015	1	1040
USGS	09070500	00060	18624		2	4	2015	2015	1	1110
USGS	09070500	00060	18624		2	5	2015	2015	1	1060
USGS	09070500	00060	18624		2	6	2015	2015	1	1010
USGS	09070500	00060	18624		2	7	2015	2015	1	1050
USGS	09070500	00060	18624		2	8	2015	2015	1	1050
USGS	09070500	00060	18624		2	9	2015	2015	1	1040
USGS	09070500	00060	18624		2	10	2015	2015	1	1020
USGS	09070500	00060	18624		2	11	2015	2015	1	1030
USGS	09070500	00060	18624		2	12	2015	2015	1	1020
USGS	09070500	00060	18624		2	13	2015	2015	1	992
USGS	09070500	00060	18624		2	14	2015	2015	1	996
USGS	09070500	00060	18624		2	15	2015	2015	1	999
USGS	09070500	00060	18624		2	16	2015	2015	1	1020
USGS	09070500	00060	18624		2	17	2015	2015	1	970
USGS	09070500	00060	18624		2	18	2015	2015	1	933
USGS	09070500	00060	18624		2	19	2015	2015	1	985
USGS	09070500	00060	18624		2	20	2015	2015	1	967
USGS	09070500	00060	18624		2	21	2015	2015	1	966
USGS	09070500	00060	18624		2	22	2015	2015	1	957
USGS	09070500	00060	18624		2	23	2015	2015	1	942
USGS	09070500	00060	18624		2	24	2015	2015	1	903
USGS	09070500	00060	18624		2	25	2015	2015	1	964
USGS	09070500	00060	18624		2	26	2015	2015	1	946
USGS	09070500	00060	18624		2	27	2015	2015	1	961
USGS	09070500	00060	18624		2	28	2015	2015	1	942
USGS	09070500	00060	18624		3	1	2015	2015	1	951
USGS	09070500	00060	18624		3	2	2015	2015	1	986
USGS	09070500	00060	18624		3	3	2015	2015	1	994
USGS	09070500	00060	18624		3	4	2015	2015	1	921
USGS	09070500	00060	18624		3	5	2015	2015	1	825
USGS	09070500	00060	18624		3	6	2015	2015	1	851
USGS	09070500	00060	18624		3	7	2015	2015	1	911
USGS	09070500	00060	18624		3	8	2015	2015	1	940
USGS	09070500	00060	18624		3	9	2015	2015	1	941
USGS	09070500	00060	18624		3	10	2015	2015	1	943
USGS	09070500	00060	18624		3	11	2015	2015	1	948
USGS	09070500	00060	18624		3	12	2015	2015	1	953
USGS	09070500	00060	18624		3	13	2015	2015	1	924
USGS	09070500	00060	18624		3	14	2015	2015	1	955
USGS	09070500	00060	18624		3	15	2015	2015	1	995
USGS	09070500	00060	18624		3	16	2015	2015	1	1060
USGS	09070500	00060	18624		3	17	2015	2015	1	1240
USGS	09070500	00060	18624		3	18	2015	2015	1	1430
USGS	09070500	00060	18624		3	19	2015	2015	1	1590
USGS	09070500	00060	18624		3	20	2015	2015	1	1580
USGS	09070500	00060	18624		3	21	2015	2015	1	1560
USGS	09070500	00060	18624		3	22	2015	2015	1	1610
USGS	09070500	00060	18624		3	23	2015	2015	1	1660
USGS	09070500	00060	18624		3	24	2015	2015	1	1730
USGS	09070500	00060	18624		3	25	2015	2015	1	1690
USGS	09070500	00060	18624		3	26	2015	2015	1	1550
USGS	09070500	00060	18624		3	27	2015	2015	1	1490
USGS	09070500	00060	18624		3	28	2015	2015	1	1500
USGS	09070500	00060	18624		3	29	2015	2015	1	1670
USGS	09070500	00060	18624		3	30	2015	2015	1	1910
USGS	09070500	00060	18624		3	31	2015	2015	1	2020
USGS	09070500	00060	18624		4	1	2015	2015	1	2110
USGS	09070500	00060	18624		4	2	2015	2015	1	2170
USGS	09070500	00060	18624		4	3	2015	2015	1	2070
USGS	09070500	00060	18624		4	4	2015	2015	1	1890
USGS	09070500	00060	18624		4	5	2015	2015	1	1820
USGS	09070500	00060	18624		4	6	2015	2015	1	1780
USGS	09070500	00060	18624		4	7	2015	2015	1	1830
USGS	09070500	00060	18624		4	8	2015	2015	1	1920
USGS	09070500	00060	18624		4	9	2015	2015	1	1930
USGS	09070500	00060	18624		4	10	2015	2015	1	1920
USGS	09070500	00060	18624		4	11	2015	2015	1	1900
USGS	09070500	00060	18624		4	12	2015	2015	1	1890
USGS	09070500	00060	18624		4	13	2015	2015	1	1830
USGS	09070500	00060	18624		4	14	2015	2015	1	1800
USGS	09070500	00060	18624		4	15	2015	2015	1	1930
