#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:40:11 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09071750     00095          COLORADO RIVER ABOVE GLENWOOD SPRINGS, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00095         Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09071750	00095	18638		1	1	2010	2010	1	881
USGS	09071750	00095	18638		1	2	2010	2010	1	868
USGS	09071750	00095	18638		1	3	2010	2010	1	846
USGS	09071750	00095	18638		1	4	2010	2010	1	844
USGS	09071750	00095	18638		1	5	2010	2010	1	871
USGS	09071750	00095	18638		1	6	2010	2010	1	872
USGS	09071750	00095	18638		1	7	2010	2010	1	857
USGS	09071750	00095	18638		1	8	2010	2010	1	891
USGS	09071750	00095	18638		1	9	2010	2010	1	926
USGS	09071750	00095	18638		1	10	2010	2010	1	1020
USGS	09071750	00095	18638		1	11	2010	2010	1	1030
USGS	09071750	00095	18638		1	12	2010	2010	1	997
USGS	09071750	00095	18638		1	13	2010	2010	1	963
USGS	09071750	00095	18638		1	14	2010	2010	1	926
USGS	09071750	00095	18638		1	15	2010	2010	1	865
USGS	09071750	00095	18638		1	16	2010	2010	1	871
USGS	09071750	00095	18638		1	17	2010	2010	1	832
USGS	09071750	00095	18638		1	18	2010	2010	1	848
USGS	09071750	00095	18638		1	19	2010	2010	1	837
USGS	09071750	00095	18638		1	20	2010	2010	1	834
USGS	09071750	00095	18638		1	21	2010	2010	1	832
USGS	09071750	00095	18638		1	22	2010	2010	1	842
USGS	09071750	00095	18638		1	23	2010	2010	1	829
USGS	09071750	00095	18638		1	24	2010	2010	1	840
USGS	09071750	00095	18638		1	25	2010	2010	1	845
USGS	09071750	00095	18638		1	26	2010	2010	1	862
USGS	09071750	00095	18638		1	27	2010	2010	1	842
USGS	09071750	00095	18638		1	28	2010	2010	1	838
USGS	09071750	00095	18638		1	29	2010	2010	1	825
USGS	09071750	00095	18638		1	30	2010	2010	1	840
USGS	09071750	00095	18638		1	31	2010	2010	1	842
USGS	09071750	00095	18638		2	1	2010	2010	1	844
USGS	09071750	00095	18638		2	2	2010	2010	1	867
USGS	09071750	00095	18638		2	4	2010	2010	1	850
USGS	09071750	00095	18638		2	5	2010	2010	1	856
USGS	09071750	00095	18638		2	6	2010	2010	1	840
USGS	09071750	00095	18638		2	7	2010	2010	1	842
USGS	09071750	00095	18638		2	8	2010	2010	1	848
USGS	09071750	00095	18638		2	9	2010	2010	1	845
USGS	09071750	00095	18638		2	10	2010	2010	1	859
USGS	09071750	00095	18638		2	11	2010	2010	1	875
USGS	09071750	00095	18638		2	12	2010	2010	1	878
USGS	09071750	00095	18638		2	13	2010	2010	1	860
USGS	09071750	00095	18638		2	14	2010	2010	1	851
USGS	09071750	00095	18638		2	15	2010	2010	1	868
USGS	09071750	00095	18638		2	16	2010	2010	1	881
USGS	09071750	00095	18638		2	17	2010	2010	1	870
USGS	09071750	00095	18638		2	18	2010	2010	1	865
USGS	09071750	00095	18638		2	19	2010	2010	1	842
USGS	09071750	00095	18638		2	20	2010	2010	1	843
USGS	09071750	00095	18638		2	21	2010	2010	1	846
USGS	09071750	00095	18638		2	22	2010	2010	1	835
USGS	09071750	00095	18638		2	23	2010	2010	1	843
USGS	09071750	00095	18638		2	24	2010	2010	1	870
USGS	09071750	00095	18638		2	25	2010	2010	1	834
USGS	09071750	00095	18638		2	26	2010	2010	1	833
USGS	09071750	00095	18638		2	27	2010	2010	1	793
USGS	09071750	00095	18638		2	28	2010	2010	1	797
USGS	09071750	00095	18638		3	1	2010	2010	1	847
USGS	09071750	00095	18638		3	2	2010	2010	1	851
USGS	09071750	00095	18638		3	3	2010	2010	1	849
USGS	09071750	00095	18638		3	5	2010	2010	1	848
USGS	09071750	00095	18638		3	6	2010	2010	1	844
USGS	09071750	00095	18638		3	7	2010	2010	1	846
USGS	09071750	00095	18638		3	8	2010	2010	1	838
USGS	09071750	00095	18638		3	9	2010	2010	1	838
USGS	09071750	00095	18638		3	10	2010	2010	1	829
USGS	09071750	00095	18638		3	11	2010	2010	1	842
USGS	09071750	00095	18638		3	12	2010	2010	1	839
USGS	09071750	00095	18638		3	13	2010	2010	1	847
USGS	09071750	00095	18638		3	14	2010	2010	1	839
USGS	09071750	00095	18638		3	15	2010	2010	1	837
USGS	09071750	00095	18638		3	16	2010	2010	1	827
USGS	09071750	00095	18638		3	17	2010	2010	1	802
USGS	09071750	00095	18638		3	18	2010	2010	1	831
USGS	09071750	00095	18638		3	19	2010	2010	1	826
USGS	09071750	00095	18638		3	20	2010	2010	1	839
