#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:51 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09071750     00095          COLORADO RIVER ABOVE GLENWOOD SPRINGS, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00095         Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09071750	00095	18638		1	1	2011	2011	1	965
USGS	09071750	00095	18638		1	2	2011	2011	1	1200
USGS	09071750	00095	18638		1	3	2011	2011	1	1020
USGS	09071750	00095	18638		1	4	2011	2011	1	849
USGS	09071750	00095	18638		1	5	2011	2011	1	845
USGS	09071750	00095	18638		1	6	2011	2011	1	850
USGS	09071750	00095	18638		1	7	2011	2011	1	828
USGS	09071750	00095	18638		1	8	2011	2011	1	830
USGS	09071750	00095	18638		1	9	2011	2011	1	818
USGS	09071750	00095	18638		1	10	2011	2011	1	806
USGS	09071750	00095	18638		1	11	2011	2011	1	820
USGS	09071750	00095	18638		1	12	2011	2011	1	888
USGS	09071750	00095	18638		1	13	2011	2011	1	908
USGS	09071750	00095	18638		1	14	2011	2011	1	841
USGS	09071750	00095	18638		1	15	2011	2011	1	792
USGS	09071750	00095	18638		1	16	2011	2011	1	786
USGS	09071750	00095	18638		1	17	2011	2011	1	785
USGS	09071750	00095	18638		1	18	2011	2011	1	770
USGS	09071750	00095	18638		1	19	2011	2011	1	776
USGS	09071750	00095	18638		1	20	2011	2011	1	771
USGS	09071750	00095	18638		1	21	2011	2011	1	835
USGS	09071750	00095	18638		1	22	2011	2011	1	822
USGS	09071750	00095	18638		1	23	2011	2011	1	836
USGS	09071750	00095	18638		1	24	2011	2011	1	842
USGS	09071750	00095	18638		1	26	2011	2011	1	855
USGS	09071750	00095	18638		1	29	2011	2011	1	851
USGS	09071750	00095	18638		1	30	2011	2011	1	852
USGS	09071750	00095	18638		1	31	2011	2011	1	844
USGS	09071750	00095	18638		2	1	2011	2011	1	867
USGS	09071750	00095	18638		2	2	2011	2011	1	937
USGS	09071750	00095	18638		2	3	2011	2011	1	1040
USGS	09071750	00095	18638		2	4	2011	2011	1	1070
USGS	09071750	00095	18638		2	5	2011	2011	1	996
