#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:40:14 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09071750     00095          COLORADO RIVER ABOVE GLENWOOD SPRINGS, CO
# USGS        09071750     00300          COLORADO RIVER ABOVE GLENWOOD SPRINGS, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00095         Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
# 00300         Dissolved oxygen, water, unfiltered, milligrams per liter
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09071750	00095	18638		1	9	2020	2020	1	765
USGS	09071750	00095	18638		1	10	2020	2020	1	761
USGS	09071750	00095	18638		1	14	2020	2020	1	804
USGS	09071750	00095	18638		1	15	2020	2020	1	791
USGS	09071750	00095	18638		1	17	2020	2020	1	806
USGS	09071750	00095	18638		1	21	2020	2020	1	844
USGS	09071750	00095	18638		1	22	2020	2020	1	812
USGS	09071750	00095	18638		1	23	2020	2020	1	784
USGS	09071750	00095	18638		1	24	2020	2020	1	771
USGS	09071750	00095	18638		1	25	2020	2020	1	776
USGS	09071750	00095	18638		1	26	2020	2020	1	778
USGS	09071750	00095	18638		2	4	2020	2020	1	798
USGS	09071750	00095	18638		2	5	2020	2020	1	839
USGS	09071750	00095	18638		2	6	2020	2020	1	867
USGS	09071750	00095	18638		2	7	2020	2020	1	864
USGS	09071750	00095	18638		2	8	2020	2020	1	790
USGS	09071750	00095	18638		2	9	2020	2020	1	747
USGS	09071750	00095	18638		2	10	2020	2020	1	748
USGS	09071750	00095	18638		2	11	2020	2020	1	774
USGS	09071750	00095	18638		2	12	2020	2020	1	781
USGS	09071750	00095	18638		2	13	2020	2020	1	758
USGS	09071750	00095	18638		2	14	2020	2020	1	776
USGS	09071750	00095	18638		2	15	2020	2020	1	754
USGS	09071750	00095	18638		2	16	2020	2020	1	740
