#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:40:26 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09080400     00060          FRYINGPAN RIVER NEAR RUEDI, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09080400	00060	18705		1	1	2016	2016	1	70
USGS	09080400	00060	18705		1	2	2016	2016	1	73
USGS	09080400	00060	18705		1	3	2016	2016	1	73
USGS	09080400	00060	18705		1	4	2016	2016	1	73
USGS	09080400	00060	18705		1	5	2016	2016	1	73
USGS	09080400	00060	18705		1	6	2016	2016	1	73
USGS	09080400	00060	18705		1	7	2016	2016	1	73
USGS	09080400	00060	18705		1	8	2016	2016	1	73
USGS	09080400	00060	18705		1	9	2016	2016	1	73
USGS	09080400	00060	18705		1	10	2016	2016	1	73
USGS	09080400	00060	18705		1	11	2016	2016	1	73
USGS	09080400	00060	18705		1	12	2016	2016	1	73
USGS	09080400	00060	18705		1	13	2016	2016	1	73
USGS	09080400	00060	18705		1	14	2016	2016	1	73
USGS	09080400	00060	18705		1	15	2016	2016	1	73
USGS	09080400	00060	18705		1	16	2016	2016	1	73
USGS	09080400	00060	18705		1	17	2016	2016	1	73
USGS	09080400	00060	18705		1	18	2016	2016	1	73
USGS	09080400	00060	18705		1	19	2016	2016	1	73
USGS	09080400	00060	18705		1	20	2016	2016	1	73
USGS	09080400	00060	18705		1	21	2016	2016	1	73
USGS	09080400	00060	18705		1	22	2016	2016	1	72
USGS	09080400	00060	18705		1	23	2016	2016	1	73
USGS	09080400	00060	18705		1	24	2016	2016	1	73
USGS	09080400	00060	18705		1	25	2016	2016	1	73
USGS	09080400	00060	18705		1	26	2016	2016	1	73
USGS	09080400	00060	18705		1	27	2016	2016	1	73
USGS	09080400	00060	18705		1	28	2016	2016	1	73
USGS	09080400	00060	18705		1	29	2016	2016	1	73
USGS	09080400	00060	18705		1	30	2016	2016	1	73
USGS	09080400	00060	18705		1	31	2016	2016	1	73
USGS	09080400	00060	18705		2	1	2016	2016	1	73
USGS	09080400	00060	18705		2	2	2016	2016	1	73
USGS	09080400	00060	18705		2	3	2016	2016	1	72
USGS	09080400	00060	18705		2	4	2016	2016	1	72
USGS	09080400	00060	18705		2	5	2016	2016	1	72
USGS	09080400	00060	18705		2	6	2016	2016	1	72
USGS	09080400	00060	18705		2	7	2016	2016	1	72
USGS	09080400	00060	18705		2	8	2016	2016	1	73
USGS	09080400	00060	18705		2	9	2016	2016	1	72
USGS	09080400	00060	18705		2	10	2016	2016	1	72
USGS	09080400	00060	18705		2	11	2016	2016	1	72
USGS	09080400	00060	18705		2	12	2016	2016	1	72
USGS	09080400	00060	18705		2	13	2016	2016	1	73
USGS	09080400	00060	18705		2	14	2016	2016	1	73
USGS	09080400	00060	18705		2	15	2016	2016	1	73
USGS	09080400	00060	18705		2	16	2016	2016	1	73
USGS	09080400	00060	18705		2	17	2016	2016	1	72
USGS	09080400	00060	18705		2	18	2016	2016	1	73
USGS	09080400	00060	18705		2	19	2016	2016	1	73
USGS	09080400	00060	18705		2	20	2016	2016	1	73
USGS	09080400	00060	18705		2	21	2016	2016	1	73
USGS	09080400	00060	18705		2	22	2016	2016	1	73
USGS	09080400	00060	18705		2	23	2016	2016	1	73
USGS	09080400	00060	18705		2	24	2016	2016	1	73
USGS	09080400	00060	18705		2	25	2016	2016	1	73
USGS	09080400	00060	18705		2	26	2016	2016	1	73
USGS	09080400	00060	18705		2	27	2016	2016	1	73
USGS	09080400	00060	18705		2	28	2016	2016	1	74
USGS	09080400	00060	18705		2	29	2016	2016	1	73
USGS	09080400	00060	18705		3	1	2016	2016	1	74
