#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:54:05 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09081000     00060          ROARING FORK RIVER NEAR EMMA, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09081000	00060	18707		1	1	2011	2011	1	224
USGS	09081000	00060	18707		1	2	2011	2011	1	182
USGS	09081000	00060	18707		1	3	2011	2011	1	272
USGS	09081000	00060	18707		1	4	2011	2011	1	306
USGS	09081000	00060	18707		1	5	2011	2011	1	310
USGS	09081000	00060	18707		1	6	2011	2011	1	306
USGS	09081000	00060	18707		1	7	2011	2011	1	287
USGS	09081000	00060	18707		1	8	2011	2011	1	288
USGS	09081000	00060	18707		1	9	2011	2011	1	289
USGS	09081000	00060	18707		1	10	2011	2011	1	257
USGS	09081000	00060	18707		1	11	2011	2011	1	206
USGS	09081000	00060	18707		1	12	2011	2011	1	247
USGS	09081000	00060	18707		1	13	2011	2011	1	300
USGS	09081000	00060	18707		1	14	2011	2011	1	290
USGS	09081000	00060	18707		1	15	2011	2011	1	274
USGS	09081000	00060	18707		1	16	2011	2011	1	269
USGS	09081000	00060	18707		1	17	2011	2011	1	277
USGS	09081000	00060	18707		1	18	2011	2011	1	270
USGS	09081000	00060	18707		1	19	2011	2011	1	268
USGS	09081000	00060	18707		1	20	2011	2011	1	250
USGS	09081000	00060	18707		1	21	2011	2011	1	262
USGS	09081000	00060	18707		1	22	2011	2011	1	260
USGS	09081000	00060	18707		1	23	2011	2011	1	253
USGS	09081000	00060	18707		1	24	2011	2011	1	261
USGS	09081000	00060	18707		1	25	2011	2011	1	239
USGS	09081000	00060	18707		1	26	2011	2011	1	273
USGS	09081000	00060	18707		1	27	2011	2011	1	254
USGS	09081000	00060	18707		1	28	2011	2011	1	256
USGS	09081000	00060	18707		1	29	2011	2011	1	257
USGS	09081000	00060	18707		1	30	2011	2011	1	250
USGS	09081000	00060	18707		1	31	2011	2011	1	251
USGS	09081000	00060	18707		2	1	2011	2011	1	237
USGS	09081000	00060	18707		2	2	2011	2011	1	198
USGS	09081000	00060	18707		2	3	2011	2011	1	185
USGS	09081000	00060	18707		2	4	2011	2011	1	208
USGS	09081000	00060	18707		2	5	2011	2011	1	233
USGS	09081000	00060	18707		2	6	2011	2011	1	241
USGS	09081000	00060	18707		2	7	2011	2011	1	222
USGS	09081000	00060	18707		2	8	2011	2011	1	225
USGS	09081000	00060	18707		2	9	2011	2011	1	221
USGS	09081000	00060	18707		2	10	2011	2011	1	209
USGS	09081000	00060	18707		2	11	2011	2011	1	225
USGS	09081000	00060	18707		2	12	2011	2011	1	238
USGS	09081000	00060	18707		2	13	2011	2011	1	240
USGS	09081000	00060	18707		2	14	2011	2011	1	243
USGS	09081000	00060	18707		2	15	2011	2011	1	246
USGS	09081000	00060	18707		2	16	2011	2011	1	246
USGS	09081000	00060	18707		2	17	2011	2011	1	273
USGS	09081000	00060	18707		2	18	2011	2011	1	264
USGS	09081000	00060	18707		2	19	2011	2011	1	263
USGS	09081000	00060	18707		2	20	2011	2011	1	269
USGS	09081000	00060	18707		2	21	2011	2011	1	257
USGS	09081000	00060	18707		2	22	2011	2011	1	251
USGS	09081000	00060	18707		2	23	2011	2011	1	258
USGS	09081000	00060	18707		2	24	2011	2011	1	259
USGS	09081000	00060	18707		2	25	2011	2011	1	255
USGS	09081000	00060	18707		2	26	2011	2011	1	255
USGS	09081000	00060	18707		2	27	2011	2011	1	252
USGS	09081000	00060	18707		2	28	2011	2011	1	254
USGS	09081000	00060	18707		3	1	2011	2011	1	254
