#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:40:30 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09081000     00060          ROARING FORK RIVER NEAR EMMA, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09081000	00060	18707		1	1	2016	2016	1	186
USGS	09081000	00060	18707		1	2	2016	2016	1	211
USGS	09081000	00060	18707		1	3	2016	2016	1	272
USGS	09081000	00060	18707		1	4	2016	2016	1	284
USGS	09081000	00060	18707		1	5	2016	2016	1	282
USGS	09081000	00060	18707		1	6	2016	2016	1	255
USGS	09081000	00060	18707		1	7	2016	2016	1	255
USGS	09081000	00060	18707		1	8	2016	2016	1	239
USGS	09081000	00060	18707		1	9	2016	2016	1	235
USGS	09081000	00060	18707		1	10	2016	2016	1	226
USGS	09081000	00060	18707		1	11	2016	2016	1	204
USGS	09081000	00060	18707		1	12	2016	2016	1	196
USGS	09081000	00060	18707		1	13	2016	2016	1	240
USGS	09081000	00060	18707		1	14	2016	2016	1	244
USGS	09081000	00060	18707		1	15	2016	2016	1	248
USGS	09081000	00060	18707		1	16	2016	2016	1	242
USGS	09081000	00060	18707		1	17	2016	2016	1	238
USGS	09081000	00060	18707		1	18	2016	2016	1	228
USGS	09081000	00060	18707		1	19	2016	2016	1	225
USGS	09081000	00060	18707		1	20	2016	2016	1	225
USGS	09081000	00060	18707		1	21	2016	2016	1	220
USGS	09081000	00060	18707		1	22	2016	2016	1	211
USGS	09081000	00060	18707		1	23	2016	2016	1	232
USGS	09081000	00060	18707		1	24	2016	2016	1	225
USGS	09081000	00060	18707		1	25	2016	2016	1	216
USGS	09081000	00060	18707		1	26	2016	2016	1	213
USGS	09081000	00060	18707		1	27	2016	2016	1	194
USGS	09081000	00060	18707		1	28	2016	2016	1	227
USGS	09081000	00060	18707		1	29	2016	2016	1	237
USGS	09081000	00060	18707		1	30	2016	2016	1	219
USGS	09081000	00060	18707		1	31	2016	2016	1	223
USGS	09081000	00060	18707		2	1	2016	2016	1	223
USGS	09081000	00060	18707		2	2	2016	2016	1	219
USGS	09081000	00060	18707		2	3	2016	2016	1	212
USGS	09081000	00060	18707		2	4	2016	2016	1	182
USGS	09081000	00060	18707		2	5	2016	2016	1	217
USGS	09081000	00060	18707		2	6	2016	2016	1	207
USGS	09081000	00060	18707		2	7	2016	2016	1	236
USGS	09081000	00060	18707		2	8	2016	2016	1	230
USGS	09081000	00060	18707		2	9	2016	2016	1	226
USGS	09081000	00060	18707		2	10	2016	2016	1	221
USGS	09081000	00060	18707		2	11	2016	2016	1	221
USGS	09081000	00060	18707		2	12	2016	2016	1	227
USGS	09081000	00060	18707		2	13	2016	2016	1	226
USGS	09081000	00060	18707		2	14	2016	2016	1	222
USGS	09081000	00060	18707		2	15	2016	2016	1	220
USGS	09081000	00060	18707		2	16	2016	2016	1	219
USGS	09081000	00060	18707		2	17	2016	2016	1	219
USGS	09081000	00060	18707		2	18	2016	2016	1	231
USGS	09081000	00060	18707		2	19	2016	2016	1	243
USGS	09081000	00060	18707		2	20	2016	2016	1	234
USGS	09081000	00060	18707		2	21	2016	2016	1	231
USGS	09081000	00060	18707		2	22	2016	2016	1	230
USGS	09081000	00060	18707		2	23	2016	2016	1	226
USGS	09081000	00060	18707		2	24	2016	2016	1	211
USGS	09081000	00060	18707		2	25	2016	2016	1	219
USGS	09081000	00060	18707		2	26	2016	2016	1	227
USGS	09081000	00060	18707		2	27	2016	2016	1	226
USGS	09081000	00060	18707		2	28	2016	2016	1	228
USGS	09081000	00060	18707		2	29	2016	2016	1	228
USGS	09081000	00060	18707		3	1	2016	2016	1	229
USGS	09081000	00060	18707		3	2	2016	2016	1	233
USGS	09081000	00060	18707		3	3	2016	2016	1	232
USGS	09081000	00060	18707		3	4	2016	2016	1	237
USGS	09081000	00060	18707		3	5	2016	2016	1	241
USGS	09081000	00060	18707		3	6	2016	2016	1	250
USGS	09081000	00060	18707		3	7	2016	2016	1	260
USGS	09081000	00060	18707		3	8	2016	2016	1	245
USGS	09081000	00060	18707		3	9	2016	2016	1	234
USGS	09081000	00060	18707		3	10	2016	2016	1	237
USGS	09081000	00060	18707		3	11	2016	2016	1	246
USGS	09081000	00060	18707		3	12	2016	2016	1	257
USGS	09081000	00060	18707		3	13	2016	2016	1	256
USGS	09081000	00060	18707		3	14	2016	2016	1	260
USGS	09081000	00060	18707		3	15	2016	2016	1	267
USGS	09081000	00060	18707		3	16	2016	2016	1	257
USGS	09081000	00060	18707		3	17	2016	2016	1	249
USGS	09081000	00060	18707		3	18	2016	2016	1	247
USGS	09081000	00060	18707		3	19	2016	2016	1	239
USGS	09081000	00060	18707		3	20	2016	2016	1	236
USGS	09081000	00060	18707		3	21	2016	2016	1	251
USGS	09081000	00060	18707		3	22	2016	2016	1	262
USGS	09081000	00060	18707		3	23	2016	2016	1	278
USGS	09081000	00060	18707		3	24	2016	2016	1	257
USGS	09081000	00060	18707		3	25	2016	2016	1	260
USGS	09081000	00060	18707		3	26	2016	2016	1	249
USGS	09081000	00060	18707		3	27	2016	2016	1	242
USGS	09081000	00060	18707		3	28	2016	2016	1	256
USGS	09081000	00060	18707		3	29	2016	2016	1	258
USGS	09081000	00060	18707		3	30	2016	2016	1	256
USGS	09081000	00060	18707		3	31	2016	2016	1	250
USGS	09081000	00060	18707		4	1	2016	2016	1	236
USGS	09081000	00060	18707		4	2	2016	2016	1	238
USGS	09081000	00060	18707		4	3	2016	2016	1	248
USGS	09081000	00060	18707		4	4	2016	2016	1	263
USGS	09081000	00060	18707		4	5	2016	2016	1	283
USGS	09081000	00060	18707		4	6	2016	2016	1	266
USGS	09081000	00060	18707		4	7	2016	2016	1	277
USGS	09081000	00060	18707		4	8	2016	2016	1	303
USGS	09081000	00060	18707		4	9	2016	2016	1	339
USGS	09081000	00060	18707		4	10	2016	2016	1	363
USGS	09081000	00060	18707		4	11	2016	2016	1	367
USGS	09081000	00060	18707		4	12	2016	2016	1	366
USGS	09081000	00060	18707		4	13	2016	2016	1	363
USGS	09081000	00060	18707		4	14	2016	2016	1	377
USGS	09081000	00060	18707		4	15	2016	2016	1	397
USGS	09081000	00060	18707		4	16	2016	2016	1	402
USGS	09081000	00060	18707		4	17	2016	2016	1	364
USGS	09081000	00060	18707		4	18	2016	2016	1	353
USGS	09081000	00060	18707		4	19	2016	2016	1	338
USGS	09081000	00060	18707		4	20	2016	2016	1	328
USGS	09081000	00060	18707		4	21	2016	2016	1	327
USGS	09081000	00060	18707		4	22	2016	2016	1	356
USGS	09081000	00060	18707		4	23	2016	2016	1	422
USGS	09081000	00060	18707		4	24	2016	2016	1	457
USGS	09081000	00060	18707		4	25	2016	2016	1	440
USGS	09081000	00060	18707		4	26	2016	2016	1	458
USGS	09081000	00060	18707		4	27	2016	2016	1	443
USGS	09081000	00060	18707		4	28	2016	2016	1	423
