#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:53 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09095500     00060          COLORADO RIVER NEAR CAMEO, CO.
# USGS        09095500     00095          COLORADO RIVER NEAR CAMEO, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
# 00095         Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09095500	00060	18791		1	1	2007	2007	1	1450
USGS	09095500	00060	18791		1	2	2007	2007	1	1480
USGS	09095500	00060	18791		1	3	2007	2007	1	1400
USGS	09095500	00060	18791		1	4	2007	2007	1	1530
USGS	09095500	00060	18791		1	5	2007	2007	1	1640
USGS	09095500	00060	18791		1	6	2007	2007	1	1660
USGS	09095500	00060	18791		1	7	2007	2007	1	1350
USGS	09095500	00060	18791		1	8	2007	2007	1	1380
USGS	09095500	00060	18791		1	9	2007	2007	1	1430
USGS	09095500	00060	18791		1	10	2007	2007	1	1580
USGS	09095500	00060	18791		1	11	2007	2007	1	1580
USGS	09095500	00060	18791		1	12	2007	2007	1	1590
USGS	09095500	00060	18791		1	13	2007	2007	1	1650
USGS	09095500	00060	18791		1	14	2007	2007	1	1560
USGS	09095500	00060	18791		1	15	2007	2007	1	1230
USGS	09095500	00060	18791		1	16	2007	2007	1	1090
USGS	09095500	00060	18791		1	17	2007	2007	1	1020
USGS	09095500	00060	18791		1	18	2007	2007	1	1020
USGS	09095500	00060	18791		1	19	2007	2007	1	1090
USGS	09095500	00060	18791		1	20	2007	2007	1	1180
USGS	09095500	00060	18791		1	21	2007	2007	1	1370
USGS	09095500	00060	18791		1	22	2007	2007	1	1540
USGS	09095500	00060	18791		1	23	2007	2007	1	1570
USGS	09095500	00060	18791		1	24	2007	2007	1	1540
USGS	09095500	00060	18791		1	25	2007	2007	1	1500
USGS	09095500	00060	18791		1	26	2007	2007	1	1520
USGS	09095500	00060	18791		1	27	2007	2007	1	1570
USGS	09095500	00060	18791		1	28	2007	2007	1	1520
USGS	09095500	00060	18791		1	29	2007	2007	1	1540
USGS	09095500	00060	18791		1	30	2007	2007	1	1570
USGS	09095500	00060	18791		1	31	2007	2007	1	1580
USGS	09095500	00060	18791		2	1	2007	2007	1	1490
USGS	09095500	00060	18791		2	2	2007	2007	1	1300
USGS	09095500	00060	18791		2	3	2007	2007	1	1380
USGS	09095500	00060	18791		2	4	2007	2007	1	1510
USGS	09095500	00060	18791		2	5	2007	2007	1	1580
USGS	09095500	00060	18791		2	6	2007	2007	1	1640
USGS	09095500	00060	18791		2	7	2007	2007	1	1740
USGS	09095500	00060	18791		2	8	2007	2007	1	1770
USGS	09095500	00060	18791		2	9	2007	2007	1	1930
USGS	09095500	00060	18791		2	10	2007	2007	1	1900
USGS	09095500	00060	18791		2	11	2007	2007	1	1990
USGS	09095500	00060	18791		2	12	2007	2007	1	2180
USGS	09095500	00060	18791		2	13	2007	2007	1	2140
USGS	09095500	00060	18791		2	14	2007	2007	1	1880
