#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:58 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09163500     00010          COLORADO RIVER NEAR COLORADO-UTAH STATE LINE
# USGS        09163500     00060          COLORADO RIVER NEAR COLORADO-UTAH STATE LINE
# USGS        09163500     00095          COLORADO RIVER NEAR COLORADO-UTAH STATE LINE
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00010         Temperature, water, degrees Celsius
# 00060         Discharge, cubic feet per second
# 00095         Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09163500	00010	225648		1	1	2012	2012	1	0.7
USGS	09163500	00010	225648		1	2	2012	2012	1	0.5
USGS	09163500	00010	225648		1	3	2012	2012	1	0.4
USGS	09163500	00010	225648		1	4	2012	2012	1	0.4
USGS	09163500	00010	225648		1	5	2012	2012	1	0.5
USGS	09163500	00010	225648		1	6	2012	2012	1	0.7
USGS	09163500	00010	225648		1	7	2012	2012	1	1.0
USGS	09163500	00010	225648		1	8	2012	2012	1	0.8
USGS	09163500	00010	225648		1	9	2012	2012	1	0.7
USGS	09163500	00010	225648		1	10	2012	2012	1	0.7
USGS	09163500	00010	225648		1	11	2012	2012	1	0.8
USGS	09163500	00010	225648		1	12	2012	2012	1	0.1
USGS	09163500	00010	225648		1	13	2012	2012	1	0.0
USGS	09163500	00010	225648		1	14	2012	2012	1	0.0
USGS	09163500	00010	225648		1	15	2012	2012	1	0.0
USGS	09163500	00010	225648		1	16	2012	2012	1	0.0
USGS	09163500	00010	225648		1	17	2012	2012	1	0.0
USGS	09163500	00010	225648		1	18	2012	2012	1	0.0
USGS	09163500	00010	225648		1	19	2012	2012	1	0.4
USGS	09163500	00010	225648		1	20	2012	2012	1	1.6
USGS	09163500	00010	225648		1	21	2012	2012	1	1.6
USGS	09163500	00010	225648		1	22	2012	2012	1	2.0
USGS	09163500	00010	225648		1	23	2012	2012	1	1.9
USGS	09163500	00010	225648		1	24	2012	2012	1	2.2
